symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,mpc,xdt,ypc,cact,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
INFRA,Nifty India Infrastructure & Logistics,11.04,11.04,10.65,10.71,-0.28,-2.55,53173,572141.48,10.9788,12.3,10.65,10.99,0,0,0,,,Infinity,-,Infinity,-,12.926829268292682,-0.5633802816901455,https://nsearchives.nseindia.com/today/INFRAEQN.svg,,,EQ,"{'symbol': 'INFRA', 'companyName': 'Mirae Asset MF-Mirae Asset Nifty India Infrastructure & Logistics ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01QB4', 'listingDate': '2026-02-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
CONS,Kotak Nifty India Consumption ETF,10.99,11.48,10.78,10.87,-0.13,-1.18,50553,551027.7,11.0166,13.2,10.2,11,0,-89.53,-91.01,12-Mar-2025,10-Feb-2026,-91.11492561713258,27-FEB-26,-89.6535313154388,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,17.651515151515152,-6.568627450980393,https://nsearchives.nseindia.com/today/CONSEQN.svg,https://nsearchives.nseindia.com/30d/CONS-EQ.svg,https://nsearchives.nseindia.com/365d/CONS-EQ.svg,EQ,"{'symbol': 'CONS', 'companyName': 'Kotak Nifty India Consumption ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1ZF8', 'slb_isin': 'INF174KA1ZF8', 'listingDate': '2022-08-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
MOALPHA50,Nifty Alpha 50 Total Return Index,47.6,47.6,45.65,47,-0.8,-1.67,10754,501566.56,47.6931,54.38,45.65,47.8,0,0,-5.72,,10-Feb-2026,-7.297830374753457,-,Infinity,-,13.571165869805078,-2.95728368017525,https://nsearchives.nseindia.com/today/MOALPHA50EQN.svg,https://nsearchives.nseindia.com/30d/MOALPHA50-EQ.svg,,EQ,"{'symbol': 'MOALPHA50', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty Alpha 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FR8', 'slb_isin': 'INF247L01FR8', 'listingDate': '2025-07-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF,30,30.11,29.89,30.11,0.14,0.47,16374,490728.78,29.9611,31,27.91,29.97,0,6.88,1.11,12-Mar-2025,10-Feb-2026,1.5856950067476345,-,7.382310984308132,-,2.8709677419354858,-7.8824793980652075,https://nsearchives.nseindia.com/today/GSEC10YEAREQN.svg,https://nsearchives.nseindia.com/30d/GSEC10YEAR-EQ.svg,https://nsearchives.nseindia.com/365d/GSEC10YEAR-EQ.svg,EQ,"{'symbol': 'GSEC10YEAR', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty 8-13 yr G-Sec ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KF8', 'slb_isin': 'INF769K01KF8', 'listingDate': '2023-04-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
ABSL10BANK,BSE Top 10 Banks Index,163.17,163.25,161.09,161.45,-3.68,-2.23,2839,461138.77,164.7763,214.42,161.09,165.13,0,0,0,,,Infinity,-,Infinity,-,24.70385225258838,-0.22347755912842834,https://nsearchives.nseindia.com/today/ABSL10BANKEQN.svg,,,EQ,"{'symbol': 'ABSL10BANK', 'companyName': 'Aditya Birla Sun Life MF - Aditya Birla Sun Life BSE Top 10 Banks ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KC1670', 'listingDate': '2026-03-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
HEALTHCARE,Nifty 500 Healthcare Index,18.71,18.71,18.27,18.37,-0.35,-1.87,25072,461074.08,18.7118,19.16,18.24,18.72,0,0,0,,,Infinity,-,Infinity,-,4.123173277661791,-0.7127192982456281,https://nsearchives.nseindia.com/today/HEALTHCAREEQN.svg,,,EQ,"{'symbol': 'HEALTHCARE', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty 500 Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01QA6', 'listingDate': '2026-02-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,19.28,19.95,19.28,19.44,-0.34,-1.72,21432,418781.28,19.7359,23,17.7,19.78,0,7.85,-7.14,12-Mar-2025,10-Feb-2026,-8.73239436619718,20-OCT-23,5.99781897491822,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 126.18/- PER SHARE TO RS 12.618/- PER SHARE,15.478260869565213,-9.830508474576282,https://nsearchives.nseindia.com/today/HDFCLOWVOLEQN.svg,https://nsearchives.nseindia.com/30d/HDFCLOWVOL-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCLOWVOL-EQ.svg,EQ,"{'symbol': 'HDFCLOWVOL', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY100 Low Volatility 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1HU8', 'slb_isin': 'INF179KC1HU8', 'listingDate': '2022-10-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LICNFNHGP,Nifty 100,270,270,260,260.96,-4.1,-1.55,1594,418680.04,265.6879,296.41,242.47,265.06,0,-0.52,-8.58,12-Mar-2025,10-Feb-2026,-9.992067050667412,-,-2.060424094576847,-,11.959785432340354,-7.6256856518332095,https://nsearchives.nseindia.com/today/LICNFNHGPEQN.svg,https://nsearchives.nseindia.com/30d/LICNFNHGP-EQ.svg,https://nsearchives.nseindia.com/365d/LICNFNHGP-EQ.svg,EQ,"{'symbol': 'LICNFNHGP', 'companyName': 'LIC MF - LIC MF ETF - Nifty 100', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01PC8', 'slb_isin': 'INF767K01PC8', 'listingDate': '2016-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
NEXT50ADD,Nifty Next 50 TRI,66.72,66.72,64.85,64.96,-1.61,-2.42,6343,413056.16,66.4691,81,64.85,66.57,0,0,-4.56,,10-Feb-2026,-6.867383512544812,-,Infinity,-,19.80246913580248,-0.1696222050886653,https://nsearchives.nseindia.com/today/NEXT50ADDEQN.svg,https://nsearchives.nseindia.com/30d/NEXT50ADD-EQ.svg,,EQ,"{'symbol': 'NEXT50ADD', 'companyName': 'DSP Mutual Fund - DSP Nifty Next 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1XU7', 'listingDate': '2026-01-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF,196.77,196.85,194,194.24,-3.51,-1.77,2084,405838.16,197.6089,219.1,180.04,197.75,0,8.04,-7.17,12-Mar-2025,10-Feb-2026,-8.816073608111914,-,6.118881118881129,-,11.34641716111364,-7.887136191957353,https://nsearchives.nseindia.com/today/LOWVOLEQN.svg,https://nsearchives.nseindia.com/30d/LOWVOL-EQ.svg,https://nsearchives.nseindia.com/365d/LOWVOL-EQ.svg,EQ,"{'symbol': 'LOWVOL', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty 100 Low Volatility 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01JU9', 'listingDate': '2023-03-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
