symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,mpc,xdt,ypc,cact,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,248.9,249.96,242.23,245.3,-8.2,-3.23,59665916,14666478811.96,254.8601,360,77.55,253.5,0,166.93,3.97,12-Mar-2025,10-Feb-2026,0.6070051677467059,-,158.29209223965464,-,31.861111111111107,-216.31205673758865,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
NIFTYBEES,Nifty 50,267.99,267.99,262,263.5,-4.44,-1.66,25235358,6660620390.52,267.4586,302.25,231.3,267.94,0,6.44,-8.73,12-Mar-2025,10-Feb-2026,-10.23981468864968,19-DEC-19,4.67148645427822, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,12.820512820512821,-13.921314310419364,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ,"{'symbol': 'NIFTYBEES', 'companyName': 'Nippon India ETF Nifty 50 BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB14I2', 'slb_isin': 'INF204KB14I2', 'listingDate': '2002-01-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LIQUIDBEES,Government Securities,1000,1000.01,999.99,1000,0.01,0.00,5804837,5804837000,1000,1029.99,970,999.99,0,0,0,12-Mar-2025,10-Feb-2026,0,19-SEP-17,0, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,2.9116787541626628,-3.0927835051546393,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ,"{'symbol': 'LIQUIDBEES', 'companyName': 'Nippon India ETF Nifty 1D Rate Liquid BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF732E01037', 'listingDate': '2003-07-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
GOLDBEES,Gold,131.38,131.38,129.87,130.43,-2,-1.51,37192341,4857691658.01,131.8609,148.14,65.85,132.43,0,83.12,3.19,12-Mar-2025,10-Feb-2026,1.6284868318528933,19-DEC-19,80.35121681415933, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,11.954907519913583,-98.07137433561125,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ,"{'symbol': 'GOLDBEES', 'companyName': 'NIPPON INDIA ETF GOLD BEES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB17I5', 'listingDate': '2007-03-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,25.43,25.43,24.62,24.9,-0.82,-3.19,141497266,3538846622.66,25.8619,35.1,8.56,25.72,0,167.64,4.05,12-Mar-2025,10-Feb-2026,0.7281553398058241,-,159.10509885535902,-,29.059829059829067,-190.88785046728967,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,113.15,113.15,113.13,113.14,0.05,0.04,25834812,2922692281.56,113.0994,113.15,102,113.09,0,5.23,0.37,12-Mar-2025,10-Feb-2026,0.41714742167391394,-,5.2758909463106,-,0.008837825894834393,-10.92156862745098,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ,"{'symbol': 'LIQUIDCASE', 'companyName': 'Zerodha Fund House - Zerodha Nifty 1D Rate Liquid ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01034', 'slb_isin': 'INF0R8F01034', 'listingDate': '2024-01-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
SILVERIETF,Domestic Price of Silver,267.89,267.89,252.82,255.97,-8.37,-3.17,8989804,2302558498.52,265.9631,373.5,88.8,264.34,0,167.71,4.08,12-Mar-2025,10-Feb-2026,0.7835262619103902,-,159.23637836742964,-,31.467202141900938,-188.25450450450452,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ,"{'symbol': 'SILVERIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1Y56', 'listingDate': '2022-01-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,259.86,259.86,242,244.8,-8.73,-3.44,8657138,2127664806.26,254.8139,359,85.67,253.53,0,166.51,3.93,12-Mar-2025,10-Feb-2026,0.3525457079609796,-,157.33207190160834,-,31.810584958217266,-185.747636278744,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
TATAGOLD,Tata Gold Exchange Traded Fund,15.52,17.1,15.23,15.3,-0.22,-1.42,94193495,1442102408.45,15.4589,17.7,7.14,15.52,0,83.02,3.33,12-Mar-2025,10-Feb-2026,1.8641810918775044,-,80.4245283018868,-,13.559322033898297,-114.28571428571429,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,EQ,"{'symbol': 'TATAGOLD', 'companyName': 'Tata Mutual Fund Tata Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1976', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
BANKBEES,Nifty Bank,568.99,568.99,554.9,560,-9.24,-1.62,2244654,1253773938.24,568.3117,638.99,491.1,569.24,0,15.42,-9.09,12-Mar-2025,10-Feb-2026,-10.564561207378421,19-DEC-19,13.5488057098828, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,12.361695801186249,-14.029729179393195,https://nsearchives.nseindia.com/today/BANKBEESEQN.svg,https://nsearchives.nseindia.com/30d/BANKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/BANKBEES-EQ.svg,EQ,"{'symbol': 'BANKBEES', 'companyName': 'Nippon India ETF Nifty Bank BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB15I9', 'slb_isin': 'INF204KB15I9', 'listingDate': '2004-06-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LIQUIDPLUS,Nifty 1D Rate Index,1076.51,1076.53,1076.51,1076.53,0.43,0.04,1135453,1222337863.56,1076.1092,1240.88,994.83,1076.1,0,5.31,0.38,12-Mar-2025,10-Feb-2026,0.4178909565785195,-,5.352109919361147,-,13.244632841209475,-8.212458409979586,https://nsearchives.nseindia.com/today/LIQUIDPLUSEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDPLUS-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDPLUS-EQ.svg,EQ,"{'symbol': 'LIQUIDPLUS', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty 1D Rate Liquid ETF-Growth', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01MY5', 'slb_isin': 'INF769K01MY5', 'listingDate': '2024-11-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
TOP10ADD,Nifty Top 10 Equal Weight Index,87.72,90,85.8,88,0.28,0.32,13274074,1147941919.52,87.5383,103.43,85.8,87.72,0,-1.82,-10.63,12-Mar-2025,10-Feb-2026,-10.341314314824254,-,-1.5109121432568489,-,14.918302233394572,-2.5641025641025674,https://nsearchives.nseindia.com/today/TOP10ADDEQN.svg,https://nsearchives.nseindia.com/30d/TOP10ADD-EQ.svg,https://nsearchives.nseindia.com/365d/TOP10ADD-EQ.svg,EQ,"{'symbol': 'TOP10ADD', 'companyName': 'DSP Mutual Fund - DSP Nifty Top 10 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1UR9', 'slb_isin': 'INF740KA1UR9', 'listingDate': '2024-09-11', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,1117.39,1117.48,1117.38,1117.4,0.42,0.04,840967,939679706.46,1116.9795,1121.66,1052.08,1116.98,0,5.21,0.38,12-Mar-2025,10-Feb-2026,0.4133716750539303,-,5.246303098803809,-,0.3797942335467067,-6.208653334347214,https://nsearchives.nseindia.com/today/LIQUIDADDEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDADD-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDADD-EQ.svg,EQ,"{'symbol': 'LIQUIDADD', 'companyName': 'DSP BSE Liquid Rate ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1UM0', 'slb_isin': 'INF740KA1UM0', 'listingDate': '2024-04-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
GOLDIETF,Gold,135.03,136.24,134.33,134.85,-2.22,-1.62,6875564,928682429.48,136.3704,158,69.71,137.07,0,83.74,3.09,12-Mar-2025,10-Feb-2026,1.4214801444043217,-,80.76407506702414,-,14.651898734177218,-93.44426911490461,https://nsearchives.nseindia.com/today/GOLDIETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDIETF-EQ.svg,EQ,"{'symbol': 'GOLDIETF', 'companyName': 'ICICI Prudential Gold ETF', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1NT3', 'listingDate': '2010-09-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1095.27,1095.29,1095.27,1095.28,0.43,0.04,843958,924370318.24,1094.8609,1123.29,1006.15,1094.85,0,5.33,0.38,12-Mar-2025,10-Feb-2026,0.4217552352660642,-,5.368068649709466,-,2.493568001139509,-8.858520101376534,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ,"{'symbol': 'LIQUID1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Nifty 1D Rate Liquid ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1LV5', 'slb_isin': 'INF174KA1LV5', 'listingDate': '2023-02-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,717.8,717.8,696.6,709.2,-6.64,-0.93,1226236,861283641.68,714.7113,777,616.02,715.84,0,12.8,-4.76,12-Mar-2025,10-Feb-2026,-5.642553984114096,10-MAR-14,11.7536754857314,DIVIDEND-RS.1 PER UNIT,8.72586872586872,-15.126132268432855,https://nsearchives.nseindia.com/today/JUNIORBEESEQN.svg,https://nsearchives.nseindia.com/30d/JUNIORBEES-EQ.svg,https://nsearchives.nseindia.com/365d/JUNIORBEES-EQ.svg,EQ,"{'symbol': 'JUNIORBEES', 'companyName': 'Nippon India ETF Nifty Next 50 Junior BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF732E01045', 'slb_isin': 'INF732E01045', 'listingDate': '2003-03-06', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
SBISILVER,SBI SILVER ETF,254.62,255.29,247.81,250.55,-8.52,-3.29,3395309,854361603.67,260.698,362,86,259.07,0,166.42,4.37,12-Mar-2025,10-Feb-2026,0.9386834259930757,-,157.66145619086797,-,30.787292817679553,-191.3372093023256,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,EQ,"{'symbol': 'SBISILVER', 'companyName': 'SBI Mutual Fund - SBI SILVER ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1217', 'listingDate': '2024-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
NIFTYIETF,Nifty 50,266.56,266.56,260.58,261.79,-4.77,-1.79,3029983,795885634.61,266.0896,328.24,234.97,266.56,0,6.39,-8.76,12-Mar-2025,10-Feb-2026,-10.391921957898326,-,4.486130512871686,-,20.244333414574697,-11.414223092309665,https://nsearchives.nseindia.com/today/NIFTYIETFEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYIETF-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYIETF-EQ.svg,EQ,"{'symbol': 'NIFTYIETF', 'companyName': 'ICICI Prudential Nifty 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109K012R6', 'slb_isin': 'INF109K012R6', 'listingDate': '2013-03-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,157.73,157.73,149.43,150.05,-3.84,-2.50,5195534,782083733.02,153.7118,183.18,136.27,153.89,0,7.78,-6.65,12-Mar-2025,10-Feb-2026,-8.97785865938731,-,5.091749544754174,-,18.08603559340539,-10.112277096939899,https://nsearchives.nseindia.com/today/HDFCSML250EQN.svg,https://nsearchives.nseindia.com/30d/HDFCSML250-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSML250-EQ.svg,EQ,"{'symbol': 'HDFCSML250', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY Smallcap 250 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1FB2', 'slb_isin': 'INF179KC1FB2', 'listingDate': '2023-02-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
HDFCGOLD,Gold,135.72,135.98,134.11,134.75,-2.07,-1.51,5478886,738772988.24,136.132,152.3,70.1,136.82,0,83.7,3.26,12-Mar-2025,10-Feb-2026,1.6981132075471699,17-FEB-21,80.92105263157895, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,11.523309258043342,-92.225392296719,https://nsearchives.nseindia.com/today/HDFCGOLDEQN.svg,https://nsearchives.nseindia.com/30d/HDFCGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCGOLD-EQ.svg,EQ,"{'symbol': 'HDFCGOLD', 'companyName': 'HDFC Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1981', 'listingDate': '2010-08-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
SETFGOLD,Gold,136.33,136.33,133.19,134.5,-2.11,-1.54,5216193,702516873.24,135.878,153.95,64.96,136.61,0,83.81,3.24,12-Mar-2025,10-Feb-2026,1.6475211608222544,06-JAN-22,80.9741657696448,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 1/- PER SHARE,12.633972068853517,-107.05049261083747,https://nsearchives.nseindia.com/today/SETFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/SETFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/SETFGOLD-EQ.svg,EQ,"{'symbol': 'SETFGOLD', 'companyName': 'SBI-ETF Gold', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA16D8', 'listingDate': '2009-05-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
SETFNIF50,Nifty 50,253.09,253.09,247.85,249,-4.09,-1.62,2722679,679444544.45,252.7809,287.33,227.33,253.09,0,6.27,-8.77,12-Mar-2025,10-Feb-2026,-10.244394780477261,24-MAR-21,4.555952131009866, DIVIDEND - RS 1.30 PER SHARE,13.340061949674585,-9.532397835745385,https://nsearchives.nseindia.com/today/SETFNIF50EQN.svg,https://nsearchives.nseindia.com/30d/SETFNIF50-EQ.svg,https://nsearchives.nseindia.com/365d/SETFNIF50-EQ.svg,EQ,"{'symbol': 'SETFNIF50', 'companyName': 'SBI-ETF Nifty 50', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1FS1', 'slb_isin': 'INF200KA1FS1', 'listingDate': '2015-07-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
MID150BEES,Nifty Midcap 150 TRI,215.99,215.99,208.01,209.5,-5.64,-2.62,2978499,624978445.17,214.6388,239.29,180.39,215.14,0,15.9,-6.9,12-Mar-2025,10-Feb-2026,-9.338757140384288,-,12.858912891235256,-,12.44932926574449,-16.137258162869347,https://nsearchives.nseindia.com/today/MID150BEESEQN.svg,https://nsearchives.nseindia.com/30d/MID150BEES-EQ.svg,https://nsearchives.nseindia.com/365d/MID150BEES-EQ.svg,EQ,"{'symbol': 'MID150BEES', 'companyName': 'NIPPON INDIA ETF NIFTY MIDCAP 150', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB1V68', 'slb_isin': 'INF204KB1V68', 'listingDate': '2019-02-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '13-Mar-2026 16:00:00', 'preOpenTime': '13-Mar-2026 09:07:56', 'QuotePreOpenFlag': False}}"
