symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,cact,ypc,mpc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
GOLDBND,Commodity - Gold,131.35,134.75,127.96,134.44,3.74,2.86,7370,973208.5,131.7586,135.95,127.96,130.7,0,0,0,,,-,-,Infinity,Infinity,1.1107024641412218,-5.064082525789313,https://nsearchives.nseindia.com/today/GOLDBNDEQN.svg,,,EQ,"{'symbol': 'GOLDBND', 'companyName': 'Bandhan Mutual Fund - Bandhan Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF194KB1KJ7', 'listingDate': '2025-12-12', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
LICMFGOLD,Gold,11899.9,12254.7,11850,12097,280.5,2.37,5700,68817297,,12254.7,6799.95,11816.5,0,68.67,4.34,13-Dec-2024,14-Nov-2025,-,-,70.1669737934139,8.015679551400542,1.286853207340863,-77.89836689975662,https://nsearchives.nseindia.com/today/LICMFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/LICMFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/LICMFGOLD-EQ.svg,EQ,"{'symbol': 'LICMFGOLD', 'companyName': 'LIC MF Gold EXCHANGE TRADED FUND', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF397L01554', 'listingDate': '2011-11-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
GOLDETF,Mirae Asset Gold ETF,131.51,131.62,128.24,131.3,2.99,2.33,1828372,237212983.28,128.0955,131.62,73.2,128.31,0,69.14,5.16,13-Dec-2024,14-Nov-2025,-,-,70.8967851099831,8.845229213296872,0.24312414526667162,-79.37158469945356,https://nsearchives.nseindia.com/today/GOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDETF-EQ.svg,EQ,"{'symbol': 'GOLDETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01JP9', 'listingDate': '2023-02-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
SETFGOLD,Gold,114.62,115.16,113,115,2.04,1.81,7303277,833084807.39,112.4794,115.16,63.95,112.96,0,69.69,5.6,13-Dec-2024,14-Nov-2025,06-JAN-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 1/- PER SHARE,70.44612420334964,8.57250755287009,0.13893713094824295,-79.82799061767005,https://nsearchives.nseindia.com/today/SETFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/SETFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/SETFGOLD-EQ.svg,EQ,"{'symbol': 'SETFGOLD', 'companyName': 'SBI-ETF Gold', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA16D8', 'listingDate': '2009-05-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
TATAGOLD,Tata Gold Exchange Traded Fund,12.83,13.99,12.83,13.05,0.23,1.79,71486209,925746406.55,12.9948,14.5,7.14,12.82,0,68.91,5.25,13-Dec-2024,14-Nov-2025,-,-,69.48051948051948,8.29875518672199,9.999999999999996,-82.7731092436975,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,EQ,"{'symbol': 'TATAGOLD', 'companyName': 'Tata Mutual Fund Tata Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1976', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
SILVERBND,Commodity - Silver,195.7,199.7,188.67,195,3.18,1.66,22077,4295080.35,193.4545,199.7,180,191.82,0,0,0,,,-,-,Infinity,Infinity,2.3535302954431594,-8.333333333333334,https://nsearchives.nseindia.com/today/SILVERBNDEQN.svg,,,EQ,"{'symbol': 'SILVERBND', 'companyName': 'Bandhan Mutual Fund - Bandhan Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF194KB1KI9', 'listingDate': '2025-12-12', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
AONEGOLD,Domestic price of Gold,12.45,12.55,12.36,12.51,0.2,1.62,884732,11032608.04,12.3138,13.5,10,12.31,0,0,5.21,,14-Nov-2025,-,-,Infinity,8.031088082901553,7.333333333333336,-25.099999999999998,https://nsearchives.nseindia.com/today/AONEGOLDEQN.svg,https://nsearchives.nseindia.com/30d/AONEGOLD-EQ.svg,,EQ,"{'symbol': 'AONEGOLD', 'companyName': 'Angel One Mutual Fund - Angel One Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF1J2R01114', 'listingDate': '2025-09-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
GOLD1,Gold,113.17,114,110.03,112.14,1.73,1.57,2910398,325353392.42,109.9826,114,63.51,110.41,0,69.6,5.57,13-Dec-2024,14-Nov-2025,22-JUL-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,69.67771221062188,8.211907748721417,1.6315789473684206,-76.57061880018895,https://nsearchives.nseindia.com/today/GOLD1EQN.svg,https://nsearchives.nseindia.com/30d/GOLD1-EQ.svg,https://nsearchives.nseindia.com/365d/GOLD1-EQ.svg,EQ,"{'symbol': 'GOLD1', 'companyName': 'Kotak Mutual Fund - Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1HJ8', 'listingDate': '2007-08-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
GROWWGOLD,Commodity,129.1,131.27,129.1,131.1,2,1.55,649230,84718022.7,129.01,131.27,74.2,129.1,0,67.97,5.16,13-Dec-2024,14-Nov-2025,-,-,68.63905325443787,7.918999012183067,0.12950407556944915,-76.68463611859836,https://nsearchives.nseindia.com/today/GROWWGOLDEQN.svg,https://nsearchives.nseindia.com/30d/GROWWGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWGOLD-EQ.svg,EQ,"{'symbol': 'GROWWGOLD', 'companyName': 'Groww Mutual Fund - Groww Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01IW1', 'listingDate': '2024-10-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
GOLDSHARE,Gold,113.9,113.9,111.4,112.85,1.7,1.53,988672,111077299.2,111.2786,113.9,63.6,111.15,0,70.21,5.66,13-Dec-2024,14-Nov-2025,25-MAR-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,70.59712773998486,8.145663632007667,0.9218612818261732,-77.43710691823898,https://nsearchives.nseindia.com/today/GOLDSHAREEQN.svg,https://nsearchives.nseindia.com/30d/GOLDSHARE-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDSHARE-EQ.svg,EQ,"{'symbol': 'GOLDSHARE', 'companyName': 'UTI Mutual Fund - UTI Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AUX7', 'listingDate': '2007-04-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
QGOLDHALF,Gold,112.11,112.11,109.03,111.03,1.65,1.51,1142204,126761799.92,109.1582,112.11,62.24,109.38,0,69.77,5.4,13-Dec-2024,14-Nov-2025,16-DEC-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100 PER SHARE TO RS 2 PER SHARE,70.10877891833923,8.1636629322942,0.9633395772009619,-78.3901028277635,https://nsearchives.nseindia.com/today/QGOLDHALFEQN.svg,https://nsearchives.nseindia.com/30d/QGOLDHALF-EQ.svg,https://nsearchives.nseindia.com/365d/QGOLDHALF-EQ.svg,EQ,"{'symbol': 'QGOLDHALF', 'companyName': 'Quantum Gold Fund -Exchange Traded Fund (ETF)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF082J01408', 'listingDate': '2008-02-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '15-Dec-2025 16:00:00', 'preOpenTime': '15-Dec-2025 09:07:21', 'QuotePreOpenFlag': False}}"
