symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
MAFANG,NYSE FANG+ Total Return Index,136.15,137.6,135,136.9,2.1,1.56,283627,38839881.38,115.0109,153.48,89.25,-,-,43.23080142289183,20.372812802250944,134.8,0,10.802710450873068,-53.38935574229693,https://nsearchives.nseindia.com/today/MAFANGEQN.svg,41.14,17-May-2024,https://nsearchives.nseindia.com/365d/MAFANG-EQ.svg,17-Apr-2025,16.51,https://nsearchives.nseindia.com/30d/MAFANG-EQ.svg,"{'symbol': 'MAFANG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset NYSE FANG+ ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HF4', 'listingDate': '2021-05-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
LICNFNHGP,Nifty 100,284.57,284.57,275.1,281.31,3.66,1.32,1013,284014.81,276.3571,325,242.47,-,-,11.630952380952381,5.383232187008319,277.65,0,13.443076923076923,-16.018476512558255,https://nsearchives.nseindia.com/today/LICNFNHGPEQN.svg,10.19,17-May-2024,https://nsearchives.nseindia.com/365d/LICNFNHGP-EQ.svg,17-Apr-2025,4.86,https://nsearchives.nseindia.com/30d/LICNFNHGP-EQ.svg,"{'symbol': 'LICNFNHGP', 'companyName': 'LIC MF - LIC MF ETF - Nifty 100', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01PC8', 'listingDate': '2016-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
HNGSNGBEES,Hang Seng Index,395.89,397.09,392.88,395.98,5.05,1.29,70889,28035890.61,366.9723,448.9,269.02,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,27.39849430538576,5.614381351185557,390.93,0,11.788817108487406,-47.19351721061633,https://nsearchives.nseindia.com/today/HNGSNGBEESEQN.svg,24.97,17-May-2024,https://nsearchives.nseindia.com/365d/HNGSNGBEES-EQ.svg,17-Apr-2025,3.59,https://nsearchives.nseindia.com/30d/HNGSNGBEES-EQ.svg,"{'symbol': 'HNGSNGBEES', 'companyName': 'NIPPON INDIA ETF HANG SENG BEES', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB19I1', 'slb_isin': 'INF204KB19I1', 'listingDate': '2010-03-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
MASPTOP50,S&P 500 Top 50 Total Return Index,55.99,56.5,54.91,55.9,0.59,1.07,144959,8066968.35,47.3628,64.95,36.48,-,-,29.039704524469062,18.633276740237694,55.31,0,13.933795227097773,-53.23464912280703,https://nsearchives.nseindia.com/today/MASPTOP50EQN.svg,26.65,17-May-2024,https://nsearchives.nseindia.com/365d/MASPTOP50-EQ.svg,17-Apr-2025,17.73,https://nsearchives.nseindia.com/30d/MASPTOP50-EQ.svg,"{'symbol': 'MASPTOP50', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset S&P 500 Top 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HP3', 'listingDate': '2021-09-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
MONQ50,Nasdaq Q-50 Total Return Index,74.49,74.89,73.7,74.4,0.75,1.02,82864,6146851.52,71.5093,93.32,57.51,-,-,18.717089516515085,8.170979936027921,73.65,0,20.274324903557638,-29.368805425143467,https://nsearchives.nseindia.com/today/MONQ50EQN.svg,17.54,17-May-2024,https://nsearchives.nseindia.com/365d/MONQ50-EQ.svg,17-Apr-2025,8.18,https://nsearchives.nseindia.com/30d/MONQ50-EQ.svg,"{'symbol': 'MONQ50', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nasdaq Q 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01AU3', 'slb_isin': 'INF247L01AU3', 'listingDate': '2021-12-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
MAHKTECH,Hang Seng TECH Total Return Index,23.17,23.18,23.1,23.14,0.2,0.87,461802,10695334.32,19.1737,26.74,12.9,-,-,58.60178204249487,9.099481376709099,22.94,0,13.462976813762147,-79.37984496124031,https://nsearchives.nseindia.com/today/MAHKTECHEQN.svg,55.63,17-May-2024,https://nsearchives.nseindia.com/365d/MAHKTECH-EQ.svg,17-Apr-2025,7.65,https://nsearchives.nseindia.com/30d/MAHKTECH-EQ.svg,"{'symbol': 'MAHKTECH', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HS7', 'listingDate': '2021-12-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
METALIETF,Nifty Metal Index,9.3,9.55,9.22,9.25,0.06,0.65,1730643,16077673.47,9.2117,10.67,7.35,-,-,Infinity,6.812933025404155,9.19,0,13.30834114339269,-25.850340136054427,https://nsearchives.nseindia.com/today/METALIETFEQN.svg,-,-,-,17-Apr-2025,8.12,https://nsearchives.nseindia.com/30d/METALIETF-EQ.svg,"{'symbol': 'METALIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty Metal ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC19W1', 'listingDate': '2024-08-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
CPSEETF,CPSE ETF,92.74,93.6,92.12,93.29,0.55,0.59,1500270,139555115.4,92.6272,106.6,74.9,-,-,0.6690406819898613,3.196902654867257,92.74,0,12.485928705440891,-24.552736982643523,https://nsearchives.nseindia.com/today/CPSEETFEQN.svg,4.55,17-May-2024,https://nsearchives.nseindia.com/365d/CPSEETF-EQ.svg,17-Apr-2025,4.77,https://nsearchives.nseindia.com/30d/CPSEETF-EQ.svg,"{'symbol': 'CPSEETF', 'companyName': 'CPSE ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF457M01133', 'slb_isin': 'INF457M01133', 'listingDate': '2014-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
MON100,Nasdaq100,179.02,180.01,179.01,179.6,1.06,0.59,292062,52451414.58,178.8634,221.7,142.11,17-JUN-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,19.185081956334194,7.913236796250668,178.54,0,18.989625620207484,-26.3809724861023,https://nsearchives.nseindia.com/today/MON100EQN.svg,19.43,17-May-2024,https://nsearchives.nseindia.com/365d/MON100-EQ.svg,17-Apr-2025,7.83,https://nsearchives.nseindia.com/30d/MON100-EQ.svg,"{'symbol': 'MON100', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal NASDAQ 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01AP3', 'slb_isin': 'INF247L01AP3', 'listingDate': '2011-03-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
GSEC5IETF,Nifty 5 yr Benchmark G-Sec Index,62.39,62.43,62.38,62.4,0.31,0.50,1578,98467.2,62.1848,66,55.6,-,-,11.03202846975088,1.1837197989297825,62.09,0,5.454545454545456,-12.230215827338125,https://nsearchives.nseindia.com/today/GSEC5IETFEQN.svg,10.56,17-May-2024,https://nsearchives.nseindia.com/365d/GSEC5IETF-EQ.svg,17-Apr-2025,0.5,https://nsearchives.nseindia.com/30d/GSEC5IETF-EQ.svg,"{'symbol': 'GSEC5IETF', 'companyName': 'ICICI Prudential Nifty 5 Yr Benchmark G-SEC ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC14A8', 'slb_isin': 'INF109KC14A8', 'listingDate': '2022-03-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
IVZINNIFTY,Nifty 50,2818.76,2818.76,2818.3,2818.3,13.56,0.48,16,45093.12,2814.5516,3100,2450,24-DEC-12,DIVIDEND-RS.5/- PER UNIT,13.139301485347257,3.262801135843187,2804.74,0,9.087096774193542,-15.032653061224496,https://nsearchives.nseindia.com/today/IVZINNIFTYEQN.svg,11.92,17-May-2024,https://nsearchives.nseindia.com/365d/IVZINNIFTY-EQ.svg,17-Apr-2025,4.7,https://nsearchives.nseindia.com/30d/IVZINNIFTY-EQ.svg,"{'symbol': 'IVZINNIFTY', 'companyName': 'Invesco India Nifty Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF205K01DA9', 'listingDate': '2011-06-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-May-2025 12:00:21', 'preOpenTime': '20-May-2025 09:07:14', 'QuotePreOpenFlag': False}}"
