symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
MAFANG,NYSE FANG+ Total Return Index,123.87,124.54,122.19,123.74,2.15,1.77,1063922,131649708.28,103.5811,153.48,89.25,-,-,28.801915270115543,5.256890098673012,121.59,0,19.37711753974459,-38.64425770308123,https://nsearchives.nseindia.com/today/MAFANGEQN.svg,26.56,30-Apr-2024,https://nsearchives.nseindia.com/365d/MAFANG-EQ.svg,01-Apr-2025,3.43,https://nsearchives.nseindia.com/30d/MAFANG-EQ.svg,"{'symbol': 'MAFANG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset NYSE FANG+ ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HF4', 'listingDate': '2021-05-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index,9.8,10.18,9.11,10.1,0.16,1.61,607637,6100675.48,10.0095,12,9.11,-,-,Infinity,Infinity,9.94,0,15.833333333333336,-10.86717892425906,https://nsearchives.nseindia.com/today/GROWWMOM50EQN.svg,-,-,-,-,-,-,"{'symbol': 'GROWWMOM50', 'companyName': 'Groww Mutual Fund - Groww Nifty 500 Momentum 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01KJ4', 'listingDate': '2025-04-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
AXISTECETF,NIFTY IT Index,385,389.99,382.95,389.99,6.01,1.57,2258,871317.04,383.7737,498.96,333.05,-,-,11.368439088468786,1.0860549507516841,383.98,0,21.839426006092665,-17.096532052244406,https://nsearchives.nseindia.com/today/AXISTECETFEQN.svg,9.65,30-Apr-2024,https://nsearchives.nseindia.com/365d/AXISTECETF-EQ.svg,01-Apr-2025,-0.47,https://nsearchives.nseindia.com/30d/AXISTECETF-EQ.svg,"{'symbol': 'AXISTECETF', 'companyName': 'AXIS MUTUAL FUND - AXIS NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K01Y96', 'slb_isin': 'INF846K01Y96', 'listingDate': '2021-03-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,20.71,20.71,20.21,20.71,0.31,1.52,328720,6676303.2,20.3606,25.1,18.3,-,-,8.542976939203369,6.0419866871479755,20.4,0,17.49003984063745,-13.169398907103824,https://nsearchives.nseindia.com/today/NIFTYQLITYEQN.svg,6.92,30-Apr-2024,https://nsearchives.nseindia.com/365d/NIFTYQLITY-EQ.svg,01-Apr-2025,4.45,https://nsearchives.nseindia.com/30d/NIFTYQLITY-EQ.svg,"{'symbol': 'NIFTYQLITY', 'companyName': 'Aditya Birla Sun Life Mutual Fund - ABSL Nifty 200 Quality 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB15K4', 'slb_isin': 'INF209KB15K4', 'listingDate': '2022-08-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
SBIETFCON,Nifty India Consumption Index,117.48,117.72,114.35,117.72,1.73,1.49,2796,324140.28,115.7081,136,101.64,-,-,11.12999150382327,7.752860411899312,115.99,0,13.441176470588236,-15.820543093270363,https://nsearchives.nseindia.com/today/SBIETFCONEQN.svg,9.5,30-Apr-2024,https://nsearchives.nseindia.com/365d/SBIETFCON-EQ.svg,01-Apr-2025,6.17,https://nsearchives.nseindia.com/30d/SBIETFCON-EQ.svg,"{'symbol': 'SBIETFCON', 'companyName': 'SBI Mutual Fund - SBI ETF Consumption', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1X17', 'slb_isin': 'INF200KA1X17', 'listingDate': '2021-07-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
MID150,Nifty Midcap 150 Index,20.51,20.7,19.9,20.35,0.25,1.24,17594,354343.16,,22.95,17.98,-,-,Infinity,6.210855949895622,20.1,0,11.328976034858378,-13.181312569521697,https://nsearchives.nseindia.com/today/MID150EQN.svg,-,-,-,-,-,-,"{'symbol': 'MID150', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Nifty Midcap 150 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1VW2', 'listingDate': '2025-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
ABSLNN50ET,Nifty Next 50,68.46,68.47,66.12,68,0.76,1.13,21756,1462220.76,67.1075,82.05,58.37,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,0.17678255745433788,4.518905625576387,67.24,0,17.123705057891527,-16.49820113071784,https://nsearchives.nseindia.com/today/ABSLNN50ETEQN.svg,-0.94,30-Apr-2024,https://nsearchives.nseindia.com/365d/ABSLNN50ET-EQ.svg,01-Apr-2025,3.35,https://nsearchives.nseindia.com/30d/ABSLNN50ET-EQ.svg,"{'symbol': 'ABSLNN50ET', 'companyName': 'Aditya Birla Sun Life Nifty Next 50 ETF', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB16D7', 'slb_isin': 'INF209KB16D7', 'listingDate': '2018-12-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
LICNFNHGP,Nifty 100,268.85,272.79,267.49,271.48,3.02,1.12,2477,665916.68,268.647,325,240,-,-,8.783458887642258,5.605477107402663,268.46,0,16.467692307692303,-13.116666666666674,https://nsearchives.nseindia.com/today/LICNFNHGPEQN.svg,7.57,30-Apr-2024,https://nsearchives.nseindia.com/365d/LICNFNHGP-EQ.svg,01-Apr-2025,4.43,https://nsearchives.nseindia.com/30d/LICNFNHGP-EQ.svg,"{'symbol': 'LICNFNHGP', 'companyName': 'LIC MF - LIC MF ETF - Nifty 100', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01PC8', 'listingDate': '2016-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
VAL30IETF,Nifty200 Value 30 Index,12.64,12.76,12.52,12.72,0.12,0.95,65663,826040.54,12.571,14.14,10.93,-,-,Infinity,2.3330651649235796,12.6,0,10.042432814710041,-16.37694419030193,https://nsearchives.nseindia.com/today/VAL30IETFEQN.svg,-,-,-,01-Apr-2025,1.37,https://nsearchives.nseindia.com/30d/VAL30IETF-EQ.svg,"{'symbol': 'VAL30IETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty200 Value 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC16X5', 'listingDate': '2024-10-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
MAHKTECH,Hang Seng TECH Total Return Index,22.11,22.11,22.11,22.11,0.2,0.91,542584,11996532.24,18.5099,26.74,12.81,-,-,70.47031611410947,-5.593509820666107,21.91,0,17.314884068810766,-72.59953161592505,https://nsearchives.nseindia.com/today/MAHKTECHEQN.svg,68.93,30-Apr-2024,https://nsearchives.nseindia.com/365d/MAHKTECH-EQ.svg,01-Apr-2025,-6.45,https://nsearchives.nseindia.com/30d/MAHKTECH-EQ.svg,"{'symbol': 'MAHKTECH', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HS7', 'listingDate': '2021-12-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '02-May-2025 16:00:00', 'preOpenTime': '02-May-2025 09:07:22', 'QuotePreOpenFlag': False}}"
