symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,mpc,ypc,xdt,cact,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
AXISGOLD,Gold,99.25,102.55,97.55,100.9,4.07,4.20,1681795,165253176.7,96.1337,102.55,62.01,96.83,0,55.14,13.32,01-Oct-2024,01-Sep-2025,15.156356996119607,57.65625000000001,23-JUL-20, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RE 1/- PER SHARE,1.608971233544604,-62.715691017577825,https://nsearchives.nseindia.com/today/AXISGOLDEQN.svg,https://nsearchives.nseindia.com/30d/AXISGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/AXISGOLD-EQ.svg,"{'symbol': 'AXISGOLD', 'companyName': 'Axis Mutual Fund - Axis Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K01W80', 'listingDate': '2010-11-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
LICMFGOLD,Gold,10639.7,11008,10549.25,10844.55,409.35,3.92,11232,120473645.76,,11477,6690,10435.2,0,57.8,14.91,01-Oct-2024,01-Sep-2025,14.37528674109191,57.072919910488615,-,-,5.510586390171654,-62.10089686098654,https://nsearchives.nseindia.com/today/LICMFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/LICMFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/LICMFGOLD-EQ.svg,"{'symbol': 'LICMFGOLD', 'companyName': 'LIC MF Gold EXCHANGE TRADED FUND', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF397L01554', 'listingDate': '2011-11-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
BSLGOLDETF,Gold,102.52,121.47,102.52,106,3.95,3.87,779375,81335575,101.2265,121.47,56.57,102.05,0,55.71,13.39,01-Oct-2024,01-Sep-2025,14.855347274894346,57.7146257997322,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,12.735654894212562,-87.37846915326145,https://nsearchives.nseindia.com/today/BSLGOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/BSLGOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSLGOLDETF-EQ.svg,"{'symbol': 'BSLGOLDETF', 'companyName': 'Aditya Birla Sun Life Gold ETF - Growth', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB18D3', 'listingDate': '2011-05-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,139.47,140,138,139.94,3.87,2.84,30050148,4186586619.36,138.2049,140.61,77.55,136.07,0,59.54,17.94,01-Oct-2024,01-Sep-2025,18.003204317396065,59.62130717463214,-,-,0.47649527060665375,-80.45132172791747,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
SILVERADD,DSP Silver ETF,139.02,140.7,138.69,140.7,3.8,2.78,611160,85702966.8,138.9127,141.4,83.3,136.9,0,59.34,17.8,01-Oct-2024,01-Sep-2025,17.977528089887624,59.57808778496086,-,-,0.4950495049505071,-68.90756302521008,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,"{'symbol': 'SILVERADD', 'companyName': 'DSP  Mutual Fund - DSP Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RE3', 'listingDate': '2022-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,14.15,14.25,13.75,14.19,0.38,2.75,28951046,409946811.36,13.8579,14.65,8.15,13.81,0,59.1,17.51,01-Oct-2024,01-Sep-2025,17.759336099585052,59.43820224719099,-,-,3.1399317406143403,-74.11042944785274,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,145.09,146.9,144.01,146.1,3.9,2.74,549564,80219857.08,144.2838,148.05,86.27,142.2,0,59.13,17.92,01-Oct-2024,01-Sep-2025,18.012924071082388,59.254414650098106,-,-,1.3171225937183497,-69.35203431088443,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,138.95,141.94,138.95,141.5,3.68,2.67,1600688,226113186.88,139.9153,144.3,81.8,137.82,0,58.98,17.76,01-Oct-2024,01-Sep-2025,17.897017163806037,59.1676040494938,-,-,1.9404019404019481,-72.98288508557458,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1KU9', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,26.59,27.59,26.59,27.55,0.71,2.65,160752,4407819.84,26.8388,29.39,23.66,26.84,0,2.08,2.47,01-Oct-2024,01-Sep-2025,2.9521674140508187,2.5688756515264384,02-FEB-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 216.75/- PER SHARE TO RS 21.675/- PER SHARE,6.260632868322559,-16.441251056635675,https://nsearchives.nseindia.com/today/HDFCPVTBANEQN.svg,https://nsearchives.nseindia.com/30d/HDFCPVTBAN-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCPVTBAN-EQ.svg,"{'symbol': 'HDFCPVTBAN', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY Private Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1HZ7', 'slb_isin': 'INF179KC1HZ7', 'listingDate': '2022-11-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,139.9,140.87,138.24,140.55,3.51,2.56,8664899,1212392668.08,138.4374,142.7,83.13,137.04,0,59.47,17.76,01-Oct-2024,01-Sep-2025,17.970454926976675,59.752216412821106,-,-,1.506657323055345,-69.07253699025625,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '01-Oct-2025 16:00:00', 'preOpenTime': '01-Oct-2025 09:07:41', 'QuotePreOpenFlag': False}}"
