symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,204.3,208.24,202.58,206.5,-6.85,-3.21,80487014,16525593714.48,212.4184,360,101.35,-,-,101.0515042352254,-19.345389212201688,213.35,0,107.72,-16.67,24-Jun-2025,25-May-2026,-,-19.345389212201688,-,101.0515042352254,42.638888888888886,-103.74938332511101,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
GOLDBEES,Gold,114.88,115.71,114.55,115.24,-2.32,-1.97,59740231,6876697990.41,117.5263,148.14,79,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,42.30674240553222,-11.700252854187417,117.56,0,45.17,-9.92,24-Jun-2025,25-May-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,-11.700252854187417,19-DEC-19,42.30674240553222,22.20872147968138,-45.87341772151898,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,21.44,21.44,20.01,21.07,-0.59,-2.72,142072472,2960790316.48,21.587,35.1,10.11,-,-,102.79114533205004,-18.899153194765205,21.66,0,108.47,-16.63,24-Jun-2025,25-May-2026,-,-18.899153194765205,-,102.79114533205004,39.97150997150997,-108.40751730959447,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
HDFCSILVER,HDFC Silver ETF,208,208.17,200.39,208,-5.21,-2.44,13111820,2687005272.6,212.4944,359,101.66,-,-,102.17729393468119,-18.84510339445962,213.21,0,107.24,-16.81,24-Jun-2025,25-May-2026,-,-18.84510339445962,-,102.17729393468119,42.061281337047355,-104.60358056265984,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ
GOLDIETF,Gold,118.99,119.68,117.95,119,-2.59,-2.13,21616062,2571446735.52,121.6827,158,81.26,-,-,42.32747279033608,-11.851851851851851,121.59,0,45.43,-9.93,24-Jun-2025,25-May-2026,-,-11.851851851851851,-,42.32747279033608,24.68354430379747,-46.44351464435145,https://nsearchives.nseindia.com/today/GOLDIETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDIETF-EQ.svg,EQ
LIQUIDBEES,Government Securities,999.99,1000.01,999.99,1000.01,0.02,0.00,2561339,2561313386.61,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.002000020000198183,0.002000020000198183,999.99,0,0,0,24-Jun-2025,25-May-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.002000020000198183,19-SEP-17,0.002000020000198183,2.9107078709502052,-3.0948772667759443,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
LIQUIDPLUS,Nifty 1D Rate Index,1091.86,1091.86,1091.84,1091.84,0.6,0.05,2267612,2475869486.08,1091.2384,1091.86,1018.24,-,-,5.167647540430929,0.46559561272750194,1091.24,0,5.11,0.41,24-Jun-2025,25-May-2026,-,0.46559561272750194,-,5.167647540430929,0.0018317366695347218,-7.22815839094908,https://nsearchives.nseindia.com/today/LIQUIDPLUSEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDPLUS-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDPLUS-EQ.svg,EQ
NIFTYBEES,Nifty 50,274.99,275.4,273.19,273.55,0.87,0.32,8652517,2373991089.29,273.0753,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-2.7999857868741764,0.573550498180081,272.68,0,-3.11,0.25,24-Jun-2025,25-May-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,0.573550498180081,19-DEC-19,-2.7999857868741764,9.495450785773363,-8.680969408025437,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,222.46,222.46,212.1,216.74,-5.72,-2.57,10202127,2185193582.13,221.6475,373.5,105.15,-,-,103.092203898051,-18.89383676982375,222.46,0,108.45,-16.75,24-Jun-2025,25-May-2026,-,-18.89383676982375,-,103.092203898051,41.97054886211513,-106.1245839277223,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,114.75,114.75,114.73,114.75,0.07,0.06,18780174,2154837164.76,114.6778,114.75,102,-,-,5.1112943116240706,0.4640168096655587,114.68,0,5.05,0.4,24-Jun-2025,25-May-2026,-,0.4640168096655587,-,5.1112943116240706,0,-12.5,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
