symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
MAFANG,NYSE FANG+ Total Return Index,123,127.41,122.01,127.41,5.78,4.75,959441,121350097.68,108.4881,127.41,67.1,-,-,89.11978625500963,31.282843894899536,121.63,0,0,-89.88077496274218,https://nsearchives.nseindia.com/today/MAFANGEQN.svg,89.12,05-Dec-2023,https://nsearchives.nseindia.com/365d/MAFANG-EQ.svg,04-Nov-2024,31.28,https://nsearchives.nseindia.com/30d/MAFANG-EQ.svg,"{'symbol': 'MAFANG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset NYSE FANG+ ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HF4', 'slb_isin': 'INF769K01HF4', 'listingDate': '2021-05-14', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,193.77,197.8,191.5,197.6,4.83,2.51,3382,651609.94,192.2076,222.7,145.3,-,-,32.21813315490132,1.0173304023311591,192.77,0,11.27076784912438,-35.9944941500344,https://nsearchives.nseindia.com/today/MOQUALITYEQN.svg,29.82,05-Dec-2023,https://nsearchives.nseindia.com/365d/MOQUALITY-EQ.svg,04-Nov-2024,-0.82,https://nsearchives.nseindia.com/30d/MOQUALITY-EQ.svg,"{'symbol': 'MOQUALITY', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Quality ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BH8', 'slb_isin': 'INF247L01BH8', 'listingDate': '2022-08-26', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
HDFCNIFIT,HDFC NIFTY IT ETF,44.83,46.4,44.82,46.35,1.03,2.27,46605,2141965.8,45.3764,47.4,32.59,02-FEB-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 299.92/- PER SHARE TO RS 29.992/- PER SHARE,-85.88267543859648,10.858646256876343,45.32,0,2.2151898734177156,-42.22154034980054,https://nsearchives.nseindia.com/today/HDFCNIFITEQN.svg,-85.95,05-Dec-2023,https://nsearchives.nseindia.com/365d/HDFCNIFIT-EQ.svg,04-Nov-2024,10.31,https://nsearchives.nseindia.com/30d/HDFCNIFIT-EQ.svg,"{'symbol': 'HDFCNIFIT', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1IA8', 'slb_isin': 'INF179KC1IA8', 'listingDate': '2022-11-22', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
MID150CASE,Zerodha Nifty Midcap 150 ETF,10.81,10.89,10.56,10.84,0.24,2.26,353186,3754367.18,10.6152,12.97,9.11,-,-,Infinity,5.3449951409135155,10.6,0,16.42251349267541,-18.9901207464325,https://nsearchives.nseindia.com/today/MID150CASEEQN.svg,-,-,-,04-Nov-2024,3.5,https://nsearchives.nseindia.com/30d/MID150CASE-EQ.svg,"{'symbol': 'MID150CASE', 'companyName': 'Zerodha Fund House - Zerodha Nifty Midcap 150 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01059', 'listingDate': '2024-06-19', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
ITETF,Mirae Asset Nifty IT ETF,45.05,46,44.98,45.82,0.91,2.03,557766,25467595.56,44.9458,46.14,31,-,-,39.99388939810573,10.596186338402125,44.91,0,0.6935413957520595,-47.806451612903224,https://nsearchives.nseindia.com/today/ITETFEQN.svg,39.35,05-Dec-2023,https://nsearchives.nseindia.com/365d/ITETF-EQ.svg,04-Nov-2024,10.09,https://nsearchives.nseindia.com/30d/ITETF-EQ.svg,"{'symbol': 'ITETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KV5', 'slb_isin': 'INF769K01KV5', 'listingDate': '2023-10-27', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
NIFITETF,UTI Nifty IT ETF,447.5,455.8,446.19,452.46,8.9,2.01,3434,1550897.42,446.0108,455.8,321.68,-,-,Infinity,9.959171770195383,443.56,0,0.73277753400615,-40.65530962447151,https://nsearchives.nseindia.com/today/NIFITETFEQN.svg,-,-,-,04-Nov-2024,10.27,https://nsearchives.nseindia.com/30d/NIFITETF-EQ.svg,"{'symbol': 'NIFITETF', 'companyName': 'UTI Mutual Fund - UTI Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AZD8', 'listingDate': '2024-02-01', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
SBIETFIT,Nifty IT Index,474.98,483.1,468.66,480.01,9.46,2.01,17013,8140890.63,471.4385,483.1,338.02,-,-,40.00583345486363,10.578451473196807,470.55,0,0.6396191264748565,-42.006390154428736,https://nsearchives.nseindia.com/today/SBIETFITEQN.svg,40.02,05-Dec-2023,https://nsearchives.nseindia.com/365d/SBIETFIT-EQ.svg,04-Nov-2024,10.59,https://nsearchives.nseindia.com/30d/SBIETFIT-EQ.svg,"{'symbol': 'SBIETFIT', 'companyName': 'SBI Mutual Fund-SBI ETF IT', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1S14', 'slb_isin': 'INF200KA1S14', 'listingDate': '2020-10-22', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
TECH,Nifty IT TRI Index,46.9,47.18,46.1,46.89,0.86,1.87,36646,1710268.82,46.103,49,33.2,-,-,39.71990464839093,10.251587114977662,46.03,0,4.306122448979591,-41.23493975903614,https://nsearchives.nseindia.com/today/TECHEQN.svg,39.6,05-Dec-2023,https://nsearchives.nseindia.com/365d/TECH-EQ.svg,04-Nov-2024,10.16,https://nsearchives.nseindia.com/30d/TECH-EQ.svg,"{'symbol': 'TECH', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB11D8', 'slb_isin': 'INF209KB11D8', 'listingDate': '2021-11-03', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,145.57,146,142.2,146,2.59,1.81,2933,420826.84,143.0474,155.7,108.95,-,-,30.859550058259398,4.196403083071649,143.41,0,6.229929351316628,-34.006424965580536,https://nsearchives.nseindia.com/today/HDFCVALUEEQN.svg,29.99,05-Dec-2023,https://nsearchives.nseindia.com/365d/HDFCVALUE-EQ.svg,04-Nov-2024,3.5,https://nsearchives.nseindia.com/30d/HDFCVALUE-EQ.svg,"{'symbol': 'HDFCVALUE', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY50 Value 20 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DK8', 'slb_isin': 'INF179KC1DK8', 'listingDate': '2022-09-29', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
ITBEES,Nifty IT TRI,47.18,48.31,47.17,48,0.84,1.78,6012974,287540416.68,47.229,48.31,34.01,-,-,40.064196089874514,10.497237569060779,47.16,0,0.6416890912854528,-41.134960305792426,https://nsearchives.nseindia.com/today/ITBEESEQN.svg,40.27,05-Dec-2023,https://nsearchives.nseindia.com/365d/ITBEES-EQ.svg,04-Nov-2024,10.66,https://nsearchives.nseindia.com/30d/ITBEES-EQ.svg,"{'symbol': 'ITBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India ETF Nifty IT', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB15V2', 'slb_isin': 'INF204KB15V2', 'listingDate': '2020-07-01', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '05-Dec-2024 16:00:00', 'preOpenTime': '05-Dec-2024 09:07:10', 'QuotePreOpenFlag': False}}"
