symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,ypc,xdt,cact,mpc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
MOGOLD,Domestic Price of Physical Gold,112.95,115.45,111.5,115.45,4.5,4.06,1257581,143049838.75,108.4635,115.45,96.3,110.95,0,0,12.07,,22-Aug-2025,Infinity,-,-,15.855494229804313,0,-19.885773624091385,https://nsearchives.nseindia.com/today/MOGOLDEQN.svg,https://nsearchives.nseindia.com/30d/MOGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/MOGOLD-EQ.svg,"{'symbol': 'MOGOLD', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FY4', 'listingDate': '2025-07-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVER360,Commodity-Silver,133.39,138.8,132.8,136.5,4.36,3.30,24434,3296146.6,123.3053,138.8,78.4,132.14,0,0,16.16,,22-Aug-2025,Infinity,-,-,18.54103343465045,1.6570605187319964,-74.10714285714285,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER360-EQ.svg,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,134.4,148.05,134.4,138,4.26,3.19,134642,18262840.88,125.0946,148.05,86.27,133.74,0,48.29,16.36,20-Sep-2024,22-Aug-2025,54.535274356103024,-,-,18.231665524331735,6.788247213779136,-59.962907151964764,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
TATAGOLD,Tata Gold Exchange Traded Fund,10.63,11.25,10.63,11.24,0.33,3.02,54082248,599231307.84,10.5946,12.13,7.11,10.91,0,49.66,12.47,20-Sep-2024,22-Aug-2025,52.71739130434782,-,-,14.811031664964261,7.337180544105528,-58.08720112517581,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,"{'symbol': 'TATAGOLD', 'companyName': 'Tata Mutual Fund Tata Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1976', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
EGOLD,Edelweiss Gold ETF,113.55,119,113.1,115.75,3.2,2.84,540154,62047489.98,109.3864,119,75,112.55,0,48.97,12.78,20-Sep-2024,22-Aug-2025,52.30263157894737,-,-,14.83134920634921,2.73109243697479,-54.333333333333336,https://nsearchives.nseindia.com/today/EGOLDEQN.svg,https://nsearchives.nseindia.com/30d/EGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/EGOLD-EQ.svg,"{'symbol': 'EGOLD', 'companyName': 'Edelweiss Mutual Fund -Edelweiss Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SE6', 'listingDate': '2023-11-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SNXT30BEES,BSE Sensex Next 30 Index,39.84,41,39.41,40.96,1.12,2.81,9623,383572.78,39.1415,41,37.03,39.84,0,0,2.52,,22-Aug-2025,Infinity,-,-,5.025641025641028,0.09756097560975402,-10.613016473129894,https://nsearchives.nseindia.com/today/SNXT30BEESEQN.svg,https://nsearchives.nseindia.com/30d/SNXT30BEES-EQ.svg,https://nsearchives.nseindia.com/365d/SNXT30BEES-EQ.svg,"{'symbol': 'SNXT30BEES', 'companyName': 'Nippon India Mutual Fund - Nippon India BSE Sensex Next 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1EZ3', 'listingDate': '2025-06-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
UNIONGOLD,Commodity Gold,111.7,112.25,108.95,112.25,2.75,2.51,2192,243706.56,107.2255,112.25,82,109.5,0,0,11.73,,22-Aug-2025,Infinity,-,-,13.555892766818417,0,-36.890243902439025,https://nsearchives.nseindia.com/today/UNIONGOLDEQN.svg,https://nsearchives.nseindia.com/30d/UNIONGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/UNIONGOLD-EQ.svg,"{'symbol': 'UNIONGOLD', 'companyName': 'Union Mutual Fund - Union Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF582M01KS4', 'listingDate': '2025-02-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
LICMFGOLD,Gold,10293,10375,10122.1,10375,253.3,2.50,3485,35898009.2,,11477,6690,10121.7,0,50.33,12.26,20-Sep-2024,22-Aug-2025,52.67119407267886,-,-,13.962148090378852,9.60181232029276,-55.08221225710015,https://nsearchives.nseindia.com/today/LICMFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/LICMFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/LICMFGOLD-EQ.svg,"{'symbol': 'LICMFGOLD', 'companyName': 'LIC MF Gold EXCHANGE TRADED FUND', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF397L01554', 'listingDate': '2011-11-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
IVZINGOLD,Gold,9771.3,10038.95,9771.3,10038,239.95,2.45,1281,12746372.73,9481.8619,10038.95,6460,9798.05,0,49.59,12.92,20-Sep-2024,22-Aug-2025,52.42694121130675,-,-,14.540008557980316,0.009463141065556931,-55.38699690402477,https://nsearchives.nseindia.com/today/IVZINGOLDEQN.svg,https://nsearchives.nseindia.com/30d/IVZINGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/IVZINGOLD-EQ.svg,"{'symbol': 'IVZINGOLD', 'companyName': 'Invesco India Gold Exchange Traded Fund', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF205K01361', 'listingDate': '2010-03-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
BSLGOLDETF,Gold,101.37,102.52,99.07,101.5,2.38,2.40,980138,99180164.22,95.9777,102.52,56.57,99.12,0,50.62,13.05,20-Sep-2024,22-Aug-2025,53.20754716981132,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,14.482291901646747,0.9949278189621499,-79.42372282128336,https://nsearchives.nseindia.com/today/BSLGOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/BSLGOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSLGOLDETF-EQ.svg,"{'symbol': 'BSLGOLDETF', 'companyName': 'Aditya Birla Sun Life Gold ETF - Growth', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB18D3', 'listingDate': '2011-05-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
AXISGOLD,Gold,96.14,96.5,94.11,96.04,2.24,2.39,1846152,175550593.68,91.1675,96.5,61.87,93.8,0,49.51,12.75,20-Sep-2024,22-Aug-2025,52.1787355411187,23-JUL-20, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RE 1/- PER SHARE,14.170233000475513,0.47668393782382773,-55.22870534992728,https://nsearchives.nseindia.com/today/AXISGOLDEQN.svg,https://nsearchives.nseindia.com/30d/AXISGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/AXISGOLD-EQ.svg,"{'symbol': 'AXISGOLD', 'companyName': 'Axis Mutual Fund - Axis Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K01W80', 'listingDate': '2010-11-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDBEES,Gold,94.13,95.38,93,95.34,2.2,2.36,36910438,3485083555.96,90.5167,95.38,61.67,93.14,0,49.19,12.73,20-Sep-2024,22-Aug-2025,51.79111606432097,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,14.17964071856288,0.0419375131054645,-54.59704880817253,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,"{'symbol': 'GOLDBEES', 'companyName': 'NIPPON INDIA ETF GOLD BEES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB17I5', 'listingDate': '2007-03-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLD1,Gold,96.15,96.15,94.1,95.99,2.18,2.32,3303089,315081659.71,91.1647,96.15,62.07,93.81,0,49.31,12.67,20-Sep-2024,22-Aug-2025,51.88291139240505,22-JUL-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,14.151504340587454,0.16640665626626186,-54.64797808925406,https://nsearchives.nseindia.com/today/GOLD1EQN.svg,https://nsearchives.nseindia.com/30d/GOLD1-EQ.svg,https://nsearchives.nseindia.com/365d/GOLD1-EQ.svg,"{'symbol': 'GOLD1', 'companyName': 'Kotak Mutual Fund - Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1HJ8', 'listingDate': '2007-08-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDETF,Mirae Asset Gold ETF,110.48,111.92,109.63,111.71,2.52,2.31,1450360,160714391.6,106.2561,111.92,72.6,109.19,0,49.58,12.53,20-Sep-2024,22-Aug-2025,52.359519912711406,-,-,13.98979591836734,0.18763402430308074,-53.870523415977964,https://nsearchives.nseindia.com/today/GOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDETF-EQ.svg,"{'symbol': 'GOLDETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01JP9', 'listingDate': '2023-02-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SILVER,Physical price of Silver,136.83,136.83,133.99,136.5,3,2.25,2167533,292638630.33,124.7254,136.83,86.3,133.5,0,48.7,16.54,20-Sep-2024,22-Aug-2025,53.56058049274384,-,-,16.95655899237427,0.24117518088139478,-58.16917728852839,https://nsearchives.nseindia.com/today/SILVEREQN.svg,https://nsearchives.nseindia.com/30d/SILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER-EQ.svg,"{'symbol': 'SILVER', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB19F6', 'listingDate': '2022-02-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
HDFCGOLD,Gold,97.57,98.47,95.1,98.2,2.13,2.22,6891852,673471777.44,93.3534,98.47,63.6,96.07,0,49.41,12.71,20-Sep-2024,22-Aug-2025,51.543209876543216,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,13.960775211790645,0.2741951863511689,-54.40251572327044,https://nsearchives.nseindia.com/today/HDFCGOLDEQN.svg,https://nsearchives.nseindia.com/30d/HDFCGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCGOLD-EQ.svg,"{'symbol': 'HDFCGOLD', 'companyName': 'HDFC Mutual Fund-HDFC Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1981', 'listingDate': '2010-08-19', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDSHARE,Gold,97.35,97.35,94.8,96.6,2.1,2.22,1230028,117947384.92,91.4485,97.35,62.2,94.5,0,50.24,12.9,20-Sep-2024,22-Aug-2025,52.72727272727272,25-MAR-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,14.25192193968066,0.7704160246533128,-55.305466237942106,https://nsearchives.nseindia.com/today/GOLDSHAREEQN.svg,https://nsearchives.nseindia.com/30d/GOLDSHARE-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDSHARE-EQ.svg,"{'symbol': 'GOLDSHARE', 'companyName': 'UTI Mutual Fund - UTI Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AUX7', 'listingDate': '2007-04-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDCASE,Zerodha Gold ETF,18.03,18.22,17.7,18.06,0.38,2.15,8682200,155758668,17.1876,18.22,11,17.68,0,49.7,12.68,20-Sep-2024,22-Aug-2025,52.020202020202,-,-,13.871374527112229,0.8781558726673993,-64.18181818181817,https://nsearchives.nseindia.com/today/GOLDCASEEQN.svg,https://nsearchives.nseindia.com/30d/GOLDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDCASE-EQ.svg,"{'symbol': 'GOLDCASE', 'companyName': 'Zerodha Fund House - Zerodha Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01042', 'listingDate': '2024-03-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
QGOLDHALF,Gold,90.75,95.18,90.75,95.08,2,2.15,202375,19203363.75,90.4329,95.18,59.99,93.08,0,49.67,12.78,20-Sep-2024,22-Aug-2025,51.982097186700756,16-DEC-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100 PER SHARE TO RS 2 PER SHARE,14.07318536292742,0.10506408909435651,-58.49308218036339,https://nsearchives.nseindia.com/today/QGOLDHALFEQN.svg,https://nsearchives.nseindia.com/30d/QGOLDHALF-EQ.svg,https://nsearchives.nseindia.com/365d/QGOLDHALF-EQ.svg,"{'symbol': 'QGOLDHALF', 'companyName': 'Quantum Gold Fund -Exchange Traded Fund (ETF)', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF082J01408', 'listingDate': '2008-02-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDETFADD,DSP Gold ETF,109.6,111.6,109.27,111.6,2.34,2.14,995995,110485725.35,106.1123,111.6,72.01,109.26,0,49.98,12.71,20-Sep-2024,22-Aug-2025,52.56322624743676,-,-,13.865932047750217,0,-54.97847521177613,https://nsearchives.nseindia.com/today/GOLDETFADDEQN.svg,https://nsearchives.nseindia.com/30d/GOLDETFADD-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDETFADD-EQ.svg,"{'symbol': 'GOLDETFADD', 'companyName': 'DSP Mutual Fund - DSP Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SW3', 'listingDate': '2023-05-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
SETFGOLD,Gold,93.64,98.2,93.64,98.1,2.05,2.13,10125944,987684577.76,93.261,98.2,62.85,96.05,0,49.17,12.79,20-Sep-2024,22-Aug-2025,51.388888888888886,06-JAN-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 1/- PER SHARE,13.976995468804462,0.10183299389002905,-56.08591885441526,https://nsearchives.nseindia.com/today/SETFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/SETFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/SETFGOLD-EQ.svg,"{'symbol': 'SETFGOLD', 'companyName': 'SBI-ETF Gold', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA16D8', 'listingDate': '2009-05-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLDIETF,Gold,97.24,98.59,96.56,98.39,2.04,2.12,11249295,1100631022.8,93.4996,98.59,63.51,96.35,0,49.8,12.85,20-Sep-2024,22-Aug-2025,52.23580380628192,-,-,14.048916193346477,0.20286033066234185,-54.92048496299796,https://nsearchives.nseindia.com/today/GOLDIETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDIETF-EQ.svg,"{'symbol': 'GOLDIETF', 'companyName': 'ICICI Prudential Gold ETF', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1NT3', 'listingDate': '2010-09-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GOLD360,Commodity-Gold,109.05,112.9,109.05,112,2.3,2.10,18003,2004273.99,107.0707,119.95,78.2,109.7,0,0,11.94,,22-Aug-2025,Infinity,-,-,13.131313131313131,6.627761567319718,-43.222506393861885,https://nsearchives.nseindia.com/today/GOLD360EQN.svg,https://nsearchives.nseindia.com/30d/GOLD360-EQ.svg,https://nsearchives.nseindia.com/365d/GOLD360-EQ.svg,"{'symbol': 'GOLD360', 'companyName': '360 ONE Mutual Fund - 360 ONE Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BB5', 'listingDate': '2025-03-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
AONEGOLD,Domestic price of Gold,10.74,10.74,10.53,10.7,0.22,2.10,507047,5394980.08,10.2289,10.74,10,10.48,0,0,0,,,Infinity,-,-,Infinity,0.3724394785847386,-6.999999999999993,https://nsearchives.nseindia.com/today/AONEGOLDEQN.svg,https://nsearchives.nseindia.com/30d/AONEGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/AONEGOLD-EQ.svg,"{'symbol': 'AONEGOLD', 'companyName': 'Angel One Mutual Fund - Angel One Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF1J2R01114', 'listingDate': '2025-09-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
GROWWGOLD,Commodity,111.37,112.62,109.96,112.58,2.27,2.06,667253,74452089.74,107.1086,112.62,73,110.31,0,0,12.81,,22-Aug-2025,Infinity,-,-,13.889731917046035,0.03551767004085087,-54.21917808219178,https://nsearchives.nseindia.com/today/GROWWGOLDEQN.svg,https://nsearchives.nseindia.com/30d/GROWWGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWGOLD-EQ.svg,"{'symbol': 'GROWWGOLD', 'companyName': 'Groww Mutual Fund - Groww Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01IW1', 'listingDate': '2024-10-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Sep-2025 16:00:00', 'preOpenTime': '23-Sep-2025 09:07:05', 'QuotePreOpenFlag': False}}"
