symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
METAL,Nifty Metal Total Return Index,9.57,9.79,9.4,9.79,0.37,3.93,1637625,15557437.5,9.4267,10.84,7.73,-,-,Infinity,2.192066805845502,9.42,0,9.686346863468641,-26.649417852522625,https://nsearchives.nseindia.com/today/METALEQN.svg,-,-,-,18-Jul-2025,-0.74,https://nsearchives.nseindia.com/30d/METAL-EQ.svg,"{'symbol': 'METAL', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty Metal ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LY7', 'slb_isin': 'INF769K01LY7', 'listingDate': '2024-10-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
GROWWNET,Index,10.79,10.96,10.55,10.9,0.26,2.44,341048,3676497.44,10.6426,12.14,9.17,-,-,Infinity,7.707509881422936,10.64,0,10.214168039538716,-18.86586695747002,https://nsearchives.nseindia.com/today/GROWWNETEQN.svg,-,-,-,18-Jul-2025,7.15,https://nsearchives.nseindia.com/30d/GROWWNET-EQ.svg,"{'symbol': 'GROWWNET', 'companyName': 'Groww Mutual Fund - Groww Nifty India Internet ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LI4', 'listingDate': '2025-07-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
LICNFNHGP,Nifty 100,274.97,278.74,271.11,278.74,6.29,2.31,928,255107.2,277.498,325,242.47,-,-,2.1549512570548983,-0.057368232341329574,272.45,0,14.233846153846152,-14.958551573390526,https://nsearchives.nseindia.com/today/LICNFNHGPEQN.svg,-0.36,16-Aug-2024,https://nsearchives.nseindia.com/365d/LICNFNHGP-EQ.svg,18-Jul-2025,-2.41,https://nsearchives.nseindia.com/30d/LICNFNHGP-EQ.svg,"{'symbol': 'LICNFNHGP', 'companyName': 'LIC MF - LIC MF ETF - Nifty 100', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01PC8', 'listingDate': '2016-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
GROWWRAIL,Nifty India Railways PSU Index,34.72,35.09,34.36,35.09,0.7,2.04,271380,9441310.2,34.4554,43.66,28.72,-,-,Infinity,-7.169312169312153,34.39,0,19.628950984883176,-22.179665738161578,https://nsearchives.nseindia.com/today/GROWWRAILEQN.svg,-,-,-,18-Jul-2025,-8.9,https://nsearchives.nseindia.com/30d/GROWWRAIL-EQ.svg,"{'symbol': 'GROWWRAIL', 'companyName': 'Groww Mutual Fund - Groww Nifty India Railways PSU ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01JJ6', 'listingDate': '2025-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
EVIETF,Nifty EV & New Age Automotive ETF,30.63,30.63,29.91,30.46,0.57,1.91,163674,4951138.5,29.8532,31.94,23.56,-,-,Infinity,2.628032345013481,29.89,0,4.633688165309958,-29.286926994906633,https://nsearchives.nseindia.com/today/EVIETFEQN.svg,-,-,-,18-Jul-2025,1.01,https://nsearchives.nseindia.com/30d/EVIETF-EQ.svg,"{'symbol': 'EVIETF', 'companyName': 'ICICI Prudential MF-ICICI Prudential Nifty EV & New Age Automotive ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109K1A153', 'listingDate': '2025-04-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
INTERNET,Equity Index,14.36,14.66,14.35,14.62,0.27,1.88,47672,692674.16,14.3456,16.12,13.3,-,-,Infinity,7.106227106227098,14.35,0,9.305210918114154,-9.924812030075177,https://nsearchives.nseindia.com/today/INTERNETEQN.svg,-,-,-,-,-,-,"{'symbol': 'INTERNET', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty India Internet ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01PB6', 'listingDate': '2025-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
EVINDIA,Nifty EV and New Age Automotive Total Return Index,30.58,30.58,29.41,30.39,0.55,1.84,1304572,39450257.28,29.861,36,23.83,-,-,-8.10402177199879,2.4957841483979832,29.84,0,15.583333333333334,-27.528325639949657,https://nsearchives.nseindia.com/today/EVINDIAEQN.svg,-9.27,16-Aug-2024,https://nsearchives.nseindia.com/365d/EVINDIA-EQ.svg,18-Jul-2025,1.05,https://nsearchives.nseindia.com/30d/EVINDIA-EQ.svg,"{'symbol': 'EVINDIA', 'companyName': 'Mirae Asset MF - Mirae Asset Nifty EV and New Age Automotive ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LQ3', 'slb_isin': 'INF769K01LQ3', 'listingDate': '2024-07-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF,95.74,95.74,92.91,94.63,1.68,1.81,95388,8936901.72,92.9255,99.84,77.65,-,-,0.5418614534636537,0.16936593627606286,92.95,0,5.218349358974367,-21.867353509336755,https://nsearchives.nseindia.com/today/INFRAIETFEQN.svg,-0.93,16-Aug-2024,https://nsearchives.nseindia.com/365d/INFRAIETF-EQ.svg,18-Jul-2025,-1.83,https://nsearchives.nseindia.com/30d/INFRAIETF-EQ.svg,"{'symbol': 'INFRAIETF', 'companyName': 'ICICI Prudential Mutual Fund-ICICI Prudential Nifty Infrastructure ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC16E5', 'slb_isin': 'INF109KC16E5', 'listingDate': '2022-08-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
OILIETF,Nifty Oil & Gas Index,11.24,11.36,11.2,11.36,0.18,1.61,951816,10755520.8,11.1482,14,9.42,-,-,-13.93939393939394,-3.3191489361702176,11.18,0,18.85714285714286,-20.594479830148614,https://nsearchives.nseindia.com/today/OILIETFEQN.svg,-14.13,16-Aug-2024,https://nsearchives.nseindia.com/365d/OILIETF-EQ.svg,18-Jul-2025,-5.89,https://nsearchives.nseindia.com/30d/OILIETF-EQ.svg,"{'symbol': 'OILIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty Oil & Gas ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC18W3', 'slb_isin': 'INF109KC18W3', 'listingDate': '2024-07-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
AUTOIETF,Nifty Auto Index,26.41,26.41,25.38,26.15,0.38,1.47,1532973,39857298,25.8244,28.36,19.72,01-MAR-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,0.7707129094412304,5.9991892987434,25.77,0,7.792665726375179,-32.606490872210955,https://nsearchives.nseindia.com/today/AUTOIETFEQN.svg,-1.3,16-Aug-2024,https://nsearchives.nseindia.com/365d/AUTOIETF-EQ.svg,18-Jul-2025,5.1,https://nsearchives.nseindia.com/30d/AUTOIETF-EQ.svg,"{'symbol': 'AUTOIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential  Nifty Auto ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC10V2', 'slb_isin': 'INF109KC10V2', 'listingDate': '2022-01-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
TNIDETF,Nifty India Digital Index,91.55,92.92,91.5,92.88,1.34,1.46,22728,2100521.76,91.6035,104.78,76.95,-,-,-1.9011406844106582,0.15095967220185527,91.54,0,11.35712922313419,-20.701754385964904,https://nsearchives.nseindia.com/today/TNIDETFEQN.svg,-2.66,16-Aug-2024,https://nsearchives.nseindia.com/365d/TNIDETF-EQ.svg,18-Jul-2025,-0.8,https://nsearchives.nseindia.com/30d/TNIDETF-EQ.svg,"{'symbol': 'TNIDETF', 'companyName': 'Tata Mutual Fund - Tata Nifty India Digital Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1364', 'slb_isin': 'INF277KA1364', 'listingDate': '2022-04-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
GROWWEV,Nifty EV and New Age Automotive Index,29.84,30.4,29.66,30.25,0.41,1.37,531066,16027571.88,29.7989,36.06,23,-,-,Infinity,2.2996280013527213,29.84,0,16.112035496394903,-31.52173913043478,https://nsearchives.nseindia.com/today/GROWWEVEQN.svg,-,-,-,18-Jul-2025,1.12,https://nsearchives.nseindia.com/30d/GROWWEV-EQ.svg,"{'symbol': 'GROWWEV', 'companyName': 'Groww Mutual Fund - Groww Nifty EV & New Age Automotive ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01IH2', 'slb_isin': 'INF666M01IH2', 'listingDate': '2024-08-12', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
HDFCMID150,HDFC NIFTY Midcap 150 ETF,21.56,21.8,21.42,21.8,0.29,1.35,135867,2936085.87,21.4601,23.65,17.51,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 115.95/- PER SHARE TO RS 11.59/- PER SHARE,1.3953488372093057,-1.6689219666215651,21.51,0,7.822410147991534,-24.50028555111364,https://nsearchives.nseindia.com/today/HDFCMID150EQN.svg,0.7,16-Aug-2024,https://nsearchives.nseindia.com/365d/HDFCMID150-EQ.svg,18-Jul-2025,-2.45,https://nsearchives.nseindia.com/30d/HDFCMID150-EQ.svg,"{'symbol': 'HDFCMID150', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY Midcap 150 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1HT0', 'slb_isin': 'INF179KC1HT0', 'listingDate': '2023-02-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
AUTOBEES,Nifty Auto TRI,265.29,265.29,255.26,261,3.44,1.34,889137,231291207.81,258.0068,285,197.07,-,-,0.5509111222406313,5.839416058394162,257.56,0,8.421052631578947,-32.44024965748212,https://nsearchives.nseindia.com/today/AUTOBEESEQN.svg,-1.6,16-Aug-2024,https://nsearchives.nseindia.com/365d/AUTOBEES-EQ.svg,18-Jul-2025,5.11,https://nsearchives.nseindia.com/30d/AUTOBEES-EQ.svg,"{'symbol': 'AUTOBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Nifty Auto ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1337', 'slb_isin': 'INF204KC1337', 'listingDate': '2022-01-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,20.95,20.95,20.65,20.93,0.27,1.31,141313,2929418.49,20.6793,23,17.7,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 126.18/- PER SHARE TO RS 12.618/- PER SHARE,2.7996070726915536,2.2971652003910012,20.66,0,9.000000000000002,-18.248587570621474,https://nsearchives.nseindia.com/today/HDFCLOWVOLEQN.svg,2.08,16-Aug-2024,https://nsearchives.nseindia.com/365d/HDFCLOWVOL-EQ.svg,18-Jul-2025,0.63,https://nsearchives.nseindia.com/30d/HDFCLOWVOL-EQ.svg,"{'symbol': 'HDFCLOWVOL', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY100 Low Volatility 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1HU8', 'slb_isin': 'INF179KC1HU8', 'listingDate': '2022-10-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
CONSUMER,Nifty India New AgeConsumption,12.09,12.14,11.95,12.14,0.15,1.25,394153,4765309.77,11.9792,13.97,9,-,-,Infinity,2.9686174724342784,11.99,0,13.099498926270579,-34.88888888888889,https://nsearchives.nseindia.com/today/CONSUMEREQN.svg,-,-,-,18-Jul-2025,2.39,https://nsearchives.nseindia.com/30d/CONSUMER-EQ.svg,"{'symbol': 'CONSUMER', 'companyName': 'Mirae Asset MF- Mirae Asset Nifty India New Age Consumption ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01NS5', 'slb_isin': 'INF769K01NS5', 'listingDate': '2025-01-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '19-Aug-2025 16:00:00', 'preOpenTime': '19-Aug-2025 09:07:08', 'QuotePreOpenFlag': False}}"
