symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
MAHKTECH,Hang Seng TECH Total Return Index,23.55,24.52,23.32,24.45,0.29,1.20,1668726,40483292.76,20.4333,26.74,12.9,-,-,83.14606741573034,14.78873239436619,24.16,0,8.563949139865368,-89.53488372093022,https://nsearchives.nseindia.com/today/MAHKTECHEQN.svg,81.11,09-Aug-2024,https://nsearchives.nseindia.com/365d/MAHKTECH-EQ.svg,11-Jul-2025,11.7,https://nsearchives.nseindia.com/30d/MAHKTECH-EQ.svg,"{'symbol': 'MAHKTECH', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HS7', 'slb_isin': 'INF769K01HS7', 'listingDate': '2021-12-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
IT,NIFTY IT Index,37,38.61,37,38.11,0.44,1.17,158233,5990701.38,37.513,49.5,32.55,-,-,-8.389423076923082,-5.481150793650796,37.67,0,23.01010101010101,-17.081413210445476,https://nsearchives.nseindia.com/today/ITEQN.svg,-9.23,09-Aug-2024,https://nsearchives.nseindia.com/365d/IT-EQ.svg,11-Jul-2025,-7.76,https://nsearchives.nseindia.com/30d/IT-EQ.svg,"{'symbol': 'IT', 'companyName': 'Kotak Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1GC5', 'slb_isin': 'INF174KA1GC5', 'listingDate': '2021-03-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MAFANG,NYSE FANG+ Total Return Index,158.6,158.6,157,158.6,1.75,1.12,435936,69126371.52,131.6083,158.6,90.71,-,-,71.44092530537237,5.473166190064501,156.85,0,0,-74.8429059640613,https://nsearchives.nseindia.com/today/MAFANGEQN.svg,66.17,09-Aug-2024,https://nsearchives.nseindia.com/365d/MAFANG-EQ.svg,11-Jul-2025,2.74,https://nsearchives.nseindia.com/30d/MAFANG-EQ.svg,"{'symbol': 'MAFANG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset NYSE FANG+ ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HF4', 'slb_isin': 'INF769K01HF4', 'listingDate': '2021-05-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
GROWWPOWER,BSE Power Index - TRI,9.9,10.1,9.86,10,0.11,1.11,386762,3856017.14,9.8934,10.12,9.75,-,-,Infinity,Infinity,9.89,0,1.1857707509881346,-2.5641025641025643,https://nsearchives.nseindia.com/today/GROWWPOWEREQN.svg,-,-,-,-,-,-,"{'symbol': 'GROWWPOWER', 'companyName': 'Groww Mutual Fund - Groww BSE Power ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LM6', 'listingDate': '2025-08-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
PHARMABEES,Nifty Pharma TRI,21.57,22.68,21.57,22.35,0.22,0.99,1686361,37555259.47,22.1379,24.65,19.47,-,-,-1.2809187279151906,-2.359108781127126,22.13,0,9.330628803245425,-14.791987673343618,https://nsearchives.nseindia.com/today/PHARMABEESEQN.svg,-2.25,09-Aug-2024,https://nsearchives.nseindia.com/365d/PHARMABEES-EQ.svg,11-Jul-2025,-2.73,https://nsearchives.nseindia.com/30d/PHARMABEES-EQ.svg,"{'symbol': 'PHARMABEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Nifty Pharma ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1089', 'slb_isin': 'INF204KC1089', 'listingDate': '2021-07-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MASPTOP50,S&P 500 Top 50 Total Return Index,64.36,64.36,63.01,63.9,0.57,0.90,476928,30399390.72,53.4595,64.95,36.48,-,-,46.79531357684355,13.924050632911383,63.33,0,1.616628175519637,-75.16447368421053,https://nsearchives.nseindia.com/today/MASPTOP50EQN.svg,45.96,09-Aug-2024,https://nsearchives.nseindia.com/365d/MASPTOP50-EQ.svg,11-Jul-2025,11.03,https://nsearchives.nseindia.com/30d/MASPTOP50-EQ.svg,"{'symbol': 'MASPTOP50', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset S&P 500 Top 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HP3', 'slb_isin': 'INF769K01HP3', 'listingDate': '2021-09-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
TOP10ADD,Nifty Top 10 Equal Weight Index,94.54,95.41,94.25,95.26,0.72,0.76,53983,5111110.44,94.5895,119.7,86.5,-,-,Infinity,-2.7065672556429288,94.54,0,20.417710944026734,-10.127167630057809,https://nsearchives.nseindia.com/today/TOP10ADDEQN.svg,-,-,-,11-Jul-2025,-4.32,https://nsearchives.nseindia.com/30d/TOP10ADD-EQ.svg,"{'symbol': 'TOP10ADD', 'companyName': 'DSP Mutual Fund - DSP Nifty Top 10 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1UR9', 'slb_isin': 'INF740KA1UR9', 'listingDate': '2024-09-11', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
HNGSNGBEES,Hang Seng Index,427.39,437.8,427.39,435.4,3.26,0.75,74731,32487807.63,404.4235,448.9,272.53,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,58.783414171620294,13.764632107023397,432.14,0,3.007351303185565,-59.76222801159506,https://nsearchives.nseindia.com/today/HNGSNGBEESEQN.svg,57.2,09-Aug-2024,https://nsearchives.nseindia.com/365d/HNGSNGBEES-EQ.svg,11-Jul-2025,12.44,https://nsearchives.nseindia.com/30d/HNGSNGBEES-EQ.svg,"{'symbol': 'HNGSNGBEES', 'companyName': 'NIPPON INDIA ETF HANG SENG BEES', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB19I1', 'slb_isin': 'INF204KB19I1', 'listingDate': '2010-03-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
HEALTHIETF,Nifty Healthcare Index,150.9,150.9,146,147.55,1.05,0.72,29693,4359823.19,146.2733,157.7,120,-,-,4.29773096769634,-1.304347826086949,146.5,0,6.4362714013950395,-22.95833333333334,https://nsearchives.nseindia.com/today/HEALTHIETFEQN.svg,3.26,09-Aug-2024,https://nsearchives.nseindia.com/365d/HEALTHIETF-EQ.svg,11-Jul-2025,-1.01,https://nsearchives.nseindia.com/30d/HEALTHIETF-EQ.svg,"{'symbol': 'HEALTHIETF', 'companyName': 'ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1Q72', 'slb_isin': 'INF109KC1Q72', 'listingDate': '2021-05-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
UTINEXT50,Nifty Next 50,71.9,71.9,70.76,71.57,0.48,0.68,28207,2005235.63,70.9622,83,59.9,25-MAR-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO Re 1/- PER UNIT,-6.822028381721141,-1.6760544030773636,71.09,0,13.771084337349405,-19.482470784641063,https://nsearchives.nseindia.com/today/UTINEXT50EQN.svg,-7.94,09-Aug-2024,https://nsearchives.nseindia.com/365d/UTINEXT50-EQ.svg,11-Jul-2025,-2.16,https://nsearchives.nseindia.com/30d/UTINEXT50-EQ.svg,"{'symbol': 'UTINEXT50', 'companyName': 'UTI Mutual Fund - UTI NIfty Next 50 Exchange Traded Fund - UTI NIFTY N', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AUW9', 'slb_isin': 'INF789F1AUW9', 'listingDate': '2017-08-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
ITETF,Mirae Asset Nifty IT ETF,35.93,36.97,35.93,36.05,0.22,0.61,312251,11319098.75,35.8849,48.05,31.7,-,-,-9.467604218985443,-6.654583117555671,35.83,0,24.973985431841832,-13.722397476340687,https://nsearchives.nseindia.com/today/ITETFEQN.svg,-9.84,09-Aug-2024,https://nsearchives.nseindia.com/365d/ITETF-EQ.svg,11-Jul-2025,-8.25,https://nsearchives.nseindia.com/30d/ITETF-EQ.svg,"{'symbol': 'ITETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KV5', 'slb_isin': 'INF769K01KV5', 'listingDate': '2023-10-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,130.44,130.68,129.71,130.68,0.73,0.56,1251,162967.77,129.9072,155.7,117.5,-,-,-7.548638132295711,-1.7148014440433221,129.95,0,16.069364161849702,-11.21702127659575,https://nsearchives.nseindia.com/today/HDFCVALUEEQN.svg,-7.73,09-Aug-2024,https://nsearchives.nseindia.com/365d/HDFCVALUE-EQ.svg,11-Jul-2025,-2.82,https://nsearchives.nseindia.com/30d/HDFCVALUE-EQ.svg,"{'symbol': 'HDFCVALUE', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY50 Value 20 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DK8', 'slb_isin': 'INF179KC1DK8', 'listingDate': '2022-09-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
AUTOBEES,Nifty Auto TRI,242.85,246.7,242.85,244.5,1.31,0.54,165455,40576184.2,243.6504,285,197.07,-,-,-5.37559503076744,1.4438635797859056,243.19,0,14.210526315789474,-24.067590196376926,https://nsearchives.nseindia.com/today/AUTOBEESEQN.svg,-6.29,09-Aug-2024,https://nsearchives.nseindia.com/365d/AUTOBEES-EQ.svg,11-Jul-2025,1.16,https://nsearchives.nseindia.com/30d/AUTOBEES-EQ.svg,"{'symbol': 'AUTOBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Nifty Auto ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1337', 'slb_isin': 'INF204KC1337', 'listingDate': '2022-01-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
HEALTHY,Nifty Healthcare TRI,14.36,15.27,14.36,14.81,0.08,0.54,145953,2165942.52,14.6752,16.25,12.2,-,-,4.295774647887333,-1.0688042752171019,14.73,0,8.861538461538458,-21.39344262295083,https://nsearchives.nseindia.com/today/HEALTHYEQN.svg,3.3,09-Aug-2024,https://nsearchives.nseindia.com/365d/HEALTHY-EQ.svg,11-Jul-2025,-0.47,https://nsearchives.nseindia.com/30d/HEALTHY-EQ.svg,"{'symbol': 'HEALTHY', 'companyName': 'Aditya Birla Sun Life MF-Aditya Birla Sun Life Nifty Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB10C2', 'slb_isin': 'INF209KB10C2', 'listingDate': '2021-10-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
OILIETF,Nifty Oil & Gas Index,11.15,11.29,11.15,11.24,0.06,0.54,1114457,12537641.25,11.1753,14,9.42,-,-,-14.26392067124332,-5.067567567567565,11.18,0,19.714285714285715,-19.320594479830152,https://nsearchives.nseindia.com/today/OILIETFEQN.svg,-14.07,09-Aug-2024,https://nsearchives.nseindia.com/365d/OILIETF-EQ.svg,11-Jul-2025,-5.57,https://nsearchives.nseindia.com/30d/OILIETF-EQ.svg,"{'symbol': 'OILIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty Oil & Gas ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC18W3', 'slb_isin': 'INF109KC18W3', 'listingDate': '2024-07-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
HEALTHADD,DSP Nifty Healthcare ETF,143.91,145.52,143.91,144.78,0.75,0.52,574,83092.24,144.0537,152.04,120,-,-,4.120819848975181,-1.6440217391304264,144.03,0,4.775059194948692,-20.65,https://nsearchives.nseindia.com/today/HEALTHADDEQN.svg,3.18,09-Aug-2024,https://nsearchives.nseindia.com/365d/HEALTHADD-EQ.svg,11-Jul-2025,-1.11,https://nsearchives.nseindia.com/30d/HEALTHADD-EQ.svg,"{'symbol': 'HEALTHADD', 'companyName': 'DSP Mutual Fund - DSP Nifty Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1UF4', 'listingDate': '2024-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MON50EQUAL,Nifty 50 Equal Weight Total Return Index,31.1,31.15,31.06,31.15,0.16,0.52,1852,57578.68,31.0668,33.26,29.78,-,-,Infinity,-1.5797788309636651,30.99,0,6.3439567047504495,-4.600402955003349,https://nsearchives.nseindia.com/today/MON50EQUALEQN.svg,-,-,-,11-Jul-2025,-2.27,https://nsearchives.nseindia.com/30d/MON50EQUAL-EQ.svg,"{'symbol': 'MON50EQUAL', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty 50 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FC0', 'listingDate': '2025-05-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF,101.99,101.99,100.9,101.48,0.5,0.50,19866,2013021.78,101.0908,114.1,85.91,-,-,-4.8119313385235865,-3.1309660175639564,100.98,0,11.060473269062218,-18.12361773949483,https://nsearchives.nseindia.com/today/MOVALUEEQN.svg,-4.88,09-Aug-2024,https://nsearchives.nseindia.com/365d/MOVALUE-EQ.svg,11-Jul-2025,-3.85,https://nsearchives.nseindia.com/30d/MOVALUE-EQ.svg,"{'symbol': 'MOVALUE', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal SP BSE Enhanced Value ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BE5', 'slb_isin': 'INF247L01BE5', 'listingDate': '2022-08-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
ITIETF,Nifty IT Index,37.93,38.27,37.7,37.9,0.19,0.50,3038392,115580431.68,37.6408,49.53,33.43,01-SEP-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,-9.221556886227548,-6.234537357743699,37.71,0,23.48071875630931,-13.371223451989229,https://nsearchives.nseindia.com/today/ITIETFEQN.svg,-9.44,09-Aug-2024,https://nsearchives.nseindia.com/365d/ITIETF-EQ.svg,11-Jul-2025,-8.02,https://nsearchives.nseindia.com/30d/ITIETF-EQ.svg,"{'symbol': 'ITIETF', 'companyName': 'ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC16I6', 'slb_isin': 'INF109KC16I6', 'listingDate': '2020-08-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
MOGSEC,Nifty 5 yr Benchmark G-Sec Index,62.18,62.5,62.04,62.38,0.31,0.50,4321,269241.51,61.9088,65.8,55.7,-,-,8.751743375174344,0.1927401220687513,62.07,0,5.197568389057742,-11.992818671454218,https://nsearchives.nseindia.com/today/MOGSECEQN.svg,8.97,09-Aug-2024,https://nsearchives.nseindia.com/365d/MOGSEC-EQ.svg,11-Jul-2025,-0.31,https://nsearchives.nseindia.com/30d/MOGSEC-EQ.svg,"{'symbol': 'MOGSEC', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal 5 Year G Sec ETF - Growth', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01AK4', 'slb_isin': 'INF247L01AK4', 'listingDate': '2020-12-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '12-Aug-2025 16:00:00', 'preOpenTime': '12-Aug-2025 09:07:13', 'QuotePreOpenFlag': False}}"
