symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,212.95,213.99,208.1,208.97,-3.98,-1.87,32270995,6772068300.75,212.4062,360,103.13,-,-,101.72796601988608,-9.887882708063824,212.95,0,105.57,-8.17,09-Jul-2025,09-Jun-2026,-,-9.887882708063824,-,101.72796601988608,41.952777777777776,-102.6277513817512,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
LIQUIDBEES,Government Securities,999.11,1000.01,999.11,1000,0.01,0.00,3183564,3183532164.36,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.0010000100000990915,0,999.99,0,0,0,09-Jul-2025,09-Jun-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0,19-SEP-17,0.0010000100000990915,2.9116787541626628,-3.093846328312662,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,114.95,114.97,114.95,114.97,0.06,0.05,15730002,1808163729.9,114.9108,114.97,102,-,-,5.101014717981532,0.4543468763652215,114.91,0,5.05,0.4,09-Jul-2025,09-Jun-2026,-,0.4543468763652215,-,5.101014717981532,0,-12.715686274509803,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
GOLDBEES,Gold,118.42,119.36,117.91,118.38,-0.04,-0.03,14817060,1753154539.2,118.0478,148.14,79,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,47.919530176183926,-5.590557460722549,118.42,0,47.97,-5.56,09-Jul-2025,09-Jun-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,-5.590557460722549,19-DEC-19,47.919530176183926,20.089104900769538,-49.84810126582278,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
NIFTYBEES,Nifty 50,274.98,275.33,273.63,275.26,2.5,0.92,5563086,1529236710.54,272.5916,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-3.9232111692844707,4.312566318023342,272.76,0,-4.8,3.37,09-Jul-2025,09-Jun-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,4.312566318023342,19-DEC-19,-3.9232111692844707,8.92969396195203,-9.360349622566547,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,21.98,21.98,21.15,21.25,-0.39,-1.80,69792255,1488668799.15,21.5822,35.1,10.44,-,-,102.38095238095238,-9.766454352441615,21.64,0,106.1,-8.11,09-Jul-2025,09-Jun-2026,-,-9.766454352441615,-,102.38095238095238,39.45868945868946,-103.544061302682,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
HDFCSILVER,HDFC Silver ETF,218.15,218.15,208.02,208.99,-4.15,-1.95,4971201,1043007681.81,212.4787,359,103.33,-,-,101.06792380219359,-9.9607944509069,213.14,0,105.06,-8.17,09-Jul-2025,09-Jun-2026,-,-9.9607944509069,-,101.06792380219359,41.78551532033426,-102.25491144875643,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1113.3,1113.3,1113.06,1113.08,0.47,0.04,730833,813468287.31,1112.6144,1136.66,1030.28,-,-,5.167282381730725,0.45395063399665836,1112.61,0,5.12,0.41,09-Jul-2025,09-Jun-2026,-,0.45395063399665836,-,5.167282381730725,2.074498970668463,-8.03665023100516,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ
ITBEES,Nifty IT TRI,30.86,31.49,30.86,31.03,0.58,1.90,17786848,553882446.72,30.4663,44.27,28.55,-,-,-26.18934348239771,-2.0517676767676725,30.45,0,-27.57,-3.88,09-Jul-2025,09-Jun-2026,-,-2.0517676767676725,-,-26.18934348239771,29.90738649198103,-8.686514886164625,https://nsearchives.nseindia.com/today/ITBEESEQN.svg,https://nsearchives.nseindia.com/30d/ITBEES-EQ.svg,https://nsearchives.nseindia.com/365d/ITBEES-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,220.02,223.44,217.35,218.35,-3.9,-1.75,2307979,505401241.42,221.6569,373.5,107.3,-,-,102.64501160092807,-9.798818523567563,222.25,0,106.26,-8.19,09-Jul-2025,09-Jun-2026,-,-9.798818523567563,-,102.64501160092807,41.539491298527444,-103.49487418452937,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
