symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,cact,mpc,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
SILVER360,Commodity-Silver,233,246,232.52,243.73,13.47,5.85,118822,28379446.48,231.6733,246,78.4,230.26,0,0,31.91,,05-Dec-2025,-,-,38.6405005688282,Infinity,0.9227642276422806,-210.88010204081633,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,,EQ,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
MAHKTECH,Hang Seng TECH Total Return Index,26.66,26.66,26.66,26.66,1.07,4.18,1233862,32894760.92,22.2804,35.59,16.91,25.59,0,39.68,-0.66,03-Jan-2025,05-Dec-2025,-,-,2.26313770617568,48.606465997770336,25.091317785894923,-57.6581904198699,https://nsearchives.nseindia.com/today/MAHKTECHEQN.svg,https://nsearchives.nseindia.com/30d/MAHKTECH-EQ.svg,https://nsearchives.nseindia.com/365d/MAHKTECH-EQ.svg,EQ,"{'symbol': 'MAHKTECH', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HS7', 'slb_isin': 'INF769K01HS7', 'listingDate': '2021-12-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,22.88,23.6,22.88,23.6,0.72,3.15,114197565,2677932899.25,23.2162,25.1,8.56,22.88,0,163.59,32.33,03-Jan-2025,05-Dec-2025,-,-,35.710178263369755,171.88940092165902,5.9760956175298805,-175.70093457943923,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
AXISILVER,Axis Silver ETF,240.26,241.7,236.93,241.39,6.99,2.98,1904044,457922582,235.2282,247.38,86.48,234.4,0,163.43,32.83,03-Jan-2025,05-Dec-2025,-,-,36.07869665708326,170.49529359031823,2.4213760206969073,-179.12812210915814,https://nsearchives.nseindia.com/today/AXISILVEREQN.svg,https://nsearchives.nseindia.com/30d/AXISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/AXISILVER-EQ.svg,EQ,"{'symbol': 'AXISILVER', 'companyName': 'Axis Mutual Fund - Axis Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K011K1', 'listingDate': '2022-09-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
MOSILVER,Domestic Price of Physical Silver,236.11,239.33,234.66,239.33,6.71,2.88,986463,235833709.41,233.9172,248,112.32,232.62,0,0,32.51,,05-Dec-2025,-,-,35.32937517670343,Infinity,3.4959677419354787,-113.07870370370372,https://nsearchives.nseindia.com/today/MOSILVEREQN.svg,https://nsearchives.nseindia.com/30d/MOSILVER-EQ.svg,,EQ,"{'symbol': 'MOSILVER', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FZ1', 'listingDate': '2025-08-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,228.16,232.49,228.16,232.01,6.47,2.87,64366251,14891775831.36,226.5802,243.29,77.55,225.54,0,162.68,32.53,03-Jan-2025,05-Dec-2025,-,-,35.805431983142114,169.99883626207375,4.636442106128489,-199.1747259832366,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
SBISILVER,SBI SILVER ETF,233.5,238.05,233.5,238.05,6.59,2.85,7035718,1667605880.36,231.811,249.4,86,231.46,0,163.14,32.71,03-Jan-2025,05-Dec-2025,-,-,35.788032627916266,170.41917528115417,4.550922213311947,-176.80232558139537,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,EQ,"{'symbol': 'SBISILVER', 'companyName': 'SBI Mutual Fund - SBI SILVER ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1217', 'listingDate': '2024-07-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,227.5,233.1,227.5,232.8,6.41,2.83,10499203,2437914936.6,227.0036,243.45,85.1,226.39,0,163.43,32.59,03-Jan-2025,05-Dec-2025,-,-,35.57742705724768,170.35187550807106,4.374614910659264,-173.56051703877793,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,232,236,231.7,234.6,6.32,2.77,2213915,518609588.75,229.7067,244.7,85.87,228.28,0,163,32.4,03-Jan-2025,05-Dec-2025,-,-,35.247319266689715,169.74818903070025,4.127503064977521,-173.20367998136715,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,EQ,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1KU9', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
SILVERIETF,Domestic Price of Silver,241.52,242.65,238.66,241.93,6.3,2.67,9945100,2401642199,236.3373,251.35,88.32,235.63,0,164.43,32.79,03-Jan-2025,05-Dec-2025,-,-,35.778426310472554,170.94859446746554,3.7477620847423863,-173.92436594202903,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ,"{'symbol': 'SILVERIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1Y56', 'listingDate': '2022-01-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),233.33,235,231.67,234.5,6.09,2.67,2123859,496876813.05,226.659,244.64,85.08,228.41,0,0,0,,,-,-,Infinity,Infinity,4.14486592544146,-175.62294311236485,https://nsearchives.nseindia.com/today/SILVERBETAEQN.svg,,,EQ,"{'symbol': 'SILVERBETA', 'companyName': 'UTI Mutual Fund - UTI Silver Exchange Traded Fund (UTI Silver ETF)', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AYK6', 'listingDate': '2023-04-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '06-Jan-2026 16:00:00', 'preOpenTime': '06-Jan-2026 09:07:03', 'QuotePreOpenFlag': False}}"
