symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,cact,ypc,mpc,xdt,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
ITETFADD,DSP Nifty IT ETF,37.27,37.93,37.27,37.88,1.17,3.19,115928,4360052.08,36.7223,48.66,32.61,36.71,0,-12.76,-0.51,22-Oct-2024,22-Sep-2025,-,-10.639301722104264,2.6558265582655936,-,22.15371968762843,-16.16068690585711,https://nsearchives.nseindia.com/today/ITETFADDEQN.svg,https://nsearchives.nseindia.com/30d/ITETFADD-EQ.svg,https://nsearchives.nseindia.com/365d/ITETFADD-EQ.svg,"{'symbol': 'ITETFADD', 'companyName': 'DSP Mutual Fund - DSP Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SX1', 'slb_isin': 'INF740KA1SX1', 'listingDate': '2023-07-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
MAHKTECH,Hang Seng TECH Total Return Index,26.98,26.98,26.98,26.98,0.76,2.90,730424,19706839.52,22.4889,35.59,16.91,26.22,0,44.62,-8.23,22-Oct-2024,22-Sep-2025,-,45.83783783783784,-5.5652782639131955,-,24.19218881708346,-59.550561797752806,https://nsearchives.nseindia.com/today/MAHKTECHEQN.svg,https://nsearchives.nseindia.com/30d/MAHKTECH-EQ.svg,https://nsearchives.nseindia.com/365d/MAHKTECH-EQ.svg,"{'symbol': 'MAHKTECH', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Hang Seng TECH ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HS7', 'slb_isin': 'INF769K01HS7', 'listingDate': '2021-12-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
NIFITETF,UTI Nifty IT ETF,371.5,376.06,371.25,375.25,10.24,2.81,7526,2809004.24,364.5898,469.99,325,365.01,0,-12.25,-0.42,22-Oct-2024,22-Sep-2025,-,-10.811902837857112,2.3734824716955365,-,20.157875699482968,-15.461538461538462,https://nsearchives.nseindia.com/today/NIFITETFEQN.svg,https://nsearchives.nseindia.com/30d/NIFITETF-EQ.svg,https://nsearchives.nseindia.com/365d/NIFITETF-EQ.svg,"{'symbol': 'NIFITETF', 'companyName': 'UTI Mutual Fund - UTI Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AZD8', 'listingDate': '2024-02-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
PSUBANKADD,DSP Nifty PSU Bank ETF,79.35,81,79,81,1.9,2.40,77294,6166515.32,78.9879,81,55.47,79.1,0,22.33,6.59,22-Oct-2024,22-Sep-2025,-,22.11668928086839,9.149710281633213,-,0,-46.02487831260141,https://nsearchives.nseindia.com/today/PSUBANKADDEQN.svg,https://nsearchives.nseindia.com/30d/PSUBANKADD-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBANKADD-EQ.svg,"{'symbol': 'PSUBANKADD', 'companyName': 'DSP Mutual Fund - DSP Nifty PSU Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SY9', 'slb_isin': 'INF740KA1SY9', 'listingDate': '2023-08-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
HNGSNGBEES,Hang Seng Index,509.1,512.23,505.52,512.23,11.25,2.25,116125,59444387.5,426.8555,579.92,309.05,500.98,0,54.23,-4.87,22-Oct-2024,22-Sep-2025, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,56.88514548238897,-2.734367582553211,19-DEC-19,11.672299627534823,-65.7434072156609,https://nsearchives.nseindia.com/today/HNGSNGBEESEQN.svg,https://nsearchives.nseindia.com/30d/HNGSNGBEES-EQ.svg,https://nsearchives.nseindia.com/365d/HNGSNGBEES-EQ.svg,"{'symbol': 'HNGSNGBEES', 'companyName': 'NIPPON INDIA ETF HANG SENG BEES', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB19I1', 'slb_isin': 'INF204KB19I1', 'listingDate': '2010-03-18', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
IT,NIFTY IT Index,38.51,39.64,38.51,39.23,0.84,2.19,632832,24882954.24,38.4196,49.5,32.55,38.39,0,-12.77,-0.65,22-Oct-2024,22-Sep-2025,-,-11.52458276950836,1.526915113871626,-,20.74747474747475,-20.522273425499233,https://nsearchives.nseindia.com/today/ITEQN.svg,https://nsearchives.nseindia.com/30d/IT-EQ.svg,https://nsearchives.nseindia.com/365d/IT-EQ.svg,"{'symbol': 'IT', 'companyName': 'Kotak Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1GC5', 'slb_isin': 'INF174KA1GC5', 'listingDate': '2021-03-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
AXISTECETF,NIFTY IT Index,388.02,395.05,387.68,391.02,7.88,2.06,12929,5062737.82,382.6518,498.96,341,383.14,0,-12.48,-0.4,22-Oct-2024,22-Sep-2025,-,-11.531935111654116,1.6507655912860284,-,21.632996632996633,-14.66862170087976,https://nsearchives.nseindia.com/today/AXISTECETFEQN.svg,https://nsearchives.nseindia.com/30d/AXISTECETF-EQ.svg,https://nsearchives.nseindia.com/365d/AXISTECETF-EQ.svg,"{'symbol': 'AXISTECETF', 'companyName': 'AXIS MUTUAL FUND - AXIS NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K01Y96', 'slb_isin': 'INF846K01Y96', 'listingDate': '2021-03-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
SBIETFIT,Nifty IT Index,386,398.01,386,393.51,7.93,2.06,24743,9780413.04,385.1765,510,335,385.58,0,-12.64,-0.37,22-Oct-2024,22-Sep-2025,-,-11.503170962083397,1.6769159216577978,-,22.841176470588234,-17.465671641791044,https://nsearchives.nseindia.com/today/SBIETFITEQN.svg,https://nsearchives.nseindia.com/30d/SBIETFIT-EQ.svg,https://nsearchives.nseindia.com/365d/SBIETFIT-EQ.svg,"{'symbol': 'SBIETFIT', 'companyName': 'SBI Mutual Fund-SBI ETF IT', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KA1S14', 'slb_isin': 'INF200KA1S14', 'listingDate': '2020-10-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
ITIETF,Nifty IT Index,38,39.76,38,39.37,0.77,1.99,1638734,64762767.68,38.5487,49.53,33.43,38.6,0,-12.43,-0.34,22-Oct-2024,22-Sep-2025,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,-11.228861330326954,1.652465788794218,01-SEP-22,20.512820512820518,-17.768471432844745,https://nsearchives.nseindia.com/today/ITIETFEQN.svg,https://nsearchives.nseindia.com/30d/ITIETF-EQ.svg,https://nsearchives.nseindia.com/365d/ITIETF-EQ.svg,"{'symbol': 'ITIETF', 'companyName': 'ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC16I6', 'slb_isin': 'INF109KC16I6', 'listingDate': '2020-08-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
ITETF,Mirae Asset Nifty IT ETF,37.64,37.98,36.94,37.51,0.72,1.96,1749969,65886332.85,36.7526,48.05,31.7,36.79,0,-12.32,-0.33,22-Oct-2024,22-Sep-2025,-,-11.470379985839037,1.625575724735848,-,21.935483870967744,-18.328075709779178,https://nsearchives.nseindia.com/today/ITETFEQN.svg,https://nsearchives.nseindia.com/30d/ITETF-EQ.svg,https://nsearchives.nseindia.com/365d/ITETF-EQ.svg,"{'symbol': 'ITETF', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KV5', 'slb_isin': 'INF769K01KV5', 'listingDate': '2023-10-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '23-Oct-2025 16:00:00', 'preOpenTime': '23-Oct-2025 09:07:32', 'QuotePreOpenFlag': False}}"
