symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,256.58,256.75,254.51,256.22,3.68,1.46,23557530,6027665201.1,252.4168,360,93.65,-,-,171.27580730545264,8.553997373215282,252.54,0,168.6,10.82,23-May-2025,24-Apr-2026,-,8.553997373215282,-,171.27580730545264,28.82777777777777,-173.59316604378003,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
LIQUIDBEES,Government Securities,1000,1000.01,999.99,1000,0,0.00,3414550,3414515854.5,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0,0.0010000100000990915,1000,0,0,0,23-May-2025,24-Apr-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.0010000100000990915,19-SEP-17,0,2.9116787541626628,-3.093846328312662,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
GOLDBEES,Gold,130.5,131.29,130.02,130.6,0.1,0.08,19993051,2610092808.05,129.8178,148.14,77.38,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,63.638641774213745,4.488359068725498,130.5,0,64.13,5.29,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,4.488359068725498,19-DEC-19,63.638641774213745,11.840151208316453,-68.77746187645387,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,114.23,114.23,114.21,114.22,0.02,0.02,20640370,2357336657.7,114.2011,114.23,102,-,-,5.116878336094241,0.43967639817094617,114.2,0,5.05,0.37,23-May-2025,24-Apr-2026,-,0.43967639817094617,-,5.116878336094241,0.008754267705510913,-11.980392156862745,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
NIFTYBEES,Nifty 50,274.99,274.99,269.01,272.36,3.26,1.21,7800176,2117123769.92,268.711,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-1.2866514443115549,-1.1899579161224687,269.1,0,-3.33,-0.73,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-1.1899579161224687,19-DEC-19,-1.2866514443115549,9.889164598842013,-8.20818434644419,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,25.63,26.11,25.63,26.02,0.4,1.56,47823689,1241502966.44,25.6061,35.1,9.34,-,-,171.04166666666669,8.59766277128547,25.62,0,168.55,10.67,23-May-2025,24-Apr-2026,-,8.59766277128547,-,171.04166666666669,25.868945868945875,-178.58672376873662,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
BANKBEES,Nifty Bank,563.29,572.4,562.43,572.3,12.68,2.27,1585802,901782165.32,558.1896,638.99,515.98,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,1.6139628202624097,-2.835314091680823,559.62,0,-1.47,-3.31,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-2.835314091680823,19-DEC-19,1.6139628202624097,10.436783048248024,-10.91515175006782,https://nsearchives.nseindia.com/today/BANKBEESEQN.svg,https://nsearchives.nseindia.com/30d/BANKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/BANKBEES-EQ.svg,EQ
TATAGOLD,Tata Gold Exchange Traded Fund,14.92,15.45,14.92,15.32,0.01,0.07,44586646,682621550.26,15.2341,17.7,8,-,-,63.50053361792958,4.5020463847203285,15.31,0,63.57,5.3,23-May-2025,24-Apr-2026,-,4.5020463847203285,-,63.50053361792958,13.446327683615813,-91.5,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,EQ
LIQUIDIETF,S&P BSE Liquid Rate Index,1000,1000.01,999.99,1000,0.01,0.00,668911,668904310.89,1000,1029.99,969.99,-,-,0,0.0010000100000990915,999.99,0,0,0,23-May-2025,24-Apr-2026,-,0.0010000100000990915,-,0,2.9116787541626628,-3.093846328312662,https://nsearchives.nseindia.com/today/LIQUIDIETFEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDIETF-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,266.97,267.94,265.48,267.5,3.82,1.45,2503038,668561449.8,263.4984,373.5,97.45,-,-,172.6253567060742,8.62503045561602,263.68,0,169.89,10.89,23-May-2025,24-Apr-2026,-,8.62503045561602,-,172.6253567060742,28.380187416331996,-174.49974345818367,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
