symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
LIQUIDBEES,Government Securities,999.99,1000.01,999.99,1000.01,0.02,0.00,2862680,2862680000,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.002000020000198183,0.0009999999999990906,999.99,0,0,0,14-Aug-2025,17-Jul-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.0009999999999990906,19-SEP-17,0.002000020000198183,2.9107078709502052,-3.0948772667759443,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,221.56,222.58,221.16,221.7,-1.91,-0.85,11785788,2614794925.68,223.5397,360,106.64,-,-,101.43558059240412,6.642936168165859,223.61,0,101.76,9.12,14-Aug-2025,17-Jul-2026,-,6.642936168165859,-,101.43558059240412,38.41666666666667,-107.89572393098273,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
GOLDBEES,Gold,126.85,126.85,126.17,126.45,0.03,0.02,13766507,1740224149.87,126.3681,148.14,80.02,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,52.809667673716014,8.224922971585073,126.42,0,52.06,9.18,14-Aug-2025,17-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,8.224922971585073,19-DEC-19,52.809667673716014,14.641555285540694,-58.022994251437154,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1119.65,1119.65,1118.66,1118.66,0.14,0.01,1362113,1523754949.71,1118.5237,1136.66,1061.5,-,-,5.099682444239836,0.3912770349098203,1118.52,0,5.1,0.39,14-Aug-2025,17-Jul-2026,-,0.3912770349098203,-,5.099682444239836,1.5835870005102668,-5.384832783796522,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,115.51,115.53,115.51,115.51,0.02,0.02,13077255,1510553725.05,115.5048,115.53,102,-,-,4.999545495864012,0.3823759450769201,115.49,0,5,0.36,14-Aug-2025,17-Jul-2026,-,0.3823759450769201,-,4.999545495864012,0.01731152081710034,-13.24509803921569,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
NIFTYBEES,Nifty 50,278.99,278.99,275.81,276.1,-1.81,-0.65,4677291,1292195184.57,276.9414,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-1.768242786494457,0.1886929385296606,277.91,0,-0.12,0.52,14-Aug-2025,17-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,0.1886929385296606,19-DEC-19,-1.768242786494457,8.651778329197677,-9.694080254270972,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
GOLDIETF,Gold,127.74,133,127.73,131,-0.02,-0.02,5613015,735529485.6,130.8763,158,82.87,-,-,53.0552634653581,8.21080455972245,131.02,0,52.44,9.28,14-Aug-2025,17-Jul-2026,-,8.21080455972245,-,53.0552634653581,17.088607594936708,-58.07891878846386,https://nsearchives.nseindia.com/today/GOLDIETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDIETF-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,22.13,22.9,22.13,22.52,-0.18,-0.79,24258207,546294821.64,22.6963,35.1,10.56,-,-,102.15439856373429,6.679298910468972,22.7,0,102.14,9.08,14-Aug-2025,17-Jul-2026,-,6.679298910468972,-,102.15439856373429,35.840455840455846,-113.25757575757575,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,227.52,235.9,227.51,231.8,-1.56,-0.67,2327134,539127133.78,233.3751,373.5,111.17,-,-,102.37471625632966,6.86952512678654,233.36,0,102.34,9.08,14-Aug-2025,17-Jul-2026,-,6.86952512678654,-,102.37471625632966,37.9384203480589,-108.50948997031574,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
TATAGOLD,Tata Gold Exchange Traded Fund,14.47,15.22,14.47,14.86,0.01,0.07,31734829,471262210.65,14.849,17.7,9.45,-,-,52.566735112936335,8.230152949745076,14.85,0,52,9.11,14-Aug-2025,17-Jul-2026,-,8.230152949745076,-,52.566735112936335,16.045197740112997,-57.248677248677254,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,EQ
