symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,mpc,xdt,cact,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
HDFCSILVER,HDFC Silver ETF,161.11,175.5,160.01,174.8,17.61,11.20,11945555,2003866851.25,155.9154,175.5,83.13,157.19,0,78.85,26.65,11-Oct-2024,12-Sep-2025,44.64211832850643,-,-,102.33823359185092,0.3988603988603924,-110.27306628172744,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
MOSILVER,Domestic Price of Physical Silver,164,188.32,162.46,175.99,16.64,10.44,487440,85180140,161.1122,188.32,112.32,159.35,0,0,24.71,,12-Sep-2025,41.187324508624144,-,-,Infinity,6.547366185216644,-56.68625356125358,https://nsearchives.nseindia.com/today/MOSILVEREQN.svg,https://nsearchives.nseindia.com/30d/MOSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/MOSILVER-EQ.svg,"{'symbol': 'MOSILVER', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FZ1', 'listingDate': '2025-08-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
SILVERCASE,Commodity-Silver,16.12,18.09,16.12,17.98,1.46,8.84,28952396,510141217.52,19.0614,18.09,9,16.52,0,0,26.3,,12-Sep-2025,41.46341463414634,-,-,Infinity,0.6080707573244856,-99.77777777777777,https://nsearchives.nseindia.com/today/SILVERCASEEQN.svg,https://nsearchives.nseindia.com/30d/SILVERCASE-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERCASE-EQ.svg,"{'symbol': 'SILVERCASE', 'companyName': 'Zerodha Fund House - Zerodha Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01091', 'listingDate': '2025-03-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
SILVERIETF,Domestic Price of Silver,166.71,175.9,164.45,175.9,13.25,8.15,26644145,4532701947.4,162.0175,175.9,86.01,162.65,0,78.36,26.6,11-Oct-2024,12-Sep-2025,41.149093243460115,-,-,96.207473508087,0,-104.5111033600744,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,"{'symbol': 'SILVERIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1Y56', 'listingDate': '2022-01-31', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
AXISILVER,Axis Silver ETF,166.11,176,155.28,173.9,12.63,7.83,2693181,457382929.23,161.6023,176,85.51,161.27,0,77.14,25.81,11-Oct-2024,12-Sep-2025,39.835960115792865,-,-,94.95515695067265,1.193181818181815,-103.36802713132967,https://nsearchives.nseindia.com/today/AXISILVEREQN.svg,https://nsearchives.nseindia.com/30d/AXISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/AXISILVER-EQ.svg,"{'symbol': 'AXISILVER', 'companyName': 'Axis Mutual Fund - Axis Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K011K1', 'listingDate': '2022-09-27', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
SILVERADD,DSP Silver ETF,157.84,169,157.83,165.5,11.51,7.47,1779069,290006037.69,156.4444,169,83.3,153.99,0,74.65,24.25,11-Oct-2024,12-Sep-2025,37.33300141067131,-,-,90.93216428241807,2.0710059171597632,-98.67947178871549,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,"{'symbol': 'SILVERADD', 'companyName': 'DSP  Mutual Fund - DSP Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RE3', 'listingDate': '2022-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,155.05,165.5,155.05,165.5,11.49,7.46,2034201,330049112.25,157.5931,168,81.8,154.01,0,73.4,22.94,11-Oct-2024,12-Sep-2025,36.53988944806535,-,-,89.66307586523033,1.4880952380952381,-102.32273838630807,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1KU9', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,16.45,17.19,16.26,17.18,1.13,7.04,151469249,2564374385.57,14.3984,17.19,8.15,16.05,0,80.74,28.3,11-Oct-2024,12-Sep-2025,41.63231657048639,-,-,96.7926689576174,0.058173356602685064,-110.79754601226992,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,157.76,164.9,156.63,164.69,10.77,7.00,86689491,13976079739.02,155.6327,165,77.55,153.92,0,75.49,24.47,11-Oct-2024,12-Sep-2025,38.00067035361152,-,-,90.94492753623189,0.18787878787878926,-112.36621534493875,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,163.09,182.71,163.09,173.9,10.81,6.63,471696,80164735.2,162.4572,182.71,86.27,163.09,0,77.77,26.44,11-Oct-2024,12-Sep-2025,38.72048500319082,-,-,92.90072102052135,4.821848831481584,-101.57644604149765,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '13-Oct-2025 16:00:00', 'preOpenTime': '13-Oct-2025 09:07:22', 'QuotePreOpenFlag': False}}"
