symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,205.35,205.75,203.11,205.2,-1.64,-0.79,25255988,5164849546,206.9695,360,105.42,-,-,90.37016420818256,-13.098716808537674,206.84,0,91.89,-12.4,16-Jul-2025,16-Jun-2026,-,-13.098716808537674,-,90.37016420818256,43.00000000000001,-94.6499715424018,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
LIQUIDBEES,Government Securities,1000,1000.01,999.11,999.99,-0.01,-0.00,3514326,3514326000,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,-0.0009999999999990906,-0.0009999999999990906,1000,0,0,0,16-Jul-2025,16-Jun-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,-0.0009999999999990906,19-SEP-17,-0.0009999999999990906,2.9126496373751203,-3.0928153898493798,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
GOLDBEES,Gold,115.95,115.99,115.15,115.83,-0.64,-0.55,24160121,2793151588.81,116.6211,148.14,79.67,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,42.38475722188077,-6.694055099081684,116.47,0,43.17,-6.18,16-Jul-2025,16-Jun-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,-6.694055099081684,19-DEC-19,42.38475722188077,21.810449574726604,-45.3872222919543,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,115.08,115.08,115.06,115.08,0.07,0.06,18043132,2076223199.24,115.0191,115.08,102,-,-,5.095890410958902,0.4626800523788749,115.01,0,5.03,0.4,16-Jul-2025,16-Jun-2026,-,0.4626800523788749,-,5.095890410958902,0,-12.823529411764703,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
NIFTYBEES,Nifty 50,275,277,273.89,276.6,2.61,0.95,7357065,2029004956.35,273.9178,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-2.482019461288945,1.8147016601023325,273.99,0,-3.4,0.85,16-Jul-2025,16-Jun-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,1.8147016601023325,19-DEC-19,-2.482019461288945,8.486352357320092,-9.892729439809312,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1114.16,1114.16,1114.14,1114.15,0.47,0.04,1075786,1198576214.04,1113.68,1136.66,1030.28,-,-,5.16404893151099,0.4544184075520184,1113.68,0,5.12,0.41,16-Jul-2025,16-Jun-2026,-,0.4544184075520184,-,5.16404893151099,1.9803635211936716,-8.140505493652222,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,214.99,215,212.13,214.11,-1.81,-0.84,5292240,1130316619.2,215.96,373.5,109.49,-,-,90.65894924309886,-13.192783296168656,215.92,0,92.27,-12.46,16-Jul-2025,16-Jun-2026,-,-13.192783296168656,-,90.65894924309886,42.67469879518072,-95.55210521508816,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,21.1,21.1,20.65,20.83,-0.18,-0.86,52008897,1080224790.69,21.0382,35.1,10.44,-,-,90.57639524245197,-13.063439065108524,21.01,0,92.22,-12.31,16-Jul-2025,16-Jun-2026,-,-13.063439065108524,-,90.57639524245197,40.65527065527066,-99.52107279693485,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
ITBEES,Nifty IT TRI,32.5,32.58,32.05,32.38,0.51,1.60,27689537,896587208.06,31.883,44.27,28.55,-,-,-21.024390243902435,2.0807061790668464,31.87,0,-22.27,0.47,16-Jul-2025,16-Jun-2026,-,2.0807061790668464,-,-21.024390243902435,26.857917325502594,-13.415061295971984,https://nsearchives.nseindia.com/today/ITBEESEQN.svg,https://nsearchives.nseindia.com/30d/ITBEES-EQ.svg,https://nsearchives.nseindia.com/365d/ITBEES-EQ.svg,EQ
HDFCSILVER,HDFC Silver ETF,205.89,205.89,202.91,204.8,-2.18,-1.05,3508779,717440042.13,207.0822,359,105.65,-,-,89.436684858015,-13.260768285968403,206.98,0,91.45,-12.34,16-Jul-2025,16-Jun-2026,-,-13.260768285968403,-,89.436684858015,42.95264623955431,-93.84761003312825,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ
