symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,cact,ypc,mpc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
SILVER360,Commodity-Silver,158.04,161.89,157.9,160.34,4.47,2.87,59083,9450325.85,156.556,178.56,78.4,155.87,0,0,8.24,,27-Oct-2025,-,-,Infinity,11.347222222222225,10.203853046594983,-104.51530612244898,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER360-EQ.svg,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
MOSILVER,Domestic Price of Physical Silver,158.97,162.13,157.53,160.9,4.38,2.80,64665,10383905.7,157.4018,193.33,112.32,156.52,0,0,8.1,,27-Oct-2025,-,-,Infinity,11.12645900960012,16.77442714529561,-43.25142450142451,https://nsearchives.nseindia.com/today/MOSILVEREQN.svg,https://nsearchives.nseindia.com/30d/MOSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/MOSILVER-EQ.svg,"{'symbol': 'MOSILVER', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FZ1', 'listingDate': '2025-08-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
ESILVER,Edelweiss Silver ETF,159.51,163.47,159.51,162.96,4.28,2.70,309767,50439360.61,158.7333,192,86.27,158.68,0,76.23,7.75,26-Nov-2024,27-Oct-2025,-,-,80.98622834295868,10.661415184028263,15.124999999999995,-88.89532861945058,https://nsearchives.nseindia.com/today/ESILVEREQN.svg,https://nsearchives.nseindia.com/30d/ESILVER-EQ.svg,https://nsearchives.nseindia.com/365d/ESILVER-EQ.svg,"{'symbol': 'ESILVER', 'companyName': 'Edelweiss Mutual Fund - Edelweiss Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01SF3', 'listingDate': '2023-11-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
GROWWSLVR,Commodity-Silver,158.72,161,156.45,159.8,4.19,2.69,548070,87356877.3,156.1467,194.21,94.2,155.61,0,0,8.8,,27-Oct-2025,-,-,Infinity,11.724812976298685,17.717934194943616,-69.63906581740977,https://nsearchives.nseindia.com/today/GROWWSLVREQN.svg,https://nsearchives.nseindia.com/30d/GROWWSLVR-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWSLVR-EQ.svg,"{'symbol': 'GROWWSLVR', 'companyName': 'Groww Mutual Fund - Groww Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LA1', 'listingDate': '2025-05-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
SILVER1,Kotak Silver ETF,154.65,158.8,154.65,157.68,4.1,2.67,1018037,160381548.98,153.9625,178.98,81.8,153.58,0,76.65,9.29,26-Nov-2024,27-Oct-2025,-,-,81.3664596273292,12.203799900377147,11.90077103586992,-92.76283618581908,https://nsearchives.nseindia.com/today/SILVER1EQN.svg,https://nsearchives.nseindia.com/30d/SILVER1-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER1-EQ.svg,"{'symbol': 'SILVER1', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1KU9', 'listingDate': '2022-12-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,15.81,15.98,15.43,15.84,0.41,2.66,40478936,639162399.44,15.4803,18.33,8.4,15.43,0,76.95,8.66,26-Nov-2024,27-Oct-2025,-,-,81.65137614678898,11.549295774647891,13.58428805237315,-88.57142857142857,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
HDFCSILVER,HDFC Silver ETF,153.07,157.03,153.07,156,3.97,2.61,4341391,676215062.16,152.3792,187.1,83.13,152.03,0,76.41,9.44,26-Nov-2024,27-Oct-2025,-,-,81.01647714086793,12.302929954646897,16.622127204703364,-87.65788523998557,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,"{'symbol': 'HDFCSILVER', 'companyName': 'HDFC Mutual Fund - HDFC Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DI2', 'listingDate': '2022-09-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,153.5,156.69,153.44,155.55,3.91,2.58,43116455,6693829638.75,152.0311,180,77.55,151.64,0,76.31,9.21,26-Nov-2024,27-Oct-2025,-,-,80.85106382978724,12.027367662945638,13.583333333333329,-100.58027079303677,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,"{'symbol': 'SILVERBEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1402', 'listingDate': '2022-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
SILVERAG,Mirae Asset Silver ETF,155.25,159.94,155.25,158.5,3.95,2.56,429258,68028807.84,154.7358,185.7,83.55,154.55,0,0,9.1,,27-Oct-2025,-,-,Infinity,11.887618240858396,14.647280560043077,-89.70676241771395,https://nsearchives.nseindia.com/today/SILVERAGEQN.svg,https://nsearchives.nseindia.com/30d/SILVERAG-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERAG-EQ.svg,"{'symbol': 'SILVERAG', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01KG6', 'listingDate': '2023-06-15', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
SILVER,Physical price of Silver,163,163.65,157.5,161.98,4.02,2.54,2100342,339415267.2,158.3747,191.65,86.3,157.96,0,76.99,9.79,26-Nov-2024,27-Oct-2025,-,-,81.49019607843137,12.579927717542393,15.48134620401775,-87.69409038238702,https://nsearchives.nseindia.com/today/SILVEREQN.svg,https://nsearchives.nseindia.com/30d/SILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER-EQ.svg,"{'symbol': 'SILVER', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB19F6', 'listingDate': '2022-02-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '27-Nov-2025 16:00:00', 'preOpenTime': '27-Nov-2025 09:07:44', 'QuotePreOpenFlag': False}}"
