symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
TATAGOLD,Tata Gold Exchange Traded Fund,8.19,8.4,7.8,8.18,0.34,4.34,5821931,46866544.55,7.7982,8.5,6,-,-,Infinity,9.798657718120799,7.84,0,3.7647058823529447,-36.33333333333333,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,-,-,-,01-Oct-2024,5.23,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,"{'symbol': 'TATAGOLD', 'companyName': 'Tata Mutual Fund Tata Gold Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1976', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
CONSUMIETF,Nifty India Consumption Index,121.26,124.35,116.43,122.3,4.59,3.90,4617,562812.3,117.5397,154,84.19,-,-,Infinity,-6.967898980678542,117.71,0,20.584415584415588,-45.266658748069844,https://nsearchives.nseindia.com/today/CONSUMIETFEQN.svg,-,-,-,01-Oct-2024,-10.46,https://nsearchives.nseindia.com/30d/CONSUMIETF-EQ.svg,"{'symbol': 'CONSUMIETF', 'companyName': 'ICICI Prudential Nifty India Consumption ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1V42', 'slb_isin': 'INF109KC1V42', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
AXISCETF,NIFTY India Consumption Index,121.79,121.8,119.74,121.77,4.38,3.73,145,17408.7,117.0757,140,83.01,-,-,44.4141366223909,-7.152115897826922,117.39,0,13.021428571428574,-46.69316949765087,https://nsearchives.nseindia.com/today/AXISCETFEQN.svg,39.22,01-Nov-2023,https://nsearchives.nseindia.com/365d/AXISCETF-EQ.svg,01-Oct-2024,-10.49,https://nsearchives.nseindia.com/30d/AXISCETF-EQ.svg,"{'symbol': 'AXISCETF', 'companyName': 'AXIS MUTUAL FUND - Axis NIFTY India Consumption ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF846K016C7', 'slb_isin': 'INF846K016C7', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,23.28,23.28,22.01,22.71,0.73,3.32,8628,195596.76,21.8018,25.1,16.07,-,-,40.61919504643964,-5.177453027139868,21.98,0,9.521912350597612,-41.31922837585563,https://nsearchives.nseindia.com/today/NIFTYQLITYEQN.svg,36.1,01-Nov-2023,https://nsearchives.nseindia.com/365d/NIFTYQLITY-EQ.svg,01-Oct-2024,-8.23,https://nsearchives.nseindia.com/30d/NIFTYQLITY-EQ.svg,"{'symbol': 'NIFTYQLITY', 'companyName': 'Aditya Birla Sun Life Mutual Fund - ABSL Nifty 200 Quality 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB15K4', 'slb_isin': 'INF209KB15K4', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
TECH,Nifty IT TRI Index,45,45.03,43.6,44.03,1.41,3.31,1803,79007.46,42.4093,49,31.08,-,-,40.267601146862056,-0.7215332581736196,42.62,0,10.14285714285714,-41.66666666666668,https://nsearchives.nseindia.com/today/TECHEQN.svg,35.78,01-Nov-2023,https://nsearchives.nseindia.com/365d/TECH-EQ.svg,01-Oct-2024,-3.9,https://nsearchives.nseindia.com/30d/TECH-EQ.svg,"{'symbol': 'TECH', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB11D8', 'slb_isin': 'INF209KB11D8', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
LICNMID100,LIC MF Nifty Midcap 100 ETF,57.59,58.3,56.46,58.14,1.68,2.98,5434,314193.88,56.117,65,44.1,-,-,Infinity,-3.470031545741319,56.46,0,10.553846153846154,-31.83673469387755,https://nsearchives.nseindia.com/today/LICNMID100EQN.svg,-,-,-,01-Oct-2024,-6.26,https://nsearchives.nseindia.com/30d/LICNMID100-EQ.svg,"{'symbol': 'LICNMID100', 'companyName': 'LIC Mutual Fund - LIC MF Nifty Midcap 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF767K01RN1', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
ABSLNN50ET,Nifty Next 50,74.75,74.75,72.59,74.63,2.04,2.81,5779,427241.47,72.424,81.7,45,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,65.66037735849056,-6.863846249844004,72.59,0,8.65361077111384,-65.84444444444443,https://nsearchives.nseindia.com/today/ABSLNN50ETEQN.svg,61.13,01-Nov-2023,https://nsearchives.nseindia.com/365d/ABSLNN50ET-EQ.svg,01-Oct-2024,-9.41,https://nsearchives.nseindia.com/30d/ABSLNN50ET-EQ.svg,"{'symbol': 'ABSLNN50ET', 'companyName': 'Aditya Birla Sun Life Nifty Next 50 ETF', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB16D7', 'slb_isin': 'INF209KB16D7', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
HDFCNIF100,HDFC NIFTY 100 ETF,26.12,26.7,25.61,26.28,0.67,2.62,7036,184906.08,25.5389,29.1,19.07,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 177.27/- PER SHARE TO RS 17.727/- PER SHARE,37.232375979112284,-4.0525739320920025,25.61,0,9.690721649484535,-37.80807551127426,https://nsearchives.nseindia.com/today/HDFCNIF100EQN.svg,33.73,01-Nov-2023,https://nsearchives.nseindia.com/365d/HDFCNIF100-EQ.svg,01-Oct-2024,-6.5,https://nsearchives.nseindia.com/30d/HDFCNIF100-EQ.svg,"{'symbol': 'HDFCNIF100', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1HR4', 'slb_isin': 'INF179KC1HR4', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
MOQUALITY,Motilal Oswal S&P BSE Quality ETF,197.85,203.7,197.84,203,5.16,2.61,1624,326635.12,197.0654,222.7,130.33,-,-,48.826979472140756,-6.546358530522052,197.84,0,8.845981140547817,-55.75845929563415,https://nsearchives.nseindia.com/today/MOQUALITYEQN.svg,45.04,01-Nov-2023,https://nsearchives.nseindia.com/365d/MOQUALITY-EQ.svg,01-Oct-2024,-8.92,https://nsearchives.nseindia.com/30d/MOQUALITY-EQ.svg,"{'symbol': 'MOQUALITY', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Quality ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BH8', 'slb_isin': 'INF247L01BH8', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
HDFCVALUE,HDFC NIFTY50 Value 20 ETF,142.71,144.84,141.32,144.84,3.64,2.58,218,31320.06,140.7581,155.7,101,-,-,42,-3.110575958258081,141.2,0,6.9749518304431515,-43.40594059405941,https://nsearchives.nseindia.com/today/HDFCVALUEEQN.svg,38.43,01-Nov-2023,https://nsearchives.nseindia.com/365d/HDFCVALUE-EQ.svg,01-Oct-2024,-5.55,https://nsearchives.nseindia.com/30d/HDFCVALUE-EQ.svg,"{'symbol': 'HDFCVALUE', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY50 Value 20 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1DK8', 'slb_isin': 'INF179KC1DK8', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '01-Nov-2024 18:26:44', 'preOpenTime': '01-Nov-2024 17:52:46', 'QuotePreOpenFlag': False}}"
