symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
GROWWPOWER,BSE Power Index - TRI,12.22,12.44,12.22,12.42,0.12,0.98,12395151,153699872.4,12.2812,13.2,7.75,-,-,Infinity,-0.08045052292839733,12.3,0,0,0.99,,24-Apr-2026,-,-0.08045052292839733,-,Infinity,5.909090909090905,-60.25806451612903,https://nsearchives.nseindia.com/today/GROWWPOWEREQN.svg,https://nsearchives.nseindia.com/30d/GROWWPOWER-EQ.svg,,EQ
GOLDADD,DSP Gold ETF,152.67,152.83,152.03,152.3,-0.94,-0.61,1003985,152826596.7,152.942,181,91.25,-,-,Infinity,4.357955324105807,153.24,0,0,5.25,,24-Apr-2026,-,4.357955324105807,-,Infinity,15.856353591160216,-66.90410958904111,https://nsearchives.nseindia.com/today/GOLDADDEQN.svg,https://nsearchives.nseindia.com/30d/GOLDADD-EQ.svg,,EQ
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF,31.28,31.45,31.21,31.33,0.04,0.13,4599508,144194575.8,31.3433,33.61,26,12-AUG-22,ADDITONAL ISSUANCE 9:1,0.7071681131468944,0.9017713365539375,31.29,0,1.23,1.13,23-May-2025,24-Apr-2026,ADDITONAL ISSUANCE 9:1,0.9017713365539375,12-AUG-22,0.7071681131468944,6.783695328771203,-20.499999999999993,https://nsearchives.nseindia.com/today/MOM30IETFEQN.svg,https://nsearchives.nseindia.com/30d/MOM30IETF-EQ.svg,https://nsearchives.nseindia.com/365d/MOM30IETF-EQ.svg,EQ
CPSEETF,CPSE ETF,103.95,104.88,103.01,103.64,-0.31,-0.30,1341624,139569144.72,103.7716,110.5,85.67,-,-,11.729193617938762,-3.536857781087116,103.95,0,12.16,-2.43,23-May-2025,24-Apr-2026,-,-3.536857781087116,-,11.729193617938762,6.208144796380091,-20.97583751604996,https://nsearchives.nseindia.com/today/CPSEETFEQN.svg,https://nsearchives.nseindia.com/30d/CPSEETF-EQ.svg,https://nsearchives.nseindia.com/365d/CPSEETF-EQ.svg,EQ
METALIETF,Nifty Metal Index,13.39,13.57,13.36,13.57,0.18,1.34,9489359,128296133.68,13.4183,13.99,8.88,-,-,45.28907922912206,4.06441717791412,13.39,0,45.07,4.69,23-May-2025,24-Apr-2026,-,4.06441717791412,-,45.28907922912206,3.0021443888491772,-52.8153153153153,https://nsearchives.nseindia.com/today/METALIETFEQN.svg,https://nsearchives.nseindia.com/30d/METALIETF-EQ.svg,https://nsearchives.nseindia.com/365d/METALIETF-EQ.svg,EQ
SILVERBETA,UTI Silver Exchange Traded Fund (UTI Silver ETF),259.95,265.02,253.38,253.7,-4.86,-1.88,499592,127241086.48,259.0714,379.66,94.56,-,-,Infinity,8.949583440693967,258.56,0,0,12.35,,24-Apr-2026,-,8.949583440693967,-,Infinity,33.17705315282095,-168.29526226734347,https://nsearchives.nseindia.com/today/SILVERBETAEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBETA-EQ.svg,,EQ
PHARMABEES,Nifty Pharma TRI,25.58,25.58,25.18,25.34,0.01,0.04,4904779,123894717.54,25.3079,26.52,21.11,-,-,15.286624203821653,6.560134566862905,25.33,0,15.61,9.13,23-May-2025,24-Apr-2026,-,6.560134566862905,-,15.286624203821653,4.449472096530919,-20.03789673140692,https://nsearchives.nseindia.com/today/PHARMABEESEQN.svg,https://nsearchives.nseindia.com/30d/PHARMABEES-EQ.svg,https://nsearchives.nseindia.com/365d/PHARMABEES-EQ.svg,EQ
LIQGRWBEES,Liquid,1040.85,1040.87,1040.85,1040.87,0.14,0.01,115274,119984095.64,1040.7291,1056.29,995.55,-,-,Infinity,0.3693203733703548,1040.73,0,0,0.37,,24-Apr-2026,-,0.3693203733703548,-,Infinity,1.4598263734391193,-4.55225754608005,https://nsearchives.nseindia.com/today/LIQGRWBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQGRWBEES-EQ.svg,,EQ
GOLDETF,Mirae Asset Gold ETF,152.78,152.97,152.13,152.45,-0.77,-0.50,783809,119444653.51,153.0153,173.5,92.61,-,-,62.682744637712084,4.553871476579101,153.22,0,63.5,5.22,23-May-2025,24-Apr-2026,-,4.553871476579101,-,62.682744637712084,12.132564841498564,-64.6150523701544,https://nsearchives.nseindia.com/today/GOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDETF-EQ.svg,EQ
CASHIETF,BSE Liquid Rate Index,1063.62,1063.62,1063.6,1063.62,0.17,0.02,109325,116279163.25,1063.456,1065.75,1001.71,-,-,5.095598043574916,0.3898101916959935,1063.45,0,5.09,0.39,23-May-2025,24-Apr-2026,-,0.3898101916959935,-,5.095598043574916,0.1998592540464564,-6.180431462199624,https://nsearchives.nseindia.com/today/CASHIETFEQN.svg,https://nsearchives.nseindia.com/30d/CASHIETF-EQ.svg,https://nsearchives.nseindia.com/365d/CASHIETF-EQ.svg,EQ
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index,27.01,27.2,26.82,26.84,-0.17,-0.63,4162917,111857579.79,27.0351,28.72,24.35,10-MAY-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,-2.4709302325581386,0.7885843034172019,27.01,0,-1.35,2.35,23-May-2025,24-Apr-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,0.7885843034172019,10-MAY-24,-2.4709302325581386,6.5459610027855115,-10.225872689938392,https://nsearchives.nseindia.com/today/ALPL30IETFEQN.svg,https://nsearchives.nseindia.com/30d/ALPL30IETF-EQ.svg,https://nsearchives.nseindia.com/365d/ALPL30IETF-EQ.svg,EQ
HNGSNGBEES,Hang Seng Index,543.99,544,526.6,530.29,-6.14,-1.14,209259,111106066.05,459.0198,579.92,375.05,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,36.35638981743379,0.8213396201304135,536.43,0,36.43,1.98,23-May-2025,24-Apr-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,0.8213396201304135,19-DEC-19,36.35638981743379,8.55807697613464,-41.39181442474335,https://nsearchives.nseindia.com/today/HNGSNGBEESEQN.svg,https://nsearchives.nseindia.com/30d/HNGSNGBEES-EQ.svg,https://nsearchives.nseindia.com/365d/HNGSNGBEES-EQ.svg,EQ
SBILIQETF,Nifty 1D Rate Index,1040.38,1040.38,1040.36,1040.36,0.13,0.01,106638,110942976.06,1040.2297,1087.09,984.99,-,-,Infinity,0.38306043091884323,1040.23,0,0,0.38,,24-Apr-2026,-,0.38306043091884323,-,Infinity,4.298632127974686,-5.62137686677021,https://nsearchives.nseindia.com/today/SBILIQETFEQN.svg,https://nsearchives.nseindia.com/30d/SBILIQETF-EQ.svg,,EQ
HDFCNIFBAN,Nifty Bank,56.67,56.95,56.38,56.75,0.07,0.12,1913705,108373114.15,56.7631,65.54,51.2,02-FEB-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 223.31/- PER SHARE TO RS 22.331/- PER SHARE,0.15884221673138618,-1.4072272411396842,56.68,0,0.46,-1.58,23-May-2025,24-Apr-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 223.31/- PER SHARE TO RS 22.331/- PER SHARE,-1.4072272411396842,02-FEB-24,0.15884221673138618,13.411657003356737,-10.839843749999995,https://nsearchives.nseindia.com/today/HDFCNIFBANEQN.svg,https://nsearchives.nseindia.com/30d/HDFCNIFBAN-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCNIFBAN-EQ.svg,EQ
BANK10ADD,BSE Top 10 Banks Index (TRI),16.56,16.7,16.34,16.4,-0.13,-0.79,6129039,101435595.45,16.4723,18.99,12.08,-,-,Infinity,-2.089552238805979,16.53,0,0,-1.08,,24-Apr-2026,-,-2.089552238805979,-,Infinity,13.638757240652977,-35.761589403973495,https://nsearchives.nseindia.com/today/BANK10ADDEQN.svg,https://nsearchives.nseindia.com/30d/BANK10ADD-EQ.svg,,EQ
