symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,mpc,cact,xdt,ypc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
EBBETF0430,Nifty BHARAT Bond,1569.8,1569.8,1560,1562,0.49,0.03,33330,52027463.4,1562.6737,1608.27,1232,1561.51,0,8.81,0.17,03-Dec-2024,03-Nov-2025,0.20078646712042117,-,-,8.847140149403504,2.877004483078089,-26.785714285714285,https://nsearchives.nseindia.com/today/EBBETF0430EQN.svg,https://nsearchives.nseindia.com/30d/EBBETF0430-EQ.svg,https://nsearchives.nseindia.com/365d/EBBETF0430-EQ.svg,"{'symbol': 'EBBETF0430', 'companyName': 'Edelweiss Mutual Fund - BHARAT Bond  ETF - April 2030', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF754K01KO2', 'slb_isin': 'INF754K01KO2', 'listingDate': '2020-01-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
NV20,Nifty50 Value 20,153.28,154.42,153.26,153.79,0.05,0.03,6179,949712.3,153.478,165.75,131.63,153.74,0,-3.13,2.13,03-Dec-2024,03-Nov-2025,2.1588946459412783,-,-,-3.093887838689349,7.215686274509809,-16.835067993618473,https://nsearchives.nseindia.com/today/NV20EQN.svg,https://nsearchives.nseindia.com/30d/NV20-EQ.svg,https://nsearchives.nseindia.com/365d/NV20-EQ.svg,"{'symbol': 'NV20', 'companyName': 'Kotak Nifty 50 value 20 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174K01Z71', 'slb_isin': 'INF174K01Z71', 'listingDate': '2015-12-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
GROWWLIQID,Nifty 1D Rate Index,107.4,107.4,106.88,106.89,0.02,0.02,147094,15721406.72,106.8693,107.55,99.15,106.87,0,5.53,0.4,03-Dec-2024,03-Nov-2025,0.42277339346110754,-,-,5.549521082255362,0.613668061366803,-7.80635400907715,https://nsearchives.nseindia.com/today/GROWWLIQIDEQN.svg,https://nsearchives.nseindia.com/30d/GROWWLIQID-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWLIQID-EQ.svg,"{'symbol': 'GROWWLIQID', 'companyName': 'Groww Mutual Fund - Groww Nifty 1D Rate Liquid ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01IP5', 'slb_isin': 'INF666M01IP5', 'listingDate': '2024-09-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
BSE500IETF,S&P BSE 500 index,40.14,40.34,40.01,40.15,0.01,0.02,114201,4589738.19,40.0544,41.51,33,40.14,0,3.59,-0.3,03-Dec-2024,03-Nov-2025,-0.2732240437158456, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,28-OCT-21,3.612903225806448,3.2763189592869177,-21.666666666666664,https://nsearchives.nseindia.com/today/BSE500IETFEQN.svg,https://nsearchives.nseindia.com/30d/BSE500IETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSE500IETF-EQ.svg,"{'symbol': 'BSE500IETF', 'companyName': 'ICICI Prudential BSE 500 ETF', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC1V59', 'slb_isin': 'INF109KC1V59', 'listingDate': '2018-05-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,111.68,111.68,111.66,111.68,0.02,0.02,12532919,1399551064.73,111.6587,113.08,102,111.66,0,5.64,0.41,03-Dec-2024,03-Nov-2025,0.4316546762589964,-,-,5.657521286660364,1.2380615493455884,-9.49019607843138,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,"{'symbol': 'LIQUIDCASE', 'companyName': 'Zerodha Fund House - Zerodha Nifty 1D Rate Liquid ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0R8F01034', 'slb_isin': 'INF0R8F01034', 'listingDate': '2024-01-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,44.53,44.53,44.11,44.3,0.01,0.02,1021963,45293400.16,44.254,54.7,37.45,44.29,0,-14.42,-4.11,03-Dec-2024,03-Nov-2025,-4.091794760770731,-,-,-14.396135265700487,19.012797074954303,-18.291054739652854,https://nsearchives.nseindia.com/today/SMALLCAPEQN.svg,https://nsearchives.nseindia.com/30d/SMALLCAP-EQ.svg,https://nsearchives.nseindia.com/365d/SMALLCAP-EQ.svg,"{'symbol': 'SMALLCAP', 'companyName': 'Mirae Asset MF-Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LC3', 'slb_isin': 'INF769K01LC3', 'listingDate': '2024-02-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
PSUBNKBEES,Nifty PSU Bank,92.85,92.85,91.52,92.1,0.02,0.02,2796169,257443279.83,91.9064,97.66,61.54,92.08,0,18.8,-1.13,03-Dec-2024,03-Nov-2025,-1.1059808869322465, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,19-DEC-19,18.823377628693056,5.693221380298999,-49.65875853103672,https://nsearchives.nseindia.com/today/PSUBNKBEESEQN.svg,https://nsearchives.nseindia.com/30d/PSUBNKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBNKBEES-EQ.svg,"{'symbol': 'PSUBNKBEES', 'companyName': 'Nippon India ETF Nifty PSU Bank BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KB16I7', 'slb_isin': 'INF204KB16I7', 'listingDate': '2007-11-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
LIQUIDPLUS,Nifty 1D Rate Index,1062.35,1062.37,1062.35,1062.37,0.16,0.02,62678,66585973.3,1062.21,1240.88,994.83,1062.21,0,5.71,0.42,03-Dec-2024,03-Nov-2025,0.4301298897733031,-,-,5.7263417692544865,14.385758493972036,-6.789099645165491,https://nsearchives.nseindia.com/today/LIQUIDPLUSEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDPLUS-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDPLUS-EQ.svg,"{'symbol': 'LIQUIDPLUS', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty 1D Rate Liquid ETF-Growth', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01MY5', 'slb_isin': 'INF769K01MY5', 'listingDate': '2024-11-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
AONELIQUID,Nifty 1D Rate Index,1037.05,1037.05,1037.03,1037.05,0.16,0.02,42497,44071088.88,1036.9027,1060,908.58,1036.89,0,0,0.41,,03-Nov-2025,0.42803327426085286,-,-,Infinity,2.165094339622646,-14.139646481322492,https://nsearchives.nseindia.com/today/AONELIQUIDEQN.svg,https://nsearchives.nseindia.com/30d/AONELIQUID-EQ.svg,https://nsearchives.nseindia.com/365d/AONELIQUID-EQ.svg,"{'symbol': 'AONELIQUID', 'companyName': 'Angel One Mutual Fund - Angel One Nifty 1D Rate Liquid ETF - Growth', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF1J2R01056', 'listingDate': '2025-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,1102.93,1102.95,1102.93,1102.95,0.17,0.02,428354,472448760.76,1102.7885,1121.66,1044.25,1102.78,0,5.6,0.41,03-Dec-2024,03-Nov-2025,0.4233815897295904,-,-,5.620247830999948,1.6680634060232187,-5.621259276993062,https://nsearchives.nseindia.com/today/LIQUIDADDEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDADD-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDADD-EQ.svg,"{'symbol': 'LIQUIDADD', 'companyName': 'DSP BSE Liquid Rate ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1UM0', 'slb_isin': 'INF740KA1UM0', 'listingDate': '2024-04-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '04-Dec-2025 16:00:00', 'preOpenTime': '04-Dec-2025 09:07:33', 'QuotePreOpenFlag': False}}"
