symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,cact,ypc,mpc,xdt,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
SILVER360,Commodity-Silver,135.97,139.23,133.85,139.23,3.26,2.40,37569,5073693.45,123.3053,139.23,78.4,135.97,0,0,19.52,,22-Aug-2025,-,Infinity,20.911854103343448,-,0,-77.58928571428568,https://nsearchives.nseindia.com/today/SILVER360EQN.svg,https://nsearchives.nseindia.com/30d/SILVER360-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER360-EQ.svg,"{'symbol': 'SILVER360', 'companyName': '360 ONE Mutual Fund - 360 ONE Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BC3', 'listingDate': '2025-04-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
SHARIABEES,Shariah,509.74,509.74,494.18,505.9,8.59,1.73,7063,3502259.18,503.5078,617.7,439.91,497.31,0,-16.65,-0.64,23-Sep-2024,22-Aug-2025,DIVIDEND-RS.2 PER UNIT,-15.20707976467828,0.13657686902476154,10-MAR-14,18.0994010037235,-15.000795617285343,https://nsearchives.nseindia.com/today/SHARIABEESEQN.svg,https://nsearchives.nseindia.com/30d/SHARIABEES-EQ.svg,https://nsearchives.nseindia.com/365d/SHARIABEES-EQ.svg,"{'symbol': 'SHARIABEES', 'companyName': 'Nippon India ETF Nifty 50 Shariah BeES', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF732E01128', 'slb_isin': 'INF732E01128', 'listingDate': '2009-04-01', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
GROWWNXT50,Index,69,71,68.8,70.6,0.74,1.06,53688,3722725.92,67.9863,71.46,64,69.86,0,0,0,,,-,Infinity,Infinity,-,1.2034704729918828,-10.312499999999991,https://nsearchives.nseindia.com/today/GROWWNXT50EQN.svg,https://nsearchives.nseindia.com/30d/GROWWNXT50-EQ.svg,https://nsearchives.nseindia.com/365d/GROWWNXT50-EQ.svg,"{'symbol': 'GROWWNXT50', 'companyName': 'Groww Mutual Fund - Groww Nifty Next 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01LZ8', 'listingDate': '2025-08-26', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
MOSILVER,Domestic Price of Physical Silver,133.4,141,132,132.62,1.36,1.04,843445,115180849.2,124.3279,141,112.32,131.26,0,0,15.66,,21-Aug-2025,-,Infinity,16.25175315568023,-,5.943262411347514,-18.073361823361836,https://nsearchives.nseindia.com/today/MOSILVEREQN.svg,https://nsearchives.nseindia.com/30d/MOSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/MOSILVER-EQ.svg,"{'symbol': 'MOSILVER', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FZ1', 'listingDate': '2025-08-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
PSUBANK,Nifty PSU Bank,744.1,757.4,740.2,747.9,3.79,0.51,296230,222643505.7,707.0994,757.4,552,744.11,0,9.08,6.08,23-Sep-2024,22-Aug-2025, DIVIVEND - RS 7/- PER UNIT,9.635428119090552,6.903945111492274,09-MAR-17,1.2542909955109587,-35.4891304347826,https://nsearchives.nseindia.com/today/PSUBANKEQN.svg,https://nsearchives.nseindia.com/30d/PSUBANK-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBANK-EQ.svg,"{'symbol': 'PSUBANK', 'companyName': 'Kotak Nifty PSU Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF373I01023', 'slb_isin': 'INF373I01023', 'listingDate': '2007-11-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
UNIONGOLD,Commodity Gold,112.8,116,111.15,112.8,0.55,0.49,30372,3429909.96,107.2255,116,82,112.25,0,0,14.54,,22-Aug-2025,-,Infinity,14.11229135053111,-,2.758620689655175,-37.56097560975609,https://nsearchives.nseindia.com/today/UNIONGOLDEQN.svg,https://nsearchives.nseindia.com/30d/UNIONGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/UNIONGOLD-EQ.svg,"{'symbol': 'UNIONGOLD', 'companyName': 'Union Mutual Fund - Union Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF582M01KS4', 'listingDate': '2025-02-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,110.24,110.72,110.19,110.72,0.5,0.45,74,8159.24,109.7659,113.03,102.65,110.22,0,6.77,0.66,23-Sep-2024,22-Aug-2025,-,7.255642739513703,1.6152716593245275,-,2.0437052110059297,-7.861665854846559,https://nsearchives.nseindia.com/today/ABGSECEQN.svg,https://nsearchives.nseindia.com/30d/ABGSEC-EQ.svg,https://nsearchives.nseindia.com/365d/ABGSEC-EQ.svg,"{'symbol': 'ABGSEC', 'companyName': 'AdityaBirlaSunLifeMF-Aditya Birla Sun Life CRISIL Broad Based Gilt ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KC1134', 'listingDate': '2024-07-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
MASPTOP50,S&P 500 Top 50 Total Return Index,68.66,68.66,68.4,68.66,0.3,0.44,475305,32624935.2,55.7684,68.66,36.48,68.36,0,57.77,8.75,23-Sep-2024,22-Aug-2025,-,58.45834294945765,8.742477035159954,-,0,-88.21271929824562,https://nsearchives.nseindia.com/today/MASPTOP50EQN.svg,https://nsearchives.nseindia.com/30d/MASPTOP50-EQ.svg,https://nsearchives.nseindia.com/365d/MASPTOP50-EQ.svg,"{'symbol': 'MASPTOP50', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset S&P 500 Top 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01HP3', 'slb_isin': 'INF769K01HP3', 'listingDate': '2021-09-24', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
SILVERADD,DSP Silver ETF,133.6,133.6,130.03,130.88,0.53,0.41,1341248,175180401.28,120.3899,133.6,83.3,130.35,0,51.99,17.92,23-Sep-2024,22-Aug-2025,-,52.61194029850745,16.038655909211798,-,2.035928143712574,-57.11884753901561,https://nsearchives.nseindia.com/today/SILVERADDEQN.svg,https://nsearchives.nseindia.com/30d/SILVERADD-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERADD-EQ.svg,"{'symbol': 'SILVERADD', 'companyName': 'DSP  Mutual Fund - DSP Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RE3', 'listingDate': '2022-08-25', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
TATSILV,Tata Silver Exchange Traded Fund,13.49,13.49,13.14,13.22,0.05,0.38,17882958,235697386.44,12.0679,13.85,8.15,13.17,0,52.25,18.33,23-Sep-2024,22-Aug-2025,-,52.83236994219653,16.475770925110144,-,4.5487364620938555,-62.20858895705521,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,"{'symbol': 'TATSILV', 'companyName': 'Tata Mutual Fund Tata Silver Exchange Traded Fund', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277KA1984', 'listingDate': '2024-01-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '24-Sep-2025 16:00:00', 'preOpenTime': '24-Sep-2025 09:07:54', 'QuotePreOpenFlag': False}}"
