symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,243.5,243.5,232.62,236.19,-2.43,-1.02,20115149,4729272681.39,238.2753,360,100.72,-,-,128.04866274017573,-6.70327065887186,238.62,0,130.08,-4.49,13-Jun-2025,15-May-2026,-,-6.70327065887186,-,128.04866274017573,34.391666666666666,-134.50158856235106,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
LIQUIDBEES,Government Securities,1000,1000.01,999.99,1000.01,0.02,0.00,2031814,2031793681.86,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.002000020000198183,0.0009999999999990906,999.99,0,0,0,13-Jun-2025,15-May-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.0009999999999990906,19-SEP-17,0.002000020000198183,2.9107078709502052,-3.0948772667759443,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
GOLDBEES,Gold,124.14,124.63,123.11,124.08,-0.03,-0.02,13822966,1710592042.5,123.7324,148.14,79,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,49.33204958478757,-4.333076329992283,124.11,0,49.3,-4.1,13-Jun-2025,15-May-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,-4.333076329992283,19-DEC-19,49.33204958478757,16.241393276630205,-57.063291139240505,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
NIFTYBEES,Nifty 50,272.42,272.42,270.63,271.67,1.04,0.38,5748509,1559685461.88,270.5897,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-2.8709331426528326,1.5285148366843682,270.63,0,-2.33,1.25,13-Jun-2025,15-May-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,1.5285148366843682,19-DEC-19,-2.8709331426528326,10.117452440033079,-7.934048470401282,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,114.56,114.56,114.54,114.56,0.03,0.03,12069985,1382616781.75,114.5388,114.56,102,-,-,5.052728106373228,0.40315512708151446,114.53,0,5.03,0.39,13-Jun-2025,15-May-2026,-,0.40315512708151446,-,5.052728106373228,0,-12.31372549019608,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,24.44,24.44,23.62,23.97,-0.26,-1.07,55109040,1314350604,24.1825,35.1,10.11,-,-,128.28571428571428,-6.6225165562914015,24.23,0,130.76,-4.08,13-Jun-2025,15-May-2026,-,-6.6225165562914015,-,128.28571428571428,31.709401709401714,-137.0919881305638,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
HDFCSILVER,HDFC Silver ETF,245.12,245.12,232.57,236.09,-3.06,-1.28,4117315,966827908.3,238.2271,359,101.07,-,-,127.4031978424196,-6.7979945521298015,239.15,0,129.8,-3.93,13-Jun-2025,15-May-2026,-,-6.7979945521298015,-,127.4031978424196,34.23676880222841,-133.59058078559417,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ
BANKBEES,Nifty Bank,591,595,588.26,590.75,1.07,0.18,1475931,870282714.15,590.4801,638.99,515.98,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,2.9217045890100666,6.758832565284174,589.68,0,3.61,6.52,13-Jun-2025,15-May-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,6.758832565284174,19-DEC-19,2.9217045890100666,7.5494139188406715,-14.490871739214695,https://nsearchives.nseindia.com/today/BANKBEESEQN.svg,https://nsearchives.nseindia.com/30d/BANKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/BANKBEES-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,255.26,255.26,237.74,246.75,-2.29,-0.92,3099018,761738624.4,248.7343,373.5,104.95,-,-,128.8536449638286,-6.611914313829394,249.04,0,130.81,-4.36,13-Jun-2025,15-May-2026,-,-6.611914313829394,-,128.8536449638286,33.93574297188755,-135.11195807527395,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1136.66,1136.66,1109.1,1109.11,0.17,0.02,646806,717379002.66,1108.9525,1136.66,1030.28,-,-,5.1249241734910465,0.3982945750468325,1108.94,0,5.12,0.39,13-Jun-2025,15-May-2026,-,0.3982945750468325,-,5.1249241734910465,2.423767881336563,-7.651318088286673,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ
