symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,ypc,cact,mpc,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
NIF5GETF,UTI Nifty 5 yr Benchmark G-Sec ETF,63.05,63.99,63.05,63.99,0.2,0.31,11258,716346.54,63.6637,65,58.25,63.79,0,9.51,0.49,19-Nov-2024,20-Oct-2025,-,9.854077253218888,-,0.8034026465028437,1.5538461538461508,-9.854077253218888,https://nsearchives.nseindia.com/today/NIF5GETFEQN.svg,https://nsearchives.nseindia.com/30d/NIF5GETF-EQ.svg,https://nsearchives.nseindia.com/365d/NIF5GETF-EQ.svg,"{'symbol': 'NIF5GETF', 'companyName': 'UTI Mutual Fund - UTI Nifty 5 yr Benchmark G-Sec ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AZE6', 'slb_isin': 'INF789F1AZE6', 'listingDate': '2024-02-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
SELECTIPO,BSE Select IPO Index,49.04,49.08,48.81,48.95,0.15,0.31,5278,258146.98,48.7977,57.75,35.4,48.8,0,0,-1.11,,20-Oct-2025,-,Infinity,-,-0.8105369807497438,15.238095238095234,-38.276836158192104,https://nsearchives.nseindia.com/today/SELECTIPOEQN.svg,https://nsearchives.nseindia.com/30d/SELECTIPO-EQ.svg,https://nsearchives.nseindia.com/365d/SELECTIPO-EQ.svg,"{'symbol': 'SELECTIPO', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset BSE Select IPO ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01ON4', 'listingDate': '2025-03-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,45.44,45.44,45.1,45.32,0.14,0.31,47167,2133363.41,45.1777,47.57,37.93,45.18,0,5.36,-1.33,19-Nov-2024,20-Oct-2025,-,5.690298507462681,-,-1.0264249836208754,4.729871767920959,-19.48325863432639,https://nsearchives.nseindia.com/today/MOHEALTHEQN.svg,https://nsearchives.nseindia.com/30d/MOHEALTH-EQ.svg,https://nsearchives.nseindia.com/365d/MOHEALTH-EQ.svg,"{'symbol': 'MOHEALTH', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BB1', 'slb_isin': 'INF247L01BB1', 'listingDate': '2022-08-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
MOM50,Nifty 50,271.61,273.4,270.85,271.1,0.84,0.31,149460,40576895.4,270.5682,273.4,218,270.26,0,11.9,0.75,19-Nov-2024,20-Oct-2025,16-OCT-14,12.247432924809544,FACE VALUE SPLIT FROM RS.10/- TO RS.7/-,1.0586744203384895,0.8412582297000566,-24.357798165137623,https://nsearchives.nseindia.com/today/MOM50EQN.svg,https://nsearchives.nseindia.com/30d/MOM50-EQ.svg,https://nsearchives.nseindia.com/365d/MOM50-EQ.svg,"{'symbol': 'MOM50', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal M50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01536', 'slb_isin': 'INF247L01536', 'listingDate': '2010-07-30', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
EQUAL200,BSE 200 Equal Weight,13.59,13.6,13.54,13.57,0.04,0.30,17747,240826.79,11.548,13.85,11.03,13.53,0,0,1.27,,20-Oct-2025,-,Infinity,-,1.571856287425156,2.02166064981949,-23.028105167724398,https://nsearchives.nseindia.com/today/EQUAL200EQN.svg,https://nsearchives.nseindia.com/30d/EQUAL200-EQ.svg,https://nsearchives.nseindia.com/365d/EQUAL200-EQ.svg,"{'symbol': 'EQUAL200', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset BSE 200 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01OA1', 'listingDate': '2025-03-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
MIDSMALL,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,49.99,50.04,49.73,49.89,0.15,0.30,278104,13866265.44,49.7307,54.97,40,49.74,0,-0.2,1.86,19-Nov-2024,20-Oct-2025,-,0.10032102728731371,-,2.1707966414089745,9.241404402401306,-24.725,https://nsearchives.nseindia.com/today/MIDSMALLEQN.svg,https://nsearchives.nseindia.com/30d/MIDSMALL-EQ.svg,https://nsearchives.nseindia.com/365d/MIDSMALL-EQ.svg,"{'symbol': 'MIDSMALL', 'companyName': 'MiraeAssetMF-Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LJ8', 'slb_isin': 'INF769K01LJ8', 'listingDate': '2024-05-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
SBINEQWETF,Nifty50 Equal Weight,33.66,33.78,33.43,33.6,0.1,0.30,26027,875027.74,33.4749,34.41,27.3,33.5,0,13.33,0.42,19-Nov-2024,20-Oct-2025,-,13.667117726657656,-,0.7194244604316606,2.3539668700958885,-23.07692307692308,https://nsearchives.nseindia.com/today/SBINEQWETFEQN.svg,https://nsearchives.nseindia.com/30d/SBINEQWETF-EQ.svg,https://nsearchives.nseindia.com/365d/SBINEQWETF-EQ.svg,"{'symbol': 'SBINEQWETF', 'companyName': 'SBI Mutual Fund - SBI Nifty50 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1282', 'slb_isin': 'INF200KB1282', 'listingDate': '2024-07-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
SENSEXADD,DSP S&P BSE Sensex ETF,87.12,87.68,87.09,87.44,0.26,0.30,6534,570810.24,87.1679,87.68,72,87.18,0,10.76,1.29,19-Nov-2024,20-Oct-2025,-,11.091347986278752,-,1.5917276635296906,0.2737226277372366,-21.444444444444443,https://nsearchives.nseindia.com/today/SENSEXADDEQN.svg,https://nsearchives.nseindia.com/30d/SENSEXADD-EQ.svg,https://nsearchives.nseindia.com/365d/SENSEXADD-EQ.svg,"{'symbol': 'SENSEXADD', 'companyName': 'DSP BSE Sensex ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SZ6', 'slb_isin': 'INF740KA1SZ6', 'listingDate': '2023-08-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
MONIFTY500,Motilal Oswal Nifty 500 ETF,24.28,24.45,24.28,24.35,0.07,0.29,310486,7569648.68,24.3169,24.71,19.5,24.28,0,8.59,0.12,19-Nov-2024,20-Oct-2025,-,8.899821109123444,-,0.4123711340206244,1.4569000404694432,-24.87179487179488,https://nsearchives.nseindia.com/today/MONIFTY500EQN.svg,https://nsearchives.nseindia.com/30d/MONIFTY500-EQ.svg,https://nsearchives.nseindia.com/365d/MONIFTY500-EQ.svg,"{'symbol': 'MONIFTY500', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty 500 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BU1', 'slb_isin': 'INF247L01BU1', 'listingDate': '2023-10-06', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
ICICIB22,S&P BSE BHARAT 22 index,117.67,117.84,117.2,117.43,0.34,0.29,243765,28649700.45,117.2363,118.8,93.02,117.09,0,6.85,2.42,19-Nov-2024,20-Oct-2025,-,7.16371600657055,-,2.72043386983906,1.1531986531986451,-26.241668458396056,https://nsearchives.nseindia.com/today/ICICIB22EQN.svg,https://nsearchives.nseindia.com/30d/ICICIB22-EQ.svg,https://nsearchives.nseindia.com/365d/ICICIB22-EQ.svg,"{'symbol': 'ICICIB22', 'companyName': 'ICICI Prudential Mutual Fund - BHARAT 22 ETF', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KB15Y7', 'slb_isin': 'INF109KB15Y7', 'listingDate': '2017-11-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '20-Nov-2025 16:00:00', 'preOpenTime': '20-Nov-2025 09:07:20', 'QuotePreOpenFlag': False}}"
