symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
GROWWN200,Nifty 200 Index- Total Return Index,10,11,9.15,10.8,1,10.20,424717,4217439.81,9.7601,11.6,9.07,-,-,Infinity,Infinity,9.8,0,6.896551724137922,-19.07386990077178,https://nsearchives.nseindia.com/today/GROWWN200EQN.svg,-,-,-,-,-,-,"{'symbol': 'GROWWN200', 'companyName': 'Groww Mutual Fund - Groww Nifty 200 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01JV1', 'listingDate': '2025-02-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
METAL,Nifty Metal Total Return Index,8.39,9.51,8.39,8.7,0.36,4.32,484848,4179389.76,8.3584,10.84,7.9,-,-,Infinity,6.356968215158919,8.34,0,19.741697416974176,-10.126582278480997,https://nsearchives.nseindia.com/today/METALEQN.svg,-,-,-,31-Jan-2025,-0.83,https://nsearchives.nseindia.com/30d/METAL-EQ.svg,"{'symbol': 'METAL', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty Metal ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LY7', 'listingDate': '2024-10-09', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
GROWWRAIL,Nifty India Railways PSU Index,32,32.69,30.18,32.69,1.25,3.98,421958,13667219.62,31.4358,39.7,29.63,-,-,Infinity,Infinity,31.44,0,17.6574307304786,-10.327370907863648,https://nsearchives.nseindia.com/today/GROWWRAILEQN.svg,-,-,-,-,-,-,"{'symbol': 'GROWWRAIL', 'companyName': 'Groww Mutual Fund - Groww Nifty India Railways PSU ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01JJ6', 'listingDate': '2025-02-07', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
TECH,Nifty IT TRI Index,39.76,41,39.76,41,1.55,3.93,4474,179541.62,39.3044,49.77,33.2,-,-,5.833763551884352,-8.236347358997314,39.45,0,17.621056861563197,-23.493975903614448,https://nsearchives.nseindia.com/today/TECHEQN.svg,1.83,04-Mar-2024,https://nsearchives.nseindia.com/365d/TECH-EQ.svg,31-Jan-2025,-12.18,https://nsearchives.nseindia.com/30d/TECH-EQ.svg,"{'symbol': 'TECH', 'companyName': 'Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB11D8', 'slb_isin': 'INF209KB11D8', 'listingDate': '2021-11-03', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
METALIETF,Nifty Metal Index,8.39,8.7,8.35,8.67,0.32,3.83,7235063,62076840.54,8.3563,10.67,7.96,-,-,Infinity,6.119951040391677,8.35,0,18.744142455482663,-8.919597989949748,https://nsearchives.nseindia.com/today/METALIETFEQN.svg,-,-,-,31-Jan-2025,-0.83,https://nsearchives.nseindia.com/30d/METALIETF-EQ.svg,"{'symbol': 'METALIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty Metal ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC19W1', 'listingDate': '2024-08-20', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
NIF100BEES,Nifty 100 TRI,237.25,252,237.02,245.99,8.97,3.78,23241,5564127.81,236.4379,289.98,220,-,-,2.517191081475316,-2.1402713132036424,237.02,0,15.17001172494655,-11.813636363636368,https://nsearchives.nseindia.com/today/NIF100BEESEQN.svg,-1.22,04-Mar-2024,https://nsearchives.nseindia.com/365d/NIF100BEES-EQ.svg,31-Jan-2025,-6.25,https://nsearchives.nseindia.com/30d/NIF100BEES-EQ.svg,"{'symbol': 'NIF100BEES', 'companyName': 'NIPPON INDIA ETF NIFTY 100', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204K014N5', 'slb_isin': 'INF204K014N5', 'listingDate': '2013-03-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
MIDSELIETF,S&P BSE Midcap Select Index,15.4,15.49,15.05,15.49,0.52,3.47,327943,5030645.62,15.0105,20,14.03,10-MAY-24,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,-89.70079787234042,-5.835866261398172,14.97,0,22.55,-10.406272273699223,https://nsearchives.nseindia.com/today/MIDSELIETFEQN.svg,-90.05,04-Mar-2024,https://nsearchives.nseindia.com/365d/MIDSELIETF-EQ.svg,31-Jan-2025,-10.52,https://nsearchives.nseindia.com/30d/MIDSELIETF-EQ.svg,"{'symbol': 'MIDSELIETF', 'companyName': 'ICICI Prudential BSE Midcap Select ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC10W0', 'slb_isin': 'INF109KC10W0', 'listingDate': '2016-07-11', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF,8.49,8.77,8.47,8.71,0.29,3.44,658754,5698222.1,8.4305,11.82,8.1,-,-,Infinity,-1.4705882352941064,8.42,0,26.311336717428084,-7.53086419753088,https://nsearchives.nseindia.com/today/ABSLPSEEQN.svg,-,-,-,31-Jan-2025,-10.14,https://nsearchives.nseindia.com/30d/ABSLPSE-EQ.svg,"{'symbol': 'ABSLPSE', 'companyName': 'Aditya Birla Sun Life Mutual Fund-Aditya Birla Sun Life Nifty PSE ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF209KB19Z4', 'slb_isin': 'INF209KB19Z4', 'listingDate': '2024-05-23', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
BANKPSU,Nifty PSU Bank Total Return Index,57.74,58.97,57.74,58.97,1.9,3.33,6652,388676.36,57.133,74.11,55.29,-,-,Infinity,-3.65953275608561,57.07,0,20.42909189043314,-6.655814794718756,https://nsearchives.nseindia.com/today/BANKPSUEQN.svg,-,-,-,31-Jan-2025,-9.74,https://nsearchives.nseindia.com/30d/BANKPSU-EQ.svg,"{'symbol': 'BANKPSU', 'companyName': 'Mirae Asset Mutual Fund - Mirae Asset Nifty PSU Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LZ4', 'listingDate': '2024-10-08', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
ITETFADD,DSP Nifty IT ETF,39.16,39.61,38.99,39.61,1.25,3.26,2193,85921.74,38.318,48.66,32,-,-,5.094189440169811,-9.213843685537482,38.36,0,18.598438142211258,-23.78125,https://nsearchives.nseindia.com/today/ITETFADDEQN.svg,1.78,04-Mar-2024,https://nsearchives.nseindia.com/365d/ITETFADD-EQ.svg,31-Jan-2025,-12.4,https://nsearchives.nseindia.com/30d/ITETFADD-EQ.svg,"{'symbol': 'ITETFADD', 'companyName': 'DSP Mutual Fund - DSP Nifty IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1SX1', 'slb_isin': 'INF740KA1SX1', 'listingDate': '2023-07-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '05-Mar-2025 16:00:00', 'preOpenTime': '05-Mar-2025 09:07:30', 'QuotePreOpenFlag': False}}"
