symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,cact,ypc,mpc,xdt,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,meta
HDFCNIFIT,HDFC NIFTY IT ETF,37.06,37.5,36.68,37,0.32,0.87,161225,5966937.25,36.681,47.74,32.24,36.68,0,-15.19,-4.23,18-Oct-2024,19-Sep-2025,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 299.92/- PER SHARE TO RS 29.992/- PER SHARE,-15.602189781021904,-3.014416775884662,02-FEB-24,22.49685798072895,-14.764267990074433,https://nsearchives.nseindia.com/today/HDFCNIFITEQN.svg,https://nsearchives.nseindia.com/30d/HDFCNIFIT-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCNIFIT-EQ.svg,"{'symbol': 'HDFCNIFIT', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY IT ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1IA8', 'slb_isin': 'INF179KC1IA8', 'listingDate': '2022-11-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
NIFTYBETF,Bajaj Finserv Nifty 50 ETF,264.39,264.39,262.71,264.08,2.27,0.87,4924,1297277.04,262.2873,265.3,220.5,261.81,0,4.24,1.36,18-Oct-2024,19-Sep-2025,-,5.822480464836695,2.285227360756053,-,0.4598567659253778,-19.7641723356009,https://nsearchives.nseindia.com/today/NIFTYBETFEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBETF-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBETF-EQ.svg,"{'symbol': 'NIFTYBETF', 'companyName': 'Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0QA701722', 'slb_isin': 'INF0QA701722', 'listingDate': '2024-01-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
TOP10ADD,Nifty Top 10 Equal Weight Index,98.44,99,98.33,98.75,0.84,0.86,424257,41912349.03,98.0359,103.43,86.5,97.91,0,2.45,1.49,18-Oct-2024,19-Sep-2025,-,3.59840537138062,2.5441329179646965,-,4.524799381224023,-14.16184971098266,https://nsearchives.nseindia.com/today/TOP10ADDEQN.svg,https://nsearchives.nseindia.com/30d/TOP10ADD-EQ.svg,https://nsearchives.nseindia.com/365d/TOP10ADD-EQ.svg,"{'symbol': 'TOP10ADD', 'companyName': 'DSP Mutual Fund - DSP Nifty Top 10 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1UR9', 'slb_isin': 'INF740KA1UR9', 'listingDate': '2024-09-11', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
MOALPHA50,Nifty Alpha 50 Total Return Index,51.66,51.68,51.32,51.65,0.44,0.86,3318,171241.98,51.2736,54.38,46.05,51.21,0,0,-1.59,,19-Sep-2025,-,Infinity,-0.9967414222733432,-,5.020228025009201,-12.160694896851252,https://nsearchives.nseindia.com/today/MOALPHA50EQN.svg,https://nsearchives.nseindia.com/30d/MOALPHA50-EQ.svg,https://nsearchives.nseindia.com/365d/MOALPHA50-EQ.svg,"{'symbol': 'MOALPHA50', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty Alpha 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01FR8', 'listingDate': '2025-07-10', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
FLEXIADD,Nifty500 Flexicap Quality 30 TRI,10.91,10.91,10.67,10.74,0.09,0.85,181552,1946237.44,10.6628,11.9,10.5,10.65,0,0,0,,,-,Infinity,Infinity,-,9.747899159663866,-2.285714285714288,https://nsearchives.nseindia.com/today/FLEXIADDEQN.svg,https://nsearchives.nseindia.com/30d/FLEXIADD-EQ.svg,https://nsearchives.nseindia.com/365d/FLEXIADD-EQ.svg,"{'symbol': 'FLEXIADD', 'companyName': 'DSP Mutual Fund - DSP Nifty500 Flexicap Quality 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1WU9', 'listingDate': '2025-10-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
MOCAPITAL,Nifty Capital Market Total Return Index,46.11,46.99,46.11,46.67,0.39,0.84,422244,19710349.92,46.4461,51.13,29.2,46.28,0,0,5.23,,19-Sep-2025,-,Infinity,6.74748398902105,-,8.722863289653825,-59.82876712328768,https://nsearchives.nseindia.com/today/MOCAPITALEQN.svg,https://nsearchives.nseindia.com/30d/MOCAPITAL-EQ.svg,https://nsearchives.nseindia.com/365d/MOCAPITAL-EQ.svg,"{'symbol': 'MOCAPITAL', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty Capital Market ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01EV3', 'listingDate': '2025-03-13', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
AONETOTAL,Nifty Total Market Index,12.27,12.27,11.91,12.01,0.1,0.84,727297,8727564,11.9333,12.41,9.63,11.91,0,0,-0.08,,19-Sep-2025,-,Infinity,1.0092514718250565,-,3.223207091055603,-24.714434060228438,https://nsearchives.nseindia.com/today/AONETOTALEQN.svg,https://nsearchives.nseindia.com/30d/AONETOTAL-EQ.svg,https://nsearchives.nseindia.com/365d/AONETOTAL-EQ.svg,"{'symbol': 'AONETOTAL', 'companyName': 'Angel One Mutual Fund - Angel One Nifty Total Market ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF1J2R01015', 'listingDate': '2025-03-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,45.79,45.96,45.34,45.95,0.38,0.83,57722,2635586.52,45.4337,47.57,37.93,45.57,0,1.92,-0.81,18-Oct-2024,19-Sep-2025,-,2.9576518037194717,1.4124917236813077,-,3.405507672903085,-21.144213023991572,https://nsearchives.nseindia.com/today/MOHEALTHEQN.svg,https://nsearchives.nseindia.com/30d/MOHEALTH-EQ.svg,https://nsearchives.nseindia.com/365d/MOHEALTH-EQ.svg,"{'symbol': 'MOHEALTH', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BB1', 'slb_isin': 'INF247L01BB1', 'listingDate': '2022-08-04', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF,31.8,32.14,31.66,31.88,0.26,0.82,935022,29799151.14,31.5497,32.37,24.13,31.62,0,16.85,3.13,18-Oct-2024,19-Sep-2025,-,18.380987746008167,4.387688277668631,-,1.5137472968798222,-32.117695814339,https://nsearchives.nseindia.com/today/FINIETFEQN.svg,https://nsearchives.nseindia.com/30d/FINIETF-EQ.svg,https://nsearchives.nseindia.com/365d/FINIETF-EQ.svg,"{'symbol': 'FINIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Pru Nifty Fin Ser Ex-Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC17L8', 'slb_isin': 'INF109KC17L8', 'listingDate': '2022-11-30', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
BANKETFADD,DSP Nifty Bank ETF,59.09,59.39,59.05,59.26,0.48,0.82,28689,1698675.69,58.8987,61,46.5,58.78,0,11.24,3.63,18-Oct-2024,19-Sep-2025,-,13.91772395232602,4.6441815292247846,-,2.852459016393446,-27.440860215053757,https://nsearchives.nseindia.com/today/BANKETFADDEQN.svg,https://nsearchives.nseindia.com/30d/BANKETFADD-EQ.svg,https://nsearchives.nseindia.com/365d/BANKETFADD-EQ.svg,"{'symbol': 'BANKETFADD', 'companyName': 'DSP  Mutual Fund - DSP Nifty Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF740KA1RX3', 'slb_isin': 'INF740KA1RX3', 'listingDate': '2023-01-06', 'isMunicipalBond': False, 'isHybridSymbol': False, 'quotepreopenstatus': {'equityTime': '20-Oct-2025 16:00:00', 'preOpenTime': '20-Oct-2025 09:07:23', 'QuotePreOpenFlag': False}}"
