symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta
VAL30IETF,Nifty200 Value 30 Index,13.4,13.49,13.03,13.49,0.33,2.51,65253,855466.83,13.1392,14.14,12.77,-,-,Infinity,Infinity,13.16,0,4.596888260254599,-5.638214565387632,https://nsearchives.nseindia.com/today/VAL30IETFEQN.svg,-,-,-,-,-,-,"{'symbol': 'VAL30IETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty200 Value 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC16X5', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF,43.96,44.6,43.57,44.6,1.08,2.48,35859,1580664.72,43.4873,46.5,27.3,-,-,61.010830324909755,-0.290632684998872,43.52,0,4.086021505376341,-63.369963369963365,https://nsearchives.nseindia.com/today/MOHEALTHEQN.svg,57.11,31-Oct-2023,https://nsearchives.nseindia.com/365d/MOHEALTH-EQ.svg,30-Sep-2024,-2.71,https://nsearchives.nseindia.com/30d/MOHEALTH-EQ.svg,"{'symbol': 'MOHEALTH', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Healthcare ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BB1', 'slb_isin': 'INF247L01BB1', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
MOLOWVOL,Nifty Midcap 100 TRI,37.94,38.36,37.15,38.36,0.86,2.29,5935,221850.3,37.4733,41.85,27,11-AUG-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RS 2/- PER UNIT,31.866620831900995,-5.354058721934374,37.5,0,8.339307048984473,-42.074074074074076,https://nsearchives.nseindia.com/today/MOLOWVOLEQN.svg,28.91,31-Oct-2023,https://nsearchives.nseindia.com/365d/MOLOWVOL-EQ.svg,30-Sep-2024,-7.48,https://nsearchives.nseindia.com/30d/MOLOWVOL-EQ.svg,"{'symbol': 'MOLOWVOL', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal S&P BSE Low Volatility ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01BL0', 'slb_isin': 'INF247L01BL0', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
NPBET,Nifty Private Bank Index,261.05,267,258.25,267,5.96,2.28,1179,306610.74,260.9958,299,225,-,-,17.2286617492097,-2.5796329404896534,261.04,0,10.702341137123746,-18.666666666666668,https://nsearchives.nseindia.com/today/NPBETEQN.svg,14.61,31-Oct-2023,https://nsearchives.nseindia.com/365d/NPBET-EQ.svg,30-Sep-2024,-4.75,https://nsearchives.nseindia.com/30d/NPBET-EQ.svg,"{'symbol': 'NPBET', 'companyName': 'Tata Nifty Private Bank Exchange Traded Fund', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF277K010X4', 'slb_isin': 'INF277K010X4', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
HDFCLOWVOL,HDFC NIFTY100 Low Volatility 30 ETF,20.48,20.49,19.91,20.48,0.42,2.09,8504,170420.16,20.0304,22.25,14.75,20-OCT-23,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 126.18/- PER SHARE TO RS 12.618/- PER SHARE,36.80694722778891,-5.79576816927322,20.06,0,7.955056179775278,-38.847457627118644,https://nsearchives.nseindia.com/today/HDFCLOWVOLEQN.svg,34,31-Oct-2023,https://nsearchives.nseindia.com/365d/HDFCLOWVOL-EQ.svg,30-Sep-2024,-7.73,https://nsearchives.nseindia.com/30d/HDFCLOWVOL-EQ.svg,"{'symbol': 'HDFCLOWVOL', 'companyName': 'HDFC Mutual Fund - HDFC NIFTY100 Low Volatility 30 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1HU8', 'slb_isin': 'INF179KC1HU8', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
SBINEQWETF,Nifty50 Equal Weight,30.85,31.47,30.58,31.45,0.6,1.94,21679,667279.62,30.8338,34.57,30,-,-,Infinity,-6.007172743574422,30.85,0,9.02516632918716,-4.833333333333331,https://nsearchives.nseindia.com/today/SBINEQWETFEQN.svg,-,-,-,30-Sep-2024,-7.8,https://nsearchives.nseindia.com/30d/SBINEQWETF-EQ.svg,"{'symbol': 'SBINEQWETF', 'companyName': 'SBI Mutual Fund - SBI Nifty50 Equal Weight ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF200KB1282', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
HDFCBSE500,HDFC S&P BSE 500 ETF,36.05,37.2,36.04,37.15,0.65,1.78,125107,4616448.3,36.3423,44.4,27.05,-,-,34.99273255813953,-4.12903225806452,36.5,0,16.32882882882883,-37.33826247689463,https://nsearchives.nseindia.com/today/HDFCBSE500EQN.svg,32.63,31-Oct-2023,https://nsearchives.nseindia.com/365d/HDFCBSE500-EQ.svg,30-Sep-2024,-5.81,https://nsearchives.nseindia.com/30d/HDFCBSE500-EQ.svg,"{'symbol': 'HDFCBSE500', 'companyName': 'HDFC Mutual Fund - HDFC S&P BSE 500 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF179KC1EZ4', 'slb_isin': 'INF179KC1EZ4', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF),214.49,214.49,207.76,214,3.72,1.77,1432,300276.08,209.7628,232.8,145.02,-,-,46.77640603566528,-4.438688934536035,210.28,0,8.075601374570452,-47.565852985795054,https://nsearchives.nseindia.com/today/NIFMID150EQN.svg,44.22,31-Oct-2023,https://nsearchives.nseindia.com/365d/NIFMID150-EQ.svg,30-Sep-2024,-6.1,https://nsearchives.nseindia.com/30d/NIFMID150-EQ.svg,"{'symbol': 'NIFMID150', 'companyName': 'UTI Mutual Fund - UTI Nifty Midcap 150 Exchange Traded Fund (ETF)', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF789F1AYX9', 'slb_isin': 'INF789F1AYX9', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
PHARMABEES,Nifty Pharma TRI,23.55,23.55,23,23.21,0.37,1.62,2360246,54568887.52,22.8062,24.53,14.45,-,-,55.563002680965155,-2.3148148148148175,22.84,0,5.3811659192825125,-60.62283737024222,https://nsearchives.nseindia.com/today/PHARMABEESEQN.svg,53.08,31-Oct-2023,https://nsearchives.nseindia.com/365d/PHARMABEES-EQ.svg,30-Sep-2024,-3.87,https://nsearchives.nseindia.com/30d/PHARMABEES-EQ.svg,"{'symbol': 'PHARMABEES', 'companyName': 'Nippon India Mutual Fund - Nippon India Nifty Pharma ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF204KC1089', 'slb_isin': 'INF204KC1089', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,50.97,51.6,50.32,51.25,0.8,1.59,542996,27595056.72,50.4116,55.25,39.24,-,-,Infinity,-3.6291839037232037,50.45,0,7.239819004524887,-30.6065239551478,https://nsearchives.nseindia.com/today/SMALLCAPEQN.svg,-,-,-,30-Sep-2024,-5.13,https://nsearchives.nseindia.com/30d/SMALLCAP-EQ.svg,"{'symbol': 'SMALLCAP', 'companyName': 'Mirae Asset MF-Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LC3', 'isMunicipalBond': False, 'quotepreopenstatus': {'equityTime': '31-Oct-2024 16:00:00', 'preOpenTime': '31-Oct-2024 09:07:43', 'QuotePreOpenFlag': False}}"
