symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,CAct,MPC,XDt,YPC,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price,222.83,226.16,222.42,225.87,3.55,1.60,27311475,6124871383.5,222.9951,360,106.64,-,-,106.236303871439,8.873999807191746,222.32,0,102.99,6.46,11-Aug-2025,10-Jul-2026,-,8.873999807191746,-,106.236303871439,37.25833333333333,-111.80607651912979,https://nsearchives.nseindia.com/today/SILVERBEESEQN.svg,https://nsearchives.nseindia.com/30d/SILVERBEES-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERBEES-EQ.svg,EQ
GOLDBEES,Gold,125.83,126.54,125.76,126.5,0.98,0.78,18273875,2305980286.25,125.0625,148.14,80.02,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,51.988465697464854,8.165882855921332,125.52,0,50.81,6.25,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- TO RS 1/-,8.165882855921332,19-DEC-19,51.988465697464854,14.607803429188598,-58.085478630342415,https://nsearchives.nseindia.com/today/GOLDBEESEQN.svg,https://nsearchives.nseindia.com/30d/GOLDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDBEES-EQ.svg,EQ
LIQUIDBEES,Government Securities,1000,1000.97,999.61,1000.01,0.01,0.00,1935134,1935134000,1000,1029.99,969.99,19-SEP-17, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.002000020000198183,0.002000020000198183,1000,0,0,0,11-Aug-2025,10-Jul-2026, EXIT OPTION PURSUANT TO CHANGE IN FUNDAMENTAL ATTRIBUTES OF ETF  ,0.002000020000198183,19-SEP-17,0.002000020000198183,2.9107078709502052,-3.0948772667759443,https://nsearchives.nseindia.com/today/LIQUIDBEESEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBEES-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBEES-EQ.svg,EQ
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF,115.42,115.44,115.42,115.43,0.02,0.02,14897272,1719443134.24,115.414,115.44,102,-,-,5.0414050414050475,0.4001043750543689,115.41,0,5.02,0.39,11-Aug-2025,10-Jul-2026,-,0.4001043750543689,-,5.0414050414050475,0.008662508662500784,-13.166666666666673,https://nsearchives.nseindia.com/today/LIQUIDCASEEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDCASE-EQ.svg,EQ
NIFTYBEES,Nifty 50,279.93,279.93,277,278.64,-0.49,-0.18,5635248,1565810009.28,279.0157,302.25,251.7,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,0.48685491723465174,1.213221939702134,279.13,0,0.66,1.48,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,1.213221939702134,19-DEC-19,0.48685491723465174,7.811414392059558,-10.703218116805722,https://nsearchives.nseindia.com/today/NIFTYBEESEQN.svg,https://nsearchives.nseindia.com/30d/NIFTYBEES-EQ.svg,https://nsearchives.nseindia.com/365d/NIFTYBEES-EQ.svg,EQ
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF,999.99,1000,999.99,999.99,0,0.00,1514104,1514088858.96,1000,1024.98,974.99,-,-,0,0,999.99,0,0,0,11-Aug-2025,10-Jul-2026,-,0,-,0,2.4380963530995734,-2.564128862860132,https://nsearchives.nseindia.com/today/LIQUIDEQN.svg,https://nsearchives.nseindia.com/30d/LIQUID-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID-EQ.svg,EQ
TATSILV,Tata Silver Exchange Traded Fund,22.88,22.96,22.58,22.93,0.36,1.60,56194573,1279550427.21,22.6415,35.1,10.56,-,-,106.76284941388639,8.776091081593936,22.57,0,103.52,6.41,11-Aug-2025,10-Jul-2026,-,8.776091081593936,-,106.76284941388639,34.67236467236468,-117.14015151515152,https://nsearchives.nseindia.com/today/TATSILVEQN.svg,https://nsearchives.nseindia.com/30d/TATSILV-EQ.svg,https://nsearchives.nseindia.com/365d/TATSILV-EQ.svg,EQ
LIQUIDPLUS,Nifty 1D Rate Index,1098.47,1098.49,1098.43,1098.49,0.16,0.01,1157633,1271625121.51,1098.3375,1127.08,1045.23,-,-,5.095529213665891,0.4003253786182477,1098.33,0,5.08,0.4,11-Aug-2025,10-Jul-2026,-,0.4003253786182477,-,5.095529213665891,2.5366433616069775,-5.095529213665891,https://nsearchives.nseindia.com/today/LIQUIDPLUSEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDPLUS-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDPLUS-EQ.svg,EQ
SILVERIETF,Domestic Price of Silver,232.5,236.05,232.25,235.48,3.34,1.44,4320270,1012455274.5,232.7978,373.5,111.17,-,-,106.63390663390663,8.766743648960734,232.14,0,103.7,6.45,11-Aug-2025,10-Jul-2026,-,8.766743648960734,-,106.63390663390663,36.95314591700134,-111.81973554016369,https://nsearchives.nseindia.com/today/SILVERIETFEQN.svg,https://nsearchives.nseindia.com/30d/SILVERIETF-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERIETF-EQ.svg,EQ
HDFCSILVER,HDFC Silver ETF,222.6,226.2,222.49,225.78,3.18,1.43,3709394,833278268.16,223.0064,359,106.78,-,-,105.8158614402917,8.757225433526015,222.6,0,102.92,6.53,11-Aug-2025,10-Jul-2026,-,8.757225433526015,-,105.8158614402917,37.108635097493035,-111.44409065368046,https://nsearchives.nseindia.com/today/HDFCSILVEREQN.svg,https://nsearchives.nseindia.com/30d/HDFCSILVER-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSILVER-EQ.svg,EQ
TATAGOLD,Tata Gold Exchange Traded Fund,14.75,14.94,14.74,14.86,0.12,0.81,53145837,787621304.34,14.6958,17.7,9.45,-,-,52.098259979529175,8.072727272727269,14.74,0,50.87,6.2,11-Aug-2025,10-Jul-2026,-,8.072727272727269,-,52.098259979529175,16.045197740112997,-57.248677248677254,https://nsearchives.nseindia.com/today/TATAGOLDEQN.svg,https://nsearchives.nseindia.com/30d/TATAGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/TATAGOLD-EQ.svg,EQ
LIQUIDIETF,S&P BSE Liquid Rate Index,1000.01,1000.01,999.99,1000,0.01,0.00,776574,776574000,1000,1041.19,969.99,-,-,0.0010000100000990915,0.0010000100000990915,999.99,0,0,0,11-Aug-2025,10-Jul-2026,-,0.0010000100000990915,-,0.0010000100000990915,3.956050288612074,-3.093846328312662,https://nsearchives.nseindia.com/today/LIQUIDIETFEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDIETF-EQ.svg,EQ
LIQUIDADD,DSP S&P BSE Liquid Rate ETF,1139.88,1139.9,1139.88,1139.9,0.16,0.01,660672,753086799.36,1139.7414,1151.22,1054.87,-,-,5.0105480373280855,0.3989888758730811,1139.74,0,5,0.4,11-Aug-2025,10-Jul-2026,-,0.3989888758730811,-,5.0105480373280855,0.9833046680912367,-8.060708902518813,https://nsearchives.nseindia.com/today/LIQUIDADDEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDADD-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDADD-EQ.svg,EQ
LIQUID1,Kotak Nifty 1D Rate Liquid ETF,1117.63,1117.78,1117.63,1117.78,0.15,0.01,587415,656594864.55,1117.6253,1136.66,1061.5,-,-,5.120705707541408,0.4096225364258588,1117.63,0,5.11,0.41,11-Aug-2025,10-Jul-2026,-,0.4096225364258588,-,5.120705707541408,1.6610068094241117,-5.301931229392367,https://nsearchives.nseindia.com/today/LIQUID1EQN.svg,https://nsearchives.nseindia.com/30d/LIQUID1-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUID1-EQ.svg,EQ
GOLDIETF,Gold,130.16,131.18,126.9,131.15,0.99,0.76,4669000,610518440,129.5206,158,82.87,-,-,52.624229023623876,8.325761955893295,130.16,0,51.47,6.34,11-Aug-2025,10-Jul-2026,-,8.325761955893295,-,52.624229023623876,16.993670886075947,-58.25992518402317,https://nsearchives.nseindia.com/today/GOLDIETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDIETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDIETF-EQ.svg,EQ
SETFGOLD,Gold,131.74,131.74,129.74,130.41,0.85,0.66,3657812,476466591.12,128.9657,153.95,82.51,06-JAN-22,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 1/- PER SHARE,52.02844485894148,8.071600232037785,129.56,0,51.04,6.32,11-Aug-2025,10-Jul-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER SHARE TO RS 1/- PER SHARE,8.071600232037785,06-JAN-22,52.02844485894148,15.29067879181552,-58.05356926433158,https://nsearchives.nseindia.com/today/SETFGOLDEQN.svg,https://nsearchives.nseindia.com/30d/SETFGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/SETFGOLD-EQ.svg,EQ
HDFCGOLD,Gold,131.47,131.47,129.94,130.6,0.88,0.68,3549446,462776769.48,129.2204,152.3,83.43,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,52.09036916268777,8.175267124989638,129.72,0,51.07,6.26,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 100/- PER UNIT TO RE 1/- PER UNIT,8.175267124989638,17-FEB-21,52.09036916268777,14.248194353250176,-56.538415438091796,https://nsearchives.nseindia.com/today/HDFCGOLDEQN.svg,https://nsearchives.nseindia.com/30d/HDFCGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCGOLD-EQ.svg,EQ
ITBEES,Nifty IT TRI,35.24,35.51,34.43,34.69,-0.55,-1.56,13117804,455318976.84,35.3797,44.27,28.55,-,-,-8.105960264900668,7.866915422885577,35.24,0,-6.65,13.53,11-Aug-2025,10-Jul-2026,-,7.866915422885577,-,-8.105960264900668,21.639936751750632,-21.506129597197887,https://nsearchives.nseindia.com/today/ITBEESEQN.svg,https://nsearchives.nseindia.com/30d/ITBEES-EQ.svg,https://nsearchives.nseindia.com/365d/ITBEES-EQ.svg,EQ
LIQUIDETF,Nifty1D rate index,1000,1000.01,999.99,1000.01,0.01,0.00,434077,434077000,1000,1025,995,-,-,0.0009999999999990906,0.0009999999999990906,1000,0,0,0,11-Aug-2025,10-Jul-2026,-,0.0009999999999990906,-,0.0009999999999990906,2.4380487804878057,-0.5035175879396976,https://nsearchives.nseindia.com/today/LIQUIDETFEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDETF-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDETF-EQ.svg,EQ
BANKBEES,Nifty Bank,594.86,599.83,592.31,598.5,3.63,0.61,701165,419135402.05,595.5567,638.99,515.98,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,4.654822690074842,-0.3728734560708475,594.87,0,4.02,-0.88,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,-0.3728734560708475,19-DEC-19,4.654822690074842,6.3365623875178025,-15.992867940617849,https://nsearchives.nseindia.com/today/BANKBEESEQN.svg,https://nsearchives.nseindia.com/30d/BANKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/BANKBEES-EQ.svg,EQ
PSUBNKBEES,Nifty PSU Bank,96.45,98.59,96.08,98.24,1.79,1.86,3997530,391877865.9,96.5635,110.4,74.31,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,25.050916496945,3.8477801268498952,96.45,0,22.77,2.23,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,3.8477801268498952,19-DEC-19,25.050916496945,11.014492753623198,-32.20293365630466,https://nsearchives.nseindia.com/today/PSUBNKBEESEQN.svg,https://nsearchives.nseindia.com/30d/PSUBNKBEES-EQ.svg,https://nsearchives.nseindia.com/365d/PSUBNKBEES-EQ.svg,EQ
BSLGOLDETF,Gold,136.88,136.88,133.82,134.38,0.83,0.62,2790558,374799844.98,133.0376,155.99,85.74,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,51.85896711492824,7.979108075532337,133.55,0,50.92,6.27,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 0.10/- PER SHARE,7.979108075532337,25-NOV-21,51.85896711492824,13.853452144368237,-56.72964777233497,https://nsearchives.nseindia.com/today/BSLGOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/BSLGOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/BSLGOLDETF-EQ.svg,EQ
GOLDADD,DSP Gold ETF,147.98,148.72,147.62,148.7,1.09,0.74,2068223,306717470.9,146.9323,181,95.24,28-AUG-26,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,Infinity,8.200538455941192,147.61,0,0,6.34,,10-Jul-2026,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,8.200538455941192,28-AUG-26,Infinity,17.84530386740332,-56.13187736245274,https://nsearchives.nseindia.com/today/GOLDADDEQN.svg,https://nsearchives.nseindia.com/30d/GOLDADD-EQ.svg,,EQ
SBISILVER,SBI SILVER ETF,227,231.66,227,231.46,3.58,1.57,1320008,303852641.52,228.4463,362,109.32,-,-,106.23719148177848,8.814818297212167,227.88,0,103.05,6.43,11-Aug-2025,10-Jul-2026,-,8.814818297212167,-,106.23719148177848,36.06077348066298,-111.72703988291258,https://nsearchives.nseindia.com/today/SBISILVEREQN.svg,https://nsearchives.nseindia.com/30d/SBISILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SBISILVER-EQ.svg,EQ
SILVERCASE,Commodity-Silver,24.15,24.15,23.59,23.94,0.37,1.57,11902596,283162758.84,23.8126,38.01,11.34,-,-,105.6701030927835,8.86766712141884,23.57,0,102.49,6.36,11-Aug-2025,10-Jul-2026,-,8.86766712141884,-,105.6701030927835,37.016574585635354,-111.11111111111113,https://nsearchives.nseindia.com/today/SILVERCASEEQN.svg,https://nsearchives.nseindia.com/30d/SILVERCASE-EQ.svg,https://nsearchives.nseindia.com/365d/SILVERCASE-EQ.svg,EQ
SILVER,Physical price of Silver,229.85,236,229.85,235.8,3.62,1.56,1159061,271637535.96,232.8303,371.89,111.2,-,-,106.3353167658383,8.798966455959038,232.18,0,103.17,6.41,11-Aug-2025,10-Jul-2026,-,8.798966455959038,-,106.3353167658383,36.59415418537739,-112.05035971223022,https://nsearchives.nseindia.com/today/SILVEREQN.svg,https://nsearchives.nseindia.com/30d/SILVER-EQ.svg,https://nsearchives.nseindia.com/365d/SILVER-EQ.svg,EQ
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF,1094.21,1094.23,1094.21,1094.23,0.14,0.01,244639,267686440.19,1094.0767,1116.24,1009.94,-,-,4.920846477644277,0.39175749568791346,1094.09,0,4.91,0.39,11-Aug-2025,10-Jul-2026,-,0.39175749568791346,-,4.920846477644277,1.971798179602952,-8.346040358833195,https://nsearchives.nseindia.com/today/LIQUIDBETFEQN.svg,https://nsearchives.nseindia.com/30d/LIQUIDBETF-EQ.svg,https://nsearchives.nseindia.com/365d/LIQUIDBETF-EQ.svg,EQ
HDFCSML250,HDFC NIFTY Smallcap 250 ETF,184.95,186,183.5,184.37,-0.58,-0.31,1346528,249013423.04,185.2938,189.51,142.7,-,-,10.058500477554915,0.6221688588113381,184.95,0,10.4,1.29,11-Aug-2025,10-Jul-2026,-,0.6221688588113381,-,10.058500477554915,2.712257928341505,-29.20112123335671,https://nsearchives.nseindia.com/today/HDFCSML250EQN.svg,https://nsearchives.nseindia.com/30d/HDFCSML250-EQ.svg,https://nsearchives.nseindia.com/365d/HDFCSML250-EQ.svg,EQ
GOLDETF,Mirae Asset Gold ETF,147.85,149.44,147.82,148.56,0.99,0.67,1579799,234299989.69,147.0264,173.5,96.03,-,-,51.70019401613397,7.886710239651427,147.57,0,50.69,6.26,11-Aug-2025,10-Jul-2026,-,7.886710239651427,-,51.70019401613397,14.37463976945245,-54.70165573258357,https://nsearchives.nseindia.com/today/GOLDETFEQN.svg,https://nsearchives.nseindia.com/30d/GOLDETF-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDETF-EQ.svg,EQ
SILVERAXIS,Axis Silver ETF,231.09,235.06,231,234.9,3.81,1.65,967657,225851143.8,231.7586,390.01,110.75,-,-,Infinity,8.941656618124478,231.09,0,0,6.35,,10-Jul-2026,-,8.941656618124478,-,Infinity,39.770775108330554,-112.09932279909707,https://nsearchives.nseindia.com/today/SILVERAXISEQN.svg,https://nsearchives.nseindia.com/30d/SILVERAXIS-EQ.svg,,EQ
GOLD1,Gold,130.02,130.02,127.01,127.6,0.75,0.59,1649436,210121652.04,126.2444,158,80.77,22-JUL-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,52.04957102001905,8.062330623306229,126.85,0,51.16,6.36,11-Aug-2025,10-Jul-2026, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,8.062330623306229,22-JUL-21,52.04957102001905,19.240506329113927,-57.979447814782716,https://nsearchives.nseindia.com/today/GOLD1EQN.svg,https://nsearchives.nseindia.com/30d/GOLD1-EQ.svg,https://nsearchives.nseindia.com/365d/GOLD1-EQ.svg,EQ
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES,813.3,813.3,802.5,806.54,-1.16,-0.14,258176,207883315.2,807.4644,818.04,632.34,10-MAR-14,DIVIDEND-RS.1 PER UNIT,13.325839539131646,3.510055313851552,807.7,0,13.49,3.31,11-Aug-2025,10-Jul-2026,DIVIDEND-RS.1 PER UNIT,3.510055313851552,10-MAR-14,13.325839539131646,1.405799227421642,-27.548470759401575,https://nsearchives.nseindia.com/today/JUNIORBEESEQN.svg,https://nsearchives.nseindia.com/30d/JUNIORBEES-EQ.svg,https://nsearchives.nseindia.com/365d/JUNIORBEES-EQ.svg,EQ
SETFNIF50,Nifty 50,263.77,264.2,261.81,263.32,-0.45,-0.17,717458,188182058.82,263.687,287.33,237.9,24-MAR-21, DIVIDEND - RS 1.30 PER SHARE,0.46163824348555166,1.0864140657990649,263.77,0,0.63,1.44,11-Aug-2025,10-Jul-2026, DIVIDEND - RS 1.30 PER SHARE,1.0864140657990649,24-MAR-21,0.46163824348555166,8.356245432081575,-10.68516183270281,https://nsearchives.nseindia.com/today/SETFNIF50EQN.svg,https://nsearchives.nseindia.com/30d/SETFNIF50-EQ.svg,https://nsearchives.nseindia.com/365d/SETFNIF50-EQ.svg,EQ
GOLDCASE,Zerodha Gold ETF,24.18,24.19,23.94,24.1,0.19,0.79,7516321,180466867.21,23.8126,27.94,15.25,-,-,52.43516761543327,8.265947888589398,23.91,0,51.23,6.41,11-Aug-2025,10-Jul-2026,-,8.265947888589398,-,52.43516761543327,13.743736578382247,-58.03278688524591,https://nsearchives.nseindia.com/today/GOLDCASEEQN.svg,https://nsearchives.nseindia.com/30d/GOLDCASE-EQ.svg,https://nsearchives.nseindia.com/365d/GOLDCASE-EQ.svg,EQ
TECH,Nifty IT TRI Index,34.72,34.86,33.98,34,-0.82,-2.35,5122842,174227856.42,34.8706,49.41,28,-,-,-7.7841063195009434,7.39102969046115,34.82,0,-5.56,13.94,11-Aug-2025,10-Jul-2026,-,7.39102969046115,-,-7.7841063195009434,31.1880186197126,-21.428571428571427,https://nsearchives.nseindia.com/today/TECHEQN.svg,https://nsearchives.nseindia.com/30d/TECH-EQ.svg,https://nsearchives.nseindia.com/365d/TECH-EQ.svg,EQ
CASHIETF,BSE Liquid Rate Index,1074.88,1074.9,1074.88,1074.88,0.13,0.01,159877,171850188.53,1074.7379,1099.28,1022.99,-,-,5.070331668312149,0.40352712599015134,1074.75,0,5.06,0.4,11-Aug-2025,10-Jul-2026,-,0.40352712599015134,-,5.070331668312149,2.2196346699657834,-5.07238584932405,https://nsearchives.nseindia.com/today/CASHIETFEQN.svg,https://nsearchives.nseindia.com/30d/CASHIETF-EQ.svg,https://nsearchives.nseindia.com/365d/CASHIETF-EQ.svg,EQ
