symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,prevClose,stockIndClosePrice,perChange365d,perChange30d,date365dAgo,date30dAgo,xdt,mpc,ypc,cact,nearWKH,nearWKL,chartTodayPath,chart30dPath,chart365dPath,series,meta
NEXT50ETF,Nifty Next 50 Index,61.98,62.88,60.15,62.6,-0.03,-0.05,124991,7675697.31,62.217,72.97,60.15,62.63,0,0,-9.39,,02-Mar-2026,-,-9.432870370370376,Infinity,-,14.211319720433051,-4.073150457190362,https://nsearchives.nseindia.com/today/NEXT50ETFEQN.svg,https://nsearchives.nseindia.com/30d/NEXT50ETF-EQ.svg,,EQ,"{'symbol': 'NEXT50ETF', 'companyName': 'Kotak Mahindra Mutual Fund - Kotak Nifty Next 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF174KA1YO3', 'listingDate': '2026-01-14', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
MOENERGY,Nifty Energy Index,35.35,35.89,34.5,35.89,0.38,1.07,213834,7492743.36,35.5079,42.4,33,35.51,0,0,-3.22,,02-Mar-2026,-,-2.180430635050415,Infinity,-,15.353773584905655,-8.75757575757576,https://nsearchives.nseindia.com/today/MOENERGYEQN.svg,https://nsearchives.nseindia.com/30d/MOENERGY-EQ.svg,,EQ,"{'symbol': 'MOENERGY', 'companyName': 'Motilal Oswal Mutual Fund - Motilal Oswal Nifty Energy ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF247L01GH7', 'listingDate': '2025-10-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
IVZINGOLD,Gold,12825,12894.9,12499.95,12649.95,-396.25,-3.04,585,7415103.15,13016.5437,15599.8,7569.15,13046.2,0,62.56,-10.02,01-Apr-2025,02-Mar-2026,-,-12.752346729751904,57.619991028708135,-,18.909537301760274,-67.12510651790494,https://nsearchives.nseindia.com/today/IVZINGOLDEQN.svg,https://nsearchives.nseindia.com/30d/IVZINGOLD-EQ.svg,https://nsearchives.nseindia.com/365d/IVZINGOLD-EQ.svg,EQ,"{'symbol': 'IVZINGOLD', 'companyName': 'Invesco India Gold Exchange Traded Fund', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF205K01361', 'listingDate': '2010-03-22', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
GOLD360,Commodity-Gold,145.85,145.85,140,142,-4,-2.74,51282,7311787.56,146.0928,178,78.2,146,0,61.77,-10.43,01-Apr-2025,02-Mar-2026,-,-12.883435582822086,57.340720221606645,-,20.224719101123597,-81.58567774936061,https://nsearchives.nseindia.com/today/GOLD360EQN.svg,https://nsearchives.nseindia.com/30d/GOLD360-EQ.svg,https://nsearchives.nseindia.com/365d/GOLD360-EQ.svg,EQ,"{'symbol': 'GOLD360', 'companyName': '360 ONE Mutual Fund - 360 ONE Gold ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF579M01BB5', 'listingDate': '2025-03-17', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
AONENIFTY,Nifty 50 Index,9.6,9.6,9.04,9.3,-0.02,-0.21,784993,7221935.6,9.3043,12,9.04,9.32,0,0,-8.9,,02-Mar-2026,-,-9.090909090909088,Infinity,-,22.499999999999996,-2.876106194690283,https://nsearchives.nseindia.com/today/AONENIFTYEQN.svg,https://nsearchives.nseindia.com/30d/AONENIFTY-EQ.svg,,EQ,"{'symbol': 'AONENIFTY', 'companyName': 'Angel One Mutual Fund - Angel One Nifty 50 ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF1J2R01064', 'slb_isin': 'INF1J2R01064', 'listingDate': '2025-05-28', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
COMMOIETF,ICICI Prudential Nifty Commodities ETF,93.84,94.19,91.32,94.11,0.25,0.27,76728,7108849.2,94.1654,103.99,75.61,93.86,0,10.64,-6.49,01-Apr-2025,02-Mar-2026,-,-6.236923383481124,10.939526111045621,-,9.500913549379744,-24.467663007538686,https://nsearchives.nseindia.com/today/COMMOIETFEQN.svg,https://nsearchives.nseindia.com/30d/COMMOIETF-EQ.svg,https://nsearchives.nseindia.com/365d/COMMOIETF-EQ.svg,EQ,"{'symbol': 'COMMOIETF', 'companyName': 'ICICI Prudential Mutual Fund - ICICI Prudential Nifty Commodities ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF109KC19O8', 'slb_isin': 'INF109KC19O8', 'listingDate': '2022-12-21', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
AONESILVER,Domestic price of Silver,8.74,8.81,8.45,8.8,-0.12,-1.35,811947,7007102.61,9.084,12,7.68,8.92,0,0,-19.13,,02-Mar-2026,-,-20.217588395285574,Infinity,-,26.66666666666666,-14.583333333333346,https://nsearchives.nseindia.com/today/AONESILVEREQN.svg,https://nsearchives.nseindia.com/30d/AONESILVER-EQ.svg,,EQ,"{'symbol': 'AONESILVER', 'companyName': 'Angel One Mutual Fund - Angel One Silver ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF1J2R01171', 'listingDate': '2026-03-02', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
BANKBETF,Bajaj Finserv Nifty Bank ETF,52.7,53.2,50.71,52.35,0.13,0.25,136530,7005354.3,52.077,65,49.64,52.22,0,1.91,-13.89,01-Apr-2025,02-Mar-2026,-,-13.670844327176779,2.166276346604214,-,19.461538461538456,-5.459307010475425,https://nsearchives.nseindia.com/today/BANKBETFEQN.svg,https://nsearchives.nseindia.com/30d/BANKBETF-EQ.svg,https://nsearchives.nseindia.com/365d/BANKBETF-EQ.svg,EQ,"{'symbol': 'BANKBETF', 'companyName': 'Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty Bank ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF0QA701714', 'slb_isin': 'INF0QA701714', 'listingDate': '2024-01-29', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
EVINDIA,Nifty EV and New Age Automotive Total Return Index,27.14,27.16,26.4,27.1,-0.09,-0.33,262365,6989403.6,27.1386,32.56,23.83,27.19,0,2.33,-10.2,01-Apr-2025,02-Mar-2026,-,-10.501981505944517,1.9947308995107307,-,16.76904176904177,-13.722198908938328,https://nsearchives.nseindia.com/today/EVINDIAEQN.svg,https://nsearchives.nseindia.com/30d/EVINDIA-EQ.svg,https://nsearchives.nseindia.com/365d/EVINDIA-EQ.svg,EQ,"{'symbol': 'EVINDIA', 'companyName': 'Mirae Asset MF - Mirae Asset Nifty EV and New Age Automotive ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': True, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF769K01LQ3', 'slb_isin': 'INF769K01LQ3', 'listingDate': '2024-07-16', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
GROWWHOSPI,BSE Hospitals Index,44.9,46,43.4,44.52,-0.63,-1.40,158138,6980211.32,44.6515,52.9,43.35,45.15,0,0,0,,,-,Infinity,Infinity,-,15.841209829867667,-2.698961937716267,https://nsearchives.nseindia.com/today/GROWWHOSPIEQN.svg,,,EQ,"{'symbol': 'GROWWHOSPI', 'companyName': 'Groww Mutual Fund - Groww BSE Hospitals ETF', 'industry': 'Mutual Fund Scheme', 'activeSeries': ['EQ'], 'debtSeries': [], 'isFNOSec': False, 'isCASec': False, 'isSLBSec': False, 'isDebtSec': False, 'isSuspended': False, 'tempSuspendedSeries': [], 'isETFSec': True, 'isDelisted': False, 'isin': 'INF666M01OD9', 'listingDate': '2026-03-05', 'isMunicipalBond': False, 'isHybridSymbol': False, 'segment': 'EQUITY', 'quotepreopenstatus': {'equityTime': '02-Apr-2026 16:00:00', 'preOpenTime': '02-Apr-2026 09:07:01', 'QuotePreOpenFlag': False}}"
