NAV,AUM,Expense_Ratio,Sctr_Expense_Ratio,Tracking_Error,Asset_Tracking_Error,Sector,ETFname,URL
—,  2.53cr,—,0.0017,0.0224,0.0152,Nifty 10 yr Benchmark G-Sec Index,SBI 10 year Gilt ETF,https://www.tickertape.in/etfs/sbi-10-year-gilt-etf-SBGT
366.42,"  2,436.50cr",0.0020,0.0022,0.0013,0.0027,Nifty IT Index,ICICI Prudential IT ETF,https://www.tickertape.in/etfs/icici-prudential-it-etf-IICR
—,  173.03cr,0.0053,0.0022,0.0006,0.0027,Nifty 100,Nippon India Nifty 100 ETF,https://www.tickertape.in/etfs/nippon-india-nifty-100-etf-NIPO
447.09,"  2,154.51cr",0.0017,0.0022,0.0007,0.0027,Nifty Next 50,Nippon India Junior Bees ETF,https://www.tickertape.in/etfs/nippon-india-junior-bees-etf-JBES
117.23,  90.22cr,0.0015,0.0022,0.0013,0.0027,Nifty Midcap 150,ICICI Prudential Nifty Midcap 150 ETF,https://www.tickertape.in/etfs/icici-prudential-nifty-midcap-150-etf-IICP
—,"  2,461.62cr",0.0051,0.0061,—,—,Gold,SBI Gold ETF,https://www.tickertape.in/etfs/sbi-gold-etf-SBIG
—,  77.35cr,0.0055,0.0061,—,—,Gold,Invesco India Gold ETF,https://www.tickertape.in/etfs/invesco-india-gold-etf-INVS
152.58,  28.96cr,—,0.0022,0.0004,0.0027,Nifty 200 Quality 30 Index,SBI Nifty 200 Quality 30 ETF,https://www.tickertape.in/etfs/sbi-nifty-200-quality-30-etf-SIET
—,"  1,941.50cr",0.0055,0.0061,—,—,Gold,Kotak Gold ETF,https://www.tickertape.in/etfs/kotak-gold-etf-KTGF
94.39,  24.50cr,0.0012,0.0022,0.0008,0.0027,Nifty50 Value 20,ICICI Prudential NV20 ETF,https://www.tickertape.in/etfs/icici-prudential-nv20-etf-ICIN
—,  218.20cr,0.0010,0.0022,0.0015,0.0027,Nifty Next 50,ICICI Prudential Nifty Next 50 ETF,https://www.tickertape.in/etfs/icici-prudential-nifty-next-50-etf-ICIT
—,"  8,234.90cr",0.0005,0.0022,—,0.0027,S&P BSE BHARAT 22 index,Bharat 22 ETF,https://www.tickertape.in/etfs/bharat-22-etf-ICPR
—,"  6,416.57cr",0.0079,0.0061,—,—,Gold,Nippon India Gold Bees ETF,https://www.tickertape.in/etfs/nippon-india-gold-bees-etf-GBES
—,  56.45cr,0.0021,0.0022,0.0015,0.0027,NIFTY Pharma Index,Nippon India NIFTY Pharma ETF Growth Plan,https://www.tickertape.in/etfs/nippon-india-nifty-pharma-etf-growth-plan-NETFP
—,  551.49cr,0.0053,0.0061,—,—,Gold,Axis Gold ETF,https://www.tickertape.in/etfs/axis-gold-etf-AXGF
—,  522.50cr,0.0010,0.0022,0.0007,0.0027,SENSEX,LIC MF Sensex 30 ETF,https://www.tickertape.in/etfs/lic-mf-sensex-30-etf-LICM
—,"  2,047.38cr",0.0050,0.0061,—,—,Gold,ICICI Prudential Gold ETF,https://www.tickertape.in/etfs/icici-prudential-gold-etf-IPEG
366.92,  855.45cr,—,0.0022,0.0011,0.0027,Nifty IT Index,SBI ETF IT,https://www.tickertape.in/etfs/sbi-etf-it-SBIET
—,  612.49cr,0.0106,0.0061,—,—,Gold,UTI Gold ETF,https://www.tickertape.in/etfs/uti-gold-etf-UTGF
—,  40.77cr,0.0036,0.0022,0.0010,0.0027,Nifty50 Value 20,Nippon India NV20 ETF,https://www.tickertape.in/etfs/nippon-india-nv20-etf-NNET
—,"  2,792.03cr",0.0060,0.0061,—,—,Gold,HDFC Gold ETF,https://www.tickertape.in/etfs/hdfc-gold-etf-HDGO
426.55,  81.74cr,0.0014,0.0022,0.0003,0.0027,Nifty Next 50,Mirae Asset Nifty Next 50 ETF,https://www.tickertape.in/etfs/mirae-asset-nifty-next-50-etf-MIRE
30.14,"  15,820.45cr",0.0001,0.0022,0.0020,0.0027,CPSE ETF,CPSE ETF,https://www.tickertape.in/etfs/cpse-etf-GOMS
—,  137.69cr,0.0078,0.0061,—,—,Gold,Quantum Gold ETF,https://www.tickertape.in/etfs/quantum-gold-etf-QTGF
440.80,  12.65cr,0.0103,0.0022,0.0015,0.0027,Shariah,Nippon India Nifty Shariah Bees ETF,https://www.tickertape.in/etfs/nippon-india-nifty-shariah-bees-etf-SBET
—,  447.27cr,0.0023,0.0022,0.0012,0.0027,Nifty Midcap 150,Nippon India Nifty Midcap 150 ETF,https://www.tickertape.in/etfs/nippon-india-nifty-midcap-150-etf-NTFM
—,  15.06cr,0.0015,0.0022,0.0044,0.0027,Nifty Private Bank Index,Tata Nifty Private Bank ETF,https://www.tickertape.in/etfs/tata-nifty-bank-etf-TATF
276.43,  194.62cr,0.0049,0.0022,0.0025,0.0027,Nifty PSU Bank,Kotak Nifty PSU Bank ETF,https://www.tickertape.in/etfs/kotak-nifty-psu-bank-etf-KTPU
90.11,  29.18cr,0.0014,0.0022,0.0006,0.0027,Nifty50 Value 20,Kotak NV20 ETF,https://www.tickertape.in/etfs/kotak-nv20-etf-KONV
2.25,  99.63cr,0.0086,0.0022,0.0545,0.0027,Hang Seng Index,Nippon India Hang Seng Bees ETF,https://www.tickertape.in/etfs/nippon-india-hang-seng-bees-etf-HNGS
29.68,  383.45cr,0.0049,0.0022,0.0033,0.0027,Nifty PSU Bank,Nippon India Nifty PSU Bank Bees ETF,https://www.tickertape.in/etfs/nippon-india-nifty-psu-bank-bees-etf-PSUB
—,  82.56cr,0.0020,0.0022,0.0032,0.0027,Nifty Midcap 100,Motilal Oswal Nifty Midcap 100 ETF,https://www.tickertape.in/etfs/motilal-oswal-nifty-midcap-100-etf-M100
